Melitensis16M|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS05485,AYT27_RS05390,65.116,258,89,1,1,258,1,257,1.50e-129,363
BME_RS05490,AYT27_RS05415,53.386,251,117,0,17,267,14,264,6.15e-93,271
BME_RS05495,AYT27_RS04160,36.306,157,93,2,33,182,5,161,4.37e-35,117
BME_RS05500,AYT27_RS04155,51.707,205,99,0,5,209,7,211,1.72e-85,248
BME_RS05505,AYT27_RS04150,81.818,154,28,0,1,154,1,154,8.65e-95,267
BME_RS05510,AYT27_RS04145,64.417,326,116,0,7,332,5,330,6.71e-156,436
BME_RS05530,AYT27_RS04140,61.755,319,122,0,15,333,8,326,4.35e-154,431
BME_RS05535,AYT27_RS03295,39.608,255,146,3,6,258,2,250,1.28e-65,201
BME_RS05570,AYT27_RS03850,89.130,92,10,0,1,92,1,92,2.92e-56,164
BME_RS05575,AYT27_RS03845,61.795,390,147,2,1,390,1,388,1.87e-157,445
BME_RS05580,AYT27_RS03840,74.940,419,105,0,3,421,2,420,0.0,632
BME_RS05585,AYT27_RS03835,79.825,342,69,0,1,342,1,342,0.0,563
BME_RS05590,AYT27_RS03830,64.495,307,109,0,1,307,1,307,1.56e-138,390
BME_RS05595,AYT27_RS04940,63.063,222,82,0,2,223,3,224,2.98e-107,304
BME_RS05600,AYT27_RS04945,80.370,433,85,0,1,433,1,433,0.0,739
BME_RS05610,AYT27_RS04950,63.187,182,67,0,1,182,1,182,3.02e-88,253
BME_RS05625,AYT27_RS04955,81.496,254,47,0,1,254,1,254,7.82e-160,439
BME_RS05630,AYT27_RS04960,61.538,78,30,0,2,79,1,78,2.99e-32,103
BME_RS05635,AYT27_RS04965,73.973,219,56,1,1,219,1,218,5.36e-126,351
BME_RS05650,AYT27_RS04970,74.352,733,187,1,1,732,1,733,0.0,1107
BME_RS05655,AYT27_RS04975,76.623,77,18,0,1,77,1,77,8.02e-43,129
BME_RS05660,AYT27_RS04980,71.818,110,31,0,1,110,1,110,3.06e-59,173
BME_RS05665,AYT27_RS04985,50.363,413,202,2,2,414,4,413,6.86e-139,399
BME_RS05670,AYT27_RS07800,28.846,208,137,4,41,246,38,236,1.62e-16,73.2
BME_RS05675,AYT27_RS04320,80.297,269,53,0,13,281,24,292,3.40e-161,446
BME_RS05680,AYT27_RS04315,86.341,205,28,0,1,205,1,205,3.07e-138,381
BME_RS05700,AYT27_RS05025,68.935,1146,356,0,17,1162,16,1161,0.0,1618
BME_RS05705,AYT27_RS04510,68.919,222,69,0,6,227,4,225,2.99e-114,322
BME_RS05710,AYT27_RS04515,60.190,422,168,0,16,437,1,422,0.0,535
BME_RS05715,AYT27_RS04520,75.227,440,109,0,1,440,1,440,0.0,717
BME_RS05730,AYT27_RS04525,66.367,556,187,0,1,556,1,556,0.0,790
BME_RS05735,AYT27_RS04530,42.045,264,152,1,1,264,1,263,6.52e-77,230
BME_RS05740,AYT27_RS04535,60.950,484,183,1,1,478,1,484,0.0,592
BME_RS05745,AYT27_RS04540,80.698,487,94,0,1,487,1,487,0.0,817
BME_RS05750,AYT27_RS04545,72.686,659,170,3,2,658,1,651,0.0,972
BME_RS05755,AYT27_RS04550,86.275,102,14,0,1,102,1,102,4.05e-52,155
BME_RS05760,AYT27_RS04555,73.786,206,53,1,1,205,1,206,3.29e-84,244
BME_RS05765,AYT27_RS04560,88.344,163,19,0,1,163,1,163,9.72e-109,303
BME_RS05770,AYT27_RS04565,81.686,344,62,1,5,347,5,348,0.0,537
BME_RS05775,AYT27_RS04570,72.478,694,186,3,1,694,1,689,0.0,1042
BME_RS05780,AYT27_RS04575,82.299,435,77,0,1,435,1,435,0.0,767
BME_RS05785,AYT27_RS04580,71.921,203,57,0,1,203,1,203,7.92e-114,321
BME_RS05790,AYT27_RS04585,83.838,396,64,0,1,396,1,396,0.0,704
BME_RS05795,AYT27_RS04590,69.543,197,60,0,4,200,3,199,1.49e-104,295
BME_RS05800,AYT27_RS04595,84.456,193,30,0,1,193,1,193,5.85e-127,351
BME_RS05805,AYT27_RS04600,80.165,121,24,0,1,121,1,121,1.19e-69,201
BME_RS05815,AYT27_RS04605,96.000,25,1,0,1,25,1,25,1.81e-12,49.3
BME_RS05820,AYT27_RS04610,96.000,25,1,0,1,25,1,25,1.83e-12,49.3
BME_RS05870,AYT27_RS04020,85.430,151,22,0,1,151,1,151,4.55e-97,273
BME_RS05875,AYT27_RS04015,83.333,162,22,2,1,158,1,161,2.22e-96,271
BME_RS05885,AYT27_RS03885,56.774,310,134,0,1,310,1,310,7.57e-138,389
BME_RS05890,AYT27_RS03880,54.783,345,154,1,16,358,22,366,1.52e-136,389
BME_RS05920,AYT27_RS03815,100.000,25,0,0,1,25,1,25,5.64e-13,50.8
BME_RS05930,AYT27_RS03945,56.044,182,62,3,1,179,1,167,5.77e-70,206
BME_RS05935,AYT27_RS03940,75.490,102,25,0,1,102,1,102,3.26e-55,163
BME_RS05940,AYT27_RS03935,71.914,324,90,1,1,323,1,324,6.06e-175,483
BME_RS05945,AYT27_RS03930,66.957,345,114,0,1,345,1,345,1.70e-171,477
BME_RS05950,AYT27_RS03925,48.851,174,84,2,6,178,12,181,5.58e-57,173
BME_RS05960,AYT27_RS03920,54.902,153,65,1,12,164,9,157,1.26e-59,179
BME_RS05970,AYT27_RS03915,68.831,154,45,1,6,159,5,155,2.13e-75,219
BME_RS05975,AYT27_RS03910,66.434,143,45,1,10,152,10,149,4.75e-69,202
BME_RS05980,AYT27_RS03905,60.976,205,73,2,1,201,1,202,1.63e-89,258
BME_RS05985,AYT27_RS03900,46.575,365,187,5,15,373,7,369,2.21e-111,326
BME_RS05990,AYT27_RS03895,74.324,148,38,0,1,148,1,148,1.92e-81,233
BME_RS05995,AYT27_RS03890,79.235,183,35,1,8,187,2,184,9.49e-105,314
BME_RS06010,AYT27_RS04375,41.880,117,65,1,13,129,10,123,6.25e-28,96.7
BME_RS06015,AYT27_RS04380,53.235,340,157,2,1,339,1,339,5.46e-134,382
BME_RS06035,AYT27_RS04990,73.913,759,176,1,12,770,11,747,0.0,1158
BME_RS06045,AYT27_RS04995,77.815,595,132,0,1,595,1,595,0.0,993
BME_RS06050,AYT27_RS05000,57.180,383,164,0,1,383,2,384,1.25e-155,439
BME_RS06055,AYT27_RS05005,58.300,494,204,2,1,493,1,493,0.0,578
BME_RS06060,AYT27_RS05010,69.590,707,214,1,27,733,10,715,0.0,1011
BME_RS06065,AYT27_RS05015,63.158,76,28,0,1,76,1,76,4.32e-36,113
BME_RS06070,AYT27_RS05020,42.716,405,222,5,1,395,6,410,9.51e-113,332
BME_RS06075,AYT27_RS03280,60.996,241,93,1,30,269,17,257,5.17e-111,317
BME_RS06085,AYT27_RS05400,37.037,108,68,0,267,374,115,222,1.32e-17,77.4
BME_RS06090,AYT27_RS05395,28.512,242,161,6,1,236,1,236,6.18e-15,70.1
BME_RS06115,AYT27_RS05945,36.893,103,56,3,2,104,3,96,3.57e-17,68.9
BME_RS06195,AYT27_RS04860,88.000,25,3,0,1,25,1,25,3.67e-10,43.5
BME_RS06200,AYT27_RS04865,60.396,101,40,0,1,101,1,101,3.86e-45,137
BME_RS06205,AYT27_RS04870,92.000,25,2,0,1,25,1,25,5.68e-11,45.8
BME_RS06220,AYT27_RS02775,31.197,234,151,5,7,230,9,242,1.11e-27,102
BME_RS06235,AYT27_RS04875,45.982,224,121,0,5,228,1,224,2.31e-72,216
BME_RS06240,AYT27_RS04880,58.310,355,146,2,10,362,44,398,5.10e-133,382
BME_RS06245,AYT27_RS04885,70.571,350,103,0,10,359,12,361,0.0,513
BME_RS06250,AYT27_RS04890,55.051,198,86,1,3,200,2,196,2.02e-80,234
BME_RS06270,AYT27_RS02885,56.794,287,119,2,1,286,1,283,1.48e-119,340
BME_RS06290,AYT27_RS02490,29.603,277,125,7,3,213,2,274,3.04e-26,98.2
BME_RS06295,AYT27_RS02775,26.360,239,165,6,29,260,10,244,8.94e-15,67.8
BME_RS06300,AYT27_RS02880,66.667,660,213,3,30,685,5,661,0.0,951
BME_RS06305,AYT27_RS02875,81.152,191,36,0,3,193,2,192,4.02e-108,304
BME_RS06325,AYT27_RS02870,82.143,140,25,0,1,140,1,140,1.48e-83,237
BME_RS06335,AYT27_RS02865,63.754,618,219,2,11,627,1,614,0.0,816
BME_RS06345,AYT27_RS02830,56.081,148,65,0,2,149,1,148,8.18e-64,188
BME_RS06355,AYT27_RS02825,52.957,372,175,0,1,372,1,372,7.76e-146,416
BME_RS06360,AYT27_RS02820,61.096,365,139,1,1,362,1,365,1.75e-165,463
BME_RS06365,AYT27_RS02815,51.324,793,369,6,2,791,9,787,0.0,844
BME_RS06370,AYT27_RS02810,50.526,285,137,3,32,315,32,313,3.05e-100,293
BME_RS06375,AYT27_RS02805,59.215,331,132,2,9,338,4,332,2.35e-135,384
BME_RS06380,AYT27_RS02800,72.464,276,75,1,1,275,1,276,1.58e-148,413
BME_RS06385,AYT27_RS07050,38.462,195,119,1,361,554,464,658,1.06e-41,155
BME_RS06400,AYT27_RS02685,64.000,500,176,3,7,504,3,500,0.0,668
BME_RS06420,AYT27_RS01040,30.769,104,66,5,22,123,18,117,3.05e-08,45.4
BME_RS06425,AYT27_RS02675,44.037,109,61,0,19,127,15,123,3.25e-30,101
BME_RS06440,AYT27_RS02670,75.283,441,109,0,1,441,1,441,0.0,700
BME_RS06445,AYT27_RS02665,41.197,284,164,2,1,282,1,283,1.84e-68,210
BME_RS06450,AYT27_RS02660,62.255,204,76,1,1,203,1,204,4.63e-92,264
BME_RS06460,AYT27_RS02645,58.723,235,97,0,1,235,1,235,3.20e-102,293
BME_RS06465,AYT27_RS02640,70.370,297,88,0,13,309,3,299,1.39e-159,443
BME_RS06470,AYT27_RS02635,63.927,219,79,0,11,229,9,227,2.98e-102,292
BME_RS06475,AYT27_RS02630,67.213,244,80,0,7,250,8,251,4.86e-118,335
BME_RS06480,AYT27_RS02625,66.412,131,44,0,1,131,1,131,8.95e-65,189
BME_RS06485,AYT27_RS02620,38.776,196,111,2,1,187,1,196,4.91e-45,144
BME_RS06500,AYT27_RS00265,29.319,191,133,2,45,235,3,191,3.90e-21,90.5
BME_RS06510,AYT27_RS02615,68.229,192,61,0,1,192,1,192,5.41e-97,275
BME_RS06515,AYT27_RS02610,79.333,750,146,2,1,750,1,741,0.0,1238
BME_RS06520,AYT27_RS02605,76.866,134,28,2,1,133,1,132,1.90e-68,198
BME_RS06530,AYT27_RS02600,68.720,211,65,1,4,213,11,221,1.09e-109,310
BME_RS06535,AYT27_RS02595,81.646,158,29,0,1,158,1,158,1.43e-96,271
BME_RS06540,AYT27_RS02590,65.753,292,100,0,1,292,1,292,2.33e-140,394
BME_RS06545,AYT27_RS02585,50.511,685,324,5,3,683,27,700,0.0,712
BME_RS06565,AYT27_RS06340,39.952,413,186,10,1,362,1,402,3.85e-92,277
BME_RS06570,AYT27_RS06335,80.000,30,6,0,1,30,1,30,2.20e-11,47.0
BME_RS06575,AYT27_RS06340,40.662,423,174,11,1,367,1,402,3.71e-92,278
BME_RS06580,AYT27_RS08285,31.333,150,81,7,166,298,167,311,1.33e-10,57.0
BME_RS06645,AYT27_RS06250,68.108,555,168,1,9,563,7,552,0.0,807
BME_RS06650,AYT27_RS02510,49.645,282,127,2,7,288,8,274,5.83e-102,295
BME_RS06665,AYT27_RS02505,56.949,885,369,6,1,883,1,875,0.0,1052
BME_RS06670,AYT27_RS02500,50.130,772,376,5,1,766,1,769,0.0,759
BME_RS06680,AYT27_RS02485,58.256,975,404,3,7,980,2,974,0.0,1143
BME_RS06685,AYT27_RS02480,61.957,460,175,0,2,461,1,460,0.0,574
BME_RS06690,AYT27_RS02475,80.617,227,44,0,1,227,1,227,1.34e-134,374
BME_RS06695,AYT27_RS02470,63.221,503,168,6,13,510,10,500,0.0,616
BME_RS06700,AYT27_RS02465,48.344,151,76,1,1,151,1,149,1.06e-35,117
BME_RS06705,AYT27_RS02460,55.371,661,287,4,3,659,3,659,0.0,698
BME_RS06710,AYT27_RS02455,44.604,139,76,1,22,159,16,154,2.90e-39,127
BME_RS06715,AYT27_RS02450,32.584,178,120,0,98,275,64,241,4.46e-27,103
BME_RS06725,AYT27_RS02445,49.078,434,219,1,1,432,35,468,3.48e-151,433
BME_RS06730,AYT27_RS02440,71.946,221,62,0,1,221,1,221,6.05e-123,344
BME_RS06735,AYT27_RS02435,40.351,57,34,0,42,98,21,77,7.98e-16,62.4
BME_RS06800,AYT27_RS02430,59.169,698,272,4,13,704,6,696,0.0,852
BME_RS06805,AYT27_RS02425,41.294,201,114,1,1,201,1,197,1.87e-53,166
BME_RS06810,AYT27_RS02420,37.356,174,109,0,1,174,1,174,2.16e-45,144
BME_RS06825,AYT27_RS02380,27.852,298,150,11,32,322,43,282,6.59e-26,100
BME_RS06830,AYT27_RS02500,36.145,249,154,2,309,557,527,770,6.02e-46,169
BME_RS06840,AYT27_RS02390,58.209,134,56,0,1,134,1,134,8.70e-58,172
BME_RS06845,AYT27_RS04230,30.000,450,261,13,23,427,42,482,6.01e-29,114
BME_RS06865,AYT27_RS02395,63.235,136,50,0,1,136,1,136,2.52e-61,181
BME_RS06870,AYT27_RS02400,63.135,689,254,0,9,697,7,695,0.0,946
BME_RS06880,AYT27_RS02405,75.758,198,48,0,1,198,1,198,8.26e-114,318
BME_RS06895,AYT27_RS06030,45.532,235,110,4,4,238,1,217,6.67e-67,203
BME_RS06935,AYT27_RS05940,32.979,94,57,2,65,154,64,155,1.99e-11,54.7
BME_RS06955,AYT27_RS01985,34.388,474,304,6,6,476,4,473,3.10e-83,261
BME_RS07005,AYT27_RS01235,24.950,501,313,21,27,484,23,503,1.27e-22,96.7
BME_RS07025,AYT27_RS07655,28.818,347,207,11,5,326,6,337,2.29e-24,100
BME_RS07090,AYT27_RS06145,28.571,343,227,8,31,360,33,370,8.39e-41,143
BME_RS07100,AYT27_RS06570,31.776,214,124,9,45,239,21,231,9.55e-15,68.6
BME_RS07110,AYT27_RS04890,36.111,108,69,0,60,167,63,170,1.29e-17,74.7
BME_RS07130,AYT27_RS02410,88.000,25,3,0,1,25,1,25,1.43e-12,49.7
BME_RS07165,AYT27_RS05960,30.667,150,97,4,71,215,49,196,3.58e-09,51.6
BME_RS07170,AYT27_RS02415,38.672,256,155,1,3,258,2,255,9.39e-64,196
BME_RS07185,AYT27_RS02375,76.975,886,204,0,1,886,1,886,0.0,1410
BME_RS07195,AYT27_RS06100,24.904,261,178,6,39,287,32,286,1.80e-13,65.1
BME_RS07205,AYT27_RS02370,58.696,184,75,1,34,217,34,216,3.13e-75,222
BME_RS07210,AYT27_RS02365,42.424,165,94,1,1,165,1,164,3.04e-50,155
BME_RS07215,AYT27_RS02360,58.092,346,142,1,7,352,24,366,1.66e-142,404
BME_RS07225,AYT27_RS02355,70.213,376,112,0,1,376,1,376,0.0,575
BME_RS07235,AYT27_RS02350,51.082,231,109,2,1,227,1,231,1.54e-80,237
BME_RS07245,AYT27_RS02320,23.577,246,182,4,281,523,709,951,7.40e-21,92.4
BME_RS07255,AYT27_RS02330,63.715,463,168,0,1,463,1,463,0.0,635
BME_RS07260,AYT27_RS02325,70.853,422,123,0,1,422,1,422,0.0,639
BME_RS07270,AYT27_RS02320,54.228,946,429,2,18,960,11,955,0.0,1123
BME_RS07275,AYT27_RS02315,53.886,193,89,0,8,200,2,194,7.80e-74,217
BME_RS07280,AYT27_RS02310,28.631,241,156,6,24,261,51,278,1.96e-29,108
BME_RS07285,AYT27_RS06930,37.671,146,80,3,9,145,6,149,9.06e-32,108
BME_RS07290,AYT27_RS02305,67.808,146,47,0,2,147,6,151,4.85e-75,217
BME_RS07295,AYT27_RS02300,57.680,319,135,0,1,319,1,319,1.89e-141,399
BME_RS07300,AYT27_RS02295,80.061,326,65,0,7,332,6,331,0.0,528
BME_RS07305,AYT27_RS08325,35.345,232,132,7,16,234,25,251,1.07e-38,131
BME_RS07315,AYT27_RS00615,25.000,236,131,7,75,283,3,219,1.63e-08,49.7
BME_RS07330,AYT27_RS02290,59.396,298,121,0,5,302,6,303,1.54e-127,362
BME_RS07335,AYT27_RS00610,40.775,542,291,9,20,552,50,570,1.05e-125,379
BME_RS07345,AYT27_RS02285,40.000,135,81,0,74,208,44,178,5.24e-37,123
BME_RS07350,AYT27_RS02280,70.064,471,140,1,1,470,1,471,0.0,686
BME_RS07355,AYT27_RS02795,61.463,205,77,1,12,216,17,219,8.21e-94,270
BME_RS07365,AYT27_RS02790,59.337,332,135,0,57,388,32,363,1.17e-140,402
BME_RS07370,AYT27_RS02785,81.384,419,78,0,1,419,1,419,0.0,628
BME_RS07375,AYT27_RS02780,91.026,78,7,0,1,78,1,78,9.83e-46,137
BME_RS07380,AYT27_RS02775,80.000,245,49,0,1,245,1,245,2.51e-148,410
BME_RS07385,AYT27_RS02770,69.551,312,95,0,1,312,1,312,5.21e-158,440
BME_RS07390,AYT27_RS02755,57.746,142,47,1,1,142,1,129,2.12e-56,169
BME_RS07395,AYT27_RS02750,86.585,82,11,0,1,82,1,82,3.12e-51,151
BME_RS07400,AYT27_RS02745,31.353,303,192,5,2,295,3,298,1.81e-32,119
BME_RS07405,AYT27_RS02740,72.340,188,50,1,1,188,1,186,3.30e-97,276
BME_RS07415,AYT27_RS02730,69.000,500,149,3,1,500,1,494,0.0,707
BME_RS07420,AYT27_RS02725,78.261,460,94,2,1,460,1,454,0.0,711
BME_RS07425,AYT27_RS02720,52.717,184,84,2,1,181,1,184,1.05e-59,181
BME_RS07430,AYT27_RS02715,78.512,484,104,0,11,494,11,494,0.0,805
BME_RS07435,AYT27_RS02710,64.634,246,87,0,1,246,4,249,7.73e-124,348
BME_RS07440,AYT27_RS02705,60.000,265,106,0,5,269,7,271,3.38e-109,313
BME_RS07445,AYT27_RS02700,63.636,220,80,0,20,239,1,220,1.20e-113,322
BME_RS07450,AYT27_RS02695,72.816,618,168,0,5,622,8,625,0.0,949
BME_RS07455,AYT27_RS00315,39.683,63,35,2,327,387,86,147,1.43e-09,52.4
BME_RS07460,AYT27_RS08565,39.831,118,67,1,8,121,9,126,2.29e-29,99.4
BME_RS07470,AYT27_RS02275,51.106,407,199,0,6,412,2,408,5.75e-149,425
BME_RS07475,AYT27_RS02270,61.317,243,94,0,9,251,4,246,3.14e-98,283
BME_RS07480,AYT27_RS02265,75.397,630,154,1,1,629,1,630,0.0,979
BME_RS07505,AYT27_RS02260,66.667,84,28,0,1,84,1,84,9.31e-36,112
BME_RS07515,AYT27_RS02255,68.011,372,114,2,1,371,1,368,0.0,531
BME_RS07520,AYT27_RS02250,78.729,362,77,0,1,362,1,362,0.0,584
BME_RS07545,AYT27_RS05910,73.913,69,18,0,1,69,1,69,1.18e-34,108
BME_RS07550,AYT27_RS06315,27.049,122,85,2,6,126,5,123,4.21e-09,50.1
BME_RS07555,AYT27_RS02245,84.559,272,42,0,1,272,1,272,6.45e-175,479
BME_RS07560,AYT27_RS02240,60.952,315,103,3,1,311,1,299,4.16e-131,371
BME_RS07570,AYT27_RS02235,70.443,203,59,1,2,203,5,207,8.72e-108,304
BME_RS07575,AYT27_RS02225,58.982,334,136,1,1,333,1,334,2.09e-139,394
BME_RS07580,AYT27_RS02220,65.176,425,148,0,1,425,1,425,0.0,598
BME_RS07595,AYT27_RS04380,27.397,146,104,1,9,152,15,160,1.03e-11,59.7
BME_RS07600,AYT27_RS02215,33.516,182,110,3,1,182,1,171,9.74e-28,99.0
BME_RS07615,AYT27_RS02210,61.075,465,181,0,6,470,5,469,0.0,602
BME_RS07620,AYT27_RS02205,57.367,319,132,1,5,323,4,318,5.15e-126,359
BME_RS07625,AYT27_RS02155,60.567,776,269,3,1,776,1,739,0.0,945
BME_RS07630,AYT27_RS02160,83.000,300,50,1,1,299,7,306,0.0,540
BME_RS07635,AYT27_RS02165,42.984,563,314,2,12,574,8,563,3.02e-172,498
BME_RS07640,AYT27_RS02170,68.731,323,101,0,16,338,34,356,1.05e-167,467
BME_RS07650,AYT27_RS02175,58.566,251,104,0,10,260,9,259,3.24e-97,281
BME_RS07655,AYT27_RS02180,62.759,290,101,2,447,736,1,283,2.73e-124,368
BME_RS07665,AYT27_RS02190,43.929,280,155,1,14,291,16,295,1.22e-67,209
BME_RS07685,AYT27_RS02200,61.468,218,84,0,1,218,1,218,1.93e-95,274
BME_RS07690,AYT27_RS02150,53.659,164,71,1,1,159,1,164,1.02e-54,166
BME_RS07695,AYT27_RS02145,50.495,202,83,2,1,202,1,185,3.34e-64,193
BME_RS07700,AYT27_RS02140,97.183,71,2,0,5,75,6,76,9.10e-44,132
BME_RS07705,AYT27_RS02135,75.403,248,61,0,2,249,5,252,1.18e-133,373
BME_RS07710,AYT27_RS02130,39.098,133,79,1,1,131,1,133,6.41e-26,91.3
BME_RS07715,AYT27_RS01280,35.644,101,56,2,297,397,47,138,1.98e-10,57.0
BME_RS07720,AYT27_RS00325,23.235,439,243,15,15,428,5,374,6.29e-15,72.4
BME_RS07725,AYT27_RS02120,71.784,482,129,1,1,482,1,475,0.0,717
BME_RS07730,AYT27_RS02115,43.636,220,124,0,1,220,1,220,1.23e-60,186
BME_RS07760,AYT27_RS02495,47.853,163,83,1,201,361,10,172,2.03e-53,170
BME_RS07765,AYT27_RS01985,27.586,174,114,4,25,192,26,193,3.79e-10,57.4
BME_RS07770,AYT27_RS04125,31.677,161,106,2,44,202,127,285,6.62e-22,86.7
BME_RS07780,AYT27_RS00645,52.381,126,57,1,22,144,36,161,1.42e-43,137
BME_RS07840,AYT27_RS05920,28.723,188,128,2,5,188,8,193,6.51e-24,94.7
BME_RS07900,AYT27_RS00865,34.043,188,107,5,1,173,1,186,6.68e-29,101
BME_RS07915,AYT27_RS08610,69.268,410,126,0,1,410,1,410,0.0,588
BME_RS07920,AYT27_RS08605,69.315,365,112,0,1,365,1,365,0.0,545
BME_RS07930,AYT27_RS06475,48.387,248,127,1,9,256,29,275,2.01e-84,249
BME_RS07935,AYT27_RS02655,57.736,265,111,1,8,272,8,271,4.58e-114,325
BME_RS07940,AYT27_RS02650,49.286,280,142,0,1,280,1,280,1.60e-95,279
BME_RS07945,AYT27_RS03975,29.146,398,248,10,14,392,12,394,1.20e-49,169
BME_RS07960,AYT27_RS05920,30.935,139,92,2,2,140,9,143,1.12e-09,53.9
BME_RS07990,AYT27_RS02010,75.182,137,33,1,1,136,1,137,3.40e-72,208
BME_RS07995,AYT27_RS02500,23.971,413,276,10,625,1015,374,770,9.98e-27,113
BME_RS08020,AYT27_RS02015,54.848,361,162,1,4,364,3,362,7.67e-143,405
BME_RS08035,AYT27_RS06220,42.045,88,49,1,1,88,1,86,2.41e-11,50.8
BME_RS08045,AYT27_RS01405,74.722,360,91,0,4,363,3,362,0.0,550
BME_RS08065,AYT27_RS00535,54.925,335,143,3,7,338,2,331,1.44e-130,372
BME_RS08070,AYT27_RS04210,26.282,312,208,9,8,308,13,313,7.14e-20,84.0
BME_RS08075,AYT27_RS00540,60.253,395,157,0,3,397,2,396,0.0,527
BME_RS08080,AYT27_RS00545,59.429,175,67,1,1,175,1,171,6.14e-69,203
BME_RS08100,AYT27_RS00215,46.947,262,136,1,19,280,31,289,1.27e-91,269
BME_RS08110,AYT27_RS00680,30.266,1054,670,23,4,1035,22,1032,1.02e-136,434
BME_RS08115,AYT27_RS08085,27.219,169,109,2,37,191,42,210,7.35e-10,55.8
BME_RS08125,AYT27_RS08055,23.273,550,342,18,74,580,104,616,1.95e-18,84.3
BME_RS08150,AYT27_RS00690,59.450,545,221,0,3,547,8,552,0.0,695
BME_RS08185,AYT27_RS02670,27.133,457,287,18,9,450,8,433,2.27e-39,144
BME_RS08190,AYT27_RS00680,64.563,1030,359,2,10,1036,18,1044,0.0,1345
BME_RS08195,AYT27_RS00675,41.127,355,204,1,3,357,4,353,3.29e-96,288
BME_RS08200,AYT27_RS05970,27.650,217,124,9,284,492,246,437,4.19e-11,60.5
BME_RS08205,AYT27_RS00670,92.000,25,2,0,1,25,1,25,1.65e-12,49.7
BME_RS08280,AYT27_RS07400,100.000,25,0,0,1,25,1,25,2.28e-11,46.6
BME_RS08290,AYT27_RS07395,68.372,430,134,1,1,428,1,430,0.0,602
BME_RS08315,AYT27_RS07250,88.889,72,8,0,1,72,1,72,3.97e-46,137
BME_RS08320,AYT27_RS07245,53.883,206,88,1,6,204,23,228,4.87e-74,219
BME_RS08325,AYT27_RS07240,48.214,56,29,0,13,68,34,89,2.75e-17,65.5
BME_RS08330,AYT27_RS01955,80.000,25,5,0,1,25,1,25,1.36e-08,39.7
BME_RS08380,AYT27_RS01500,56.338,71,31,0,1,71,1,71,4.39e-21,77.8
BME_RS08445,AYT27_RS04640,47.887,284,143,3,4,286,10,289,6.36e-81,243
BME_RS08450,AYT27_RS04635,46.154,65,35,0,1,65,1,65,1.08e-18,68.2
BME_RS08460,AYT27_RS01505,55.584,385,169,1,1,385,1,383,2.31e-155,439
BME_RS08480,AYT27_RS03790,28.249,177,119,5,75,248,7,178,2.44e-14,66.2
BME_RS08485,AYT27_RS02775,34.921,252,145,8,3,244,2,244,6.29e-31,110
BME_RS08510,AYT27_RS00955,57.787,244,102,1,1,243,1,244,1.99e-98,291
BME_RS08515,AYT27_RS00960,26.459,257,182,4,33,284,24,278,2.75e-22,89.7
BME_RS08520,AYT27_RS00965,28.571,287,193,4,2,284,8,286,4.45e-29,108
BME_RS08545,AYT27_RS06520,26.962,293,178,8,610,894,13,277,2.44e-18,83.6
BME_RS08555,AYT27_RS02030,22.738,409,246,16,12,381,5,382,5.60e-12,62.4
BME_RS08580,AYT27_RS00955,40.000,245,140,4,1,243,3,242,7.48e-53,172
BME_RS08600,AYT27_RS02320,28.062,449,311,6,249,688,508,953,5.35e-57,204
BME_RS08605,AYT27_RS08510,46.127,284,126,4,20,285,12,286,2.31e-74,225
BME_RS08610,AYT27_RS02535,52.366,317,144,4,2,316,3,314,6.60e-111,321
BME_RS08615,AYT27_RS02530,47.692,65,34,0,1,65,1,65,4.45e-16,61.2
BME_RS08620,AYT27_RS02525,61.024,254,99,0,1,254,1,254,1.93e-119,337
BME_RS08625,AYT27_RS02520,59.596,198,80,0,4,201,3,200,1.20e-87,253
BME_RS08645,AYT27_RS01985,32.833,466,294,9,17,474,21,475,6.77e-70,226
BME_RS08650,AYT27_RS02695,23.906,297,212,9,105,395,121,409,3.35e-13,67.8
BME_RS08665,AYT27_RS03835,23.438,320,233,10,29,339,25,341,9.83e-11,57.8
BME_RS08670,AYT27_RS01985,34.526,475,296,7,21,491,8,471,2.47e-80,254
BME_RS08680,AYT27_RS04135,55.110,499,216,5,1,495,7,501,0.0,520
BME_RS08700,AYT27_RS04870,80.000,25,5,0,1,25,1,25,3.94e-08,38.5
BME_RS08705,AYT27_RS01370,28.926,242,146,9,19,252,14,237,2.25e-17,75.9
BME_RS08710,AYT27_RS05370,34.266,143,72,2,31,173,17,137,4.48e-18,82.4
BME_RS08720,AYT27_RS00540,26.969,419,256,12,32,447,18,389,7.63e-34,127
BME_RS08740,AYT27_RS06265,69.136,81,25,0,1,81,1,81,1.48e-36,114
BME_RS08745,AYT27_RS02495,24.427,131,92,4,25,152,29,155,2.52e-10,52.8
BME_RS08780,AYT27_RS06270,55.738,122,54,0,2,123,4,125,7.44e-45,138
BME_RS08785,AYT27_RS06275,56.552,290,126,0,10,299,4,293,2.39e-107,310
BME_RS08790,AYT27_RS00265,58.629,394,145,1,28,403,5,398,3.24e-168,473
BME_RS08795,AYT27_RS00270,64.486,214,76,0,1,214,1,214,7.98e-104,295
BME_RS08815,AYT27_RS00275,74.928,347,87,0,10,356,10,356,0.0,521
