S_meliloti|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SMa1727,AYT27_RS04275,24.506,253,144,11,45,278,12,236,3.40e-12,60.8
SMa1731,AYT27_RS01985,32.051,468,311,5,21,483,8,473,1.06e-77,247
SMa1736,AYT27_RS05920,33.663,101,66,1,1,100,5,105,1.56e-08,50.4
SMa1737,AYT27_RS01175,27.333,300,202,5,29,320,14,305,5.86e-25,99.4
SMa1741,AYT27_RS00430,34.728,239,146,6,6,240,6,238,4.70e-35,123
SMa1742,AYT27_RS02560,29.630,351,217,10,13,337,11,357,1.75e-25,101
SMa1745,AYT27_RS02560,36.389,360,209,8,20,362,4,360,4.80e-56,183
SMa1754,AYT27_RS00955,49.573,234,117,1,8,240,3,236,6.91e-77,236
SMa1757,AYT27_RS02775,34.836,244,144,9,16,253,7,241,1.57e-33,118
SMa1761,AYT27_RS00540,28.889,405,244,13,32,425,8,379,1.52e-35,131
SMa1770,AYT27_RS03625,45.614,57,30,1,1,56,1,57,2.94e-09,44.3
SMa1776,AYT27_RS03975,23.645,406,228,16,28,420,6,342,1.49e-17,79.7
SMa1782,AYT27_RS05920,43.836,73,41,0,6,78,8,80,3.16e-10,55.5
SMa1814,AYT27_RS01090,32.308,520,347,2,9,525,5,522,7.63e-95,295
SMa1828,AYT27_RS05920,28.916,249,171,3,3,247,6,252,5.69e-28,107
SMa1836,AYT27_RS00260,28.899,218,139,9,48,256,54,264,4.29e-19,83.6
SMa1844,AYT27_RS01985,32.933,416,258,8,52,460,45,446,1.25e-71,231
SMa1846,AYT27_RS06355,27.273,275,152,9,101,346,106,361,7.44e-20,86.3
SMa1848,AYT27_RS01985,33.405,467,304,5,15,477,9,472,2.05e-86,269
SMa1850,AYT27_RS02030,31.190,420,264,10,4,414,11,414,1.60e-52,177
SMa1855,AYT27_RS00540,26.667,405,245,10,44,443,32,389,3.68e-40,144
SMa1862,AYT27_RS06185,28.788,330,210,4,9,316,31,357,5.95e-35,126
SMa1863,AYT27_RS06180,30.357,280,195,0,7,286,30,309,2.24e-30,112
SMa1864,AYT27_RS01235,34.375,544,340,9,1,535,1,536,5.76e-105,322
SMa1867,AYT27_RS04150,35.772,123,79,0,3,125,1,123,2.35e-22,83.6
SMa1872,AYT27_RS05490,28.440,327,215,6,7,318,9,331,8.98e-35,127
SMa1884,AYT27_RS00680,21.650,1030,746,20,7,1006,21,1019,2.62e-48,182
SMa1890,AYT27_RS05925,50.746,134,63,1,57,187,147,280,2.17e-40,136
SMa1891,AYT27_RS05925,81.818,33,6,0,1,33,281,313,6.26e-12,55.8
SMa1898,AYT27_RS00250,25.238,210,134,7,57,251,54,255,7.89e-09,51.6
SMa1905,AYT27_RS02430,38.270,601,332,12,150,725,57,643,3.41e-120,374
SMa1913,AYT27_RS02100,36.623,456,261,8,26,462,1,447,2.05e-81,255
SMa1916,AYT27_RS02110,50.592,591,288,4,1,590,1,588,0.0,555
SMa1933,AYT27_RS05920,28.500,200,122,6,5,197,5,190,9.03e-13,61.6
SMa1939,AYT27_RS08110,26.023,342,199,14,6,319,26,341,2.06e-14,70.9
SMa1943,AYT27_RS05920,31.298,131,86,2,23,149,20,150,1.85e-11,56.2
SMa1966,AYT27_RS05920,24.082,245,173,4,65,303,13,250,3.43e-17,77.0
SMa1967,AYT27_RS02775,35.632,87,50,1,27,107,158,244,7.62e-13,58.5
SMa1979,AYT27_RS05920,25.962,312,187,12,6,289,6,301,7.15e-11,57.4
SMa1987,AYT27_RS05920,25.993,277,196,4,2,270,18,293,1.49e-23,93.2
SMa1990,AYT27_RS01690,30.693,101,64,2,4,99,1,100,2.23e-09,47.4
SMa1998,AYT27_RS04245,25.339,221,153,3,14,222,15,235,9.06e-22,90.5
SMa2015,AYT27_RS05920,27.119,177,121,1,5,173,6,182,1.04e-13,63.2
SMa2019,AYT27_RS02775,35.115,131,70,3,1,131,126,241,8.81e-16,67.4
SMa2027,AYT27_RS05920,26.370,292,201,4,1,282,5,292,1.01e-26,102
SMa2033,AYT27_RS00905,26.122,245,165,7,3,231,9,253,2.32e-18,79.7
SMa2063,AYT27_RS07075,32.919,161,103,2,150,305,138,298,3.18e-18,80.1
SMa2065,AYT27_RS07070,33.696,92,58,2,9,97,142,233,1.53e-08,47.0
SMa2067,AYT27_RS00955,45.992,237,123,2,3,238,4,236,7.22e-69,215
SMa2075,AYT27_RS06190,24.454,458,301,18,77,505,66,507,1.53e-24,102
SMa2079,AYT27_RS01235,42.353,255,138,3,3,249,274,527,2.45e-66,213
SMa2081,AYT27_RS01235,50.000,268,126,3,1,260,1,268,2.01e-82,255
SMa2083,AYT27_RS06180,37.037,270,162,3,62,327,43,308,1.18e-54,177
SMa2085,AYT27_RS06185,34.365,323,188,5,21,324,38,355,2.50e-49,164
SMa2107,AYT27_RS05920,27.425,299,198,4,9,297,8,297,2.57e-25,98.6
SMa2127,AYT27_RS03280,30.909,220,142,5,4,217,16,231,1.70e-27,107
SMa2135,AYT27_RS03890,64.096,415,145,1,12,422,21,435,0.0,539
SMa2141,AYT27_RS04890,29.101,189,127,3,90,273,3,189,1.91e-21,85.9
SMa2145,AYT27_RS06520,26.316,361,206,14,61,409,52,364,2.00e-13,66.6
SMa2165,AYT27_RS02775,28.629,248,170,3,1,245,1,244,8.24e-28,102
SMa2175,AYT27_RS08285,27.000,300,200,7,20,312,37,324,2.81e-21,88.6
SMa2187,AYT27_RS08545,26.070,257,165,8,33,280,47,287,9.62e-11,57.4
SMa2195,AYT27_RS03280,51.779,253,107,3,4,253,15,255,1.50e-86,254
SMa2197,AYT27_RS03285,33.790,219,132,4,69,285,25,232,1.07e-36,127
SMa2199,AYT27_RS03295,27.500,240,149,6,45,274,20,244,1.88e-22,89.7
SMa2207,AYT27_RS00955,46.250,240,126,2,6,242,4,243,2.83e-73,227
SMa2211,AYT27_RS05575,26.930,557,372,15,4,541,18,558,4.22e-52,183
SMa2213,AYT27_RS01985,34.568,486,294,8,4,479,2,473,2.68e-90,280
SMa2287,AYT27_RS05920,34.194,155,97,3,10,160,10,163,1.09e-16,74.7
SMa2293,AYT27_RS05920,26.923,286,197,4,9,283,8,292,2.95e-24,95.5
SMa2294,AYT27_RS04470,56.358,692,298,2,33,720,34,725,0.0,801
SMa2295,AYT27_RS05760,48.618,434,215,5,6,437,147,574,5.95e-136,399
SMa2297,AYT27_RS06560,37.500,64,36,1,20,83,33,92,2.18e-11,57.8
SMa2301,AYT27_RS02320,24.870,193,133,5,260,448,514,698,1.45e-10,58.9
SMa2307,AYT27_RS00965,24.468,282,201,6,6,276,3,283,2.80e-18,79.0
SMa2309,AYT27_RS00960,30.859,256,164,4,21,266,26,278,1.31e-29,108
SMa2311,AYT27_RS00955,56.017,241,105,1,24,263,4,244,4.40e-98,293
SMa2313,AYT27_RS06150,30.000,230,139,5,35,260,26,237,1.88e-19,85.5
SMa2321,AYT27_RS05650,32.353,646,375,22,3,621,40,650,5.01e-74,250
SMa2325,AYT27_RS02440,37.104,221,131,3,5,224,2,215,3.17e-40,134
SMa2327,AYT27_RS00155,30.827,266,172,6,626,887,559,816,8.01e-20,90.5
SMa2341,AYT27_RS05920,25.503,298,213,6,3,294,5,299,9.95e-16,71.6
SMa2343,AYT27_RS02775,32.653,196,127,2,6,199,10,202,4.89e-25,95.1
SMa2365,AYT27_RS01235,27.146,501,311,18,22,483,25,510,7.84e-31,121
SMa2377,AYT27_RS04985,26.712,146,106,1,26,170,39,184,7.57e-14,68.2
SMa2383,AYT27_RS03835,24.845,322,203,5,29,320,27,339,1.44e-21,89.4
SMa2385,AYT27_RS02865,28.916,498,302,15,31,513,19,479,2.71e-56,194
SMa2393,AYT27_RS08690,28.125,128,89,3,82,207,66,192,7.21e-11,57.8
SMa2395,AYT27_RS08695,25.194,258,164,8,108,356,3,240,2.56e-18,79.7
SMa2400,AYT27_RS00540,30.562,409,213,16,60,453,28,380,6.78e-47,163
SMa5002,AYT27_RS04395,31.373,102,64,3,4,104,11,107,1.05e-13,58.2
SMa5007,AYT27_RS01640,46.667,60,28,2,2,60,1,57,1.22e-11,52.0
SMc00003,AYT27_RS02240,33.974,156,103,0,191,346,144,299,2.05e-26,102
SMc00005,AYT27_RS02245,75.735,272,66,0,1,272,1,272,2.02e-159,440
SMc00006,AYT27_RS06315,26.111,180,115,5,3,172,5,176,7.21e-12,57.8
SMc00007,AYT27_RS02250,72.603,365,100,0,1,365,1,365,0.0,543
SMc00008,AYT27_RS02255,65.768,371,119,3,1,366,1,368,3.75e-177,493
SMc00010,AYT27_RS00610,39.522,544,295,9,30,562,50,570,1.08e-124,377
SMc00013,AYT27_RS00615,24.359,234,135,5,75,283,3,219,6.75e-08,47.8
SMc00016,AYT27_RS02295,76.147,327,78,0,23,349,5,331,0.0,512
SMc00017,AYT27_RS02300,56.740,319,138,0,1,319,1,319,3.80e-138,390
SMc00018,AYT27_RS02305,60.417,144,57,0,2,145,6,149,2.02e-66,195
SMc00019,AYT27_RS02315,50.794,189,93,0,13,201,6,194,2.60e-70,208
SMc00021,AYT27_RS02355,69.786,374,113,0,1,374,1,374,0.0,565
SMc00022,AYT27_RS02365,36.527,167,103,1,21,187,1,164,2.39e-38,125
SMc00023,AYT27_RS02370,54.696,181,81,1,89,269,37,216,1.03e-72,218
SMc00025,AYT27_RS02375,71.833,884,249,0,1,884,1,884,0.0,1309
SMc00026,AYT27_RS02415,28.859,298,155,6,5,296,5,251,3.87e-31,113
SMc00028,AYT27_RS05510,34.249,473,306,2,347,815,313,784,6.08e-79,268
SMc00033,AYT27_RS02320,26.872,227,149,8,32,249,723,941,1.11e-18,85.9
SMc00034,AYT27_RS03835,28.834,326,193,4,29,326,27,341,1.61e-35,127
SMc00037,AYT27_RS05920,25.909,220,138,4,10,212,8,219,2.45e-14,67.8
SMc00038,AYT27_RS02320,27.765,443,311,6,332,770,517,954,1.96e-56,204
SMc00039,AYT27_RS06030,49.718,177,87,1,66,242,43,217,6.71e-62,190
SMc00042,AYT27_RS05110,21.875,320,177,15,27,291,65,366,1.64e-09,53.5
SMc00043,AYT27_RS02405,77.551,196,44,0,1,196,1,196,5.02e-114,319
SMc00044,AYT27_RS00110,25.410,122,90,1,19,139,22,143,8.10e-11,55.1
SMc00049,AYT27_RS04930,38.776,98,47,4,9,102,33,121,3.30e-08,44.7
SMc00051,AYT27_RS08595,39.163,789,426,13,13,766,14,783,3.82e-133,416
SMc00052,AYT27_RS08595,30.833,120,80,2,20,137,838,956,4.09e-13,60.8
SMc00053,AYT27_RS08590,30.357,112,78,0,1,112,1,112,3.46e-11,52.4
SMc00054,AYT27_RS08585,31.660,518,303,13,38,514,20,527,5.28e-55,189
SMc00056,AYT27_RS08575,41.333,75,43,1,17,91,16,89,4.71e-10,48.9
SMc00057,AYT27_RS08570,33.708,89,57,1,5,91,8,96,1.38e-11,53.5
SMc00058,AYT27_RS02395,56.154,130,57,0,6,135,7,136,1.23e-47,147
SMc00059,AYT27_RS02500,42.029,276,153,3,192,467,505,773,3.63e-62,213
SMc00060,AYT27_RS02380,23.985,271,164,6,49,319,53,281,8.22e-18,77.8
SMc00062,AYT27_RS06560,39.062,64,39,0,16,79,29,92,4.78e-13,61.2
SMc00064,AYT27_RS05860,56.738,141,58,2,3,142,4,142,5.55e-57,171
SMc00068,AYT27_RS03190,40.670,418,192,7,26,402,42,444,9.22e-101,303
SMc00069,AYT27_RS02235,65.829,199,67,1,9,206,9,207,5.84e-98,279
SMc00071,AYT27_RS02285,38.562,153,94,0,24,176,26,178,3.33e-39,127
SMc00072,AYT27_RS06930,36.691,139,78,2,9,138,6,143,8.04e-29,100
SMc00073,AYT27_RS02310,29.448,163,107,5,60,222,48,202,2.01e-16,73.9
SMc00074,AYT27_RS02320,50.263,951,469,1,23,969,10,960,0.0,1023
SMc00077,AYT27_RS02330,61.472,462,178,0,2,463,1,462,0.0,610
SMc00078,AYT27_RS04260,25.895,363,251,11,1,352,1,356,1.57e-27,107
SMc00079,AYT27_RS02350,46.320,231,120,2,1,227,1,231,1.34e-72,217
SMc00085,AYT27_RS08325,34.298,242,138,8,15,241,25,260,7.55e-35,121
SMc00090,AYT27_RS05370,33.784,148,75,3,30,176,9,134,1.38e-16,77.0
SMc00094,AYT27_RS01985,35.307,473,301,5,6,476,4,473,1.24e-84,265
SMc00097,AYT27_RS06305,26.087,184,108,6,54,216,41,217,1.12e-08,49.3
SMc00099,AYT27_RS06900,47.059,68,36,0,2,69,42,109,6.96e-19,70.1
SMc00105,AYT27_RS03835,27.660,329,225,11,10,333,9,329,5.08e-21,88.2
SMc00109,AYT27_RS03170,32.174,115,65,5,20,127,5,113,2.94e-08,45.8
SMc00114,AYT27_RS02400,60.260,692,270,1,21,712,9,695,0.0,883
SMc00118,AYT27_RS02390,56.061,132,57,1,3,134,4,134,4.80e-53,160
SMc00122,AYT27_RS02430,48.860,702,348,4,12,709,6,700,0.0,701
SMc00125,AYT27_RS02410,88.000,25,3,0,1,25,1,25,1.43e-12,49.7
SMc00128,AYT27_RS02420,28.324,173,113,2,7,179,7,168,8.95e-26,93.6
SMc00129,AYT27_RS02445,41.138,457,260,2,4,458,19,468,6.62e-121,357
SMc00131,AYT27_RS04150,74.074,162,42,0,1,162,1,162,7.34e-92,260
SMc00136,AYT27_RS02775,30.342,234,153,5,7,230,9,242,3.93e-25,95.1
SMc00138,AYT27_RS03285,51.770,226,109,0,50,275,10,235,1.73e-83,246
SMc00139,AYT27_RS03290,43.556,225,127,0,37,261,7,231,4.54e-54,171
SMc00140,AYT27_RS03295,45.490,255,131,3,6,258,2,250,3.08e-75,225
SMc00149,AYT27_RS06915,63.203,462,169,1,11,472,1,461,0.0,570
SMc00152,AYT27_RS03315,60.000,220,88,0,1,220,1,220,3.73e-88,256
SMc00153,AYT27_RS03320,39.394,165,96,2,1,165,7,167,1.05e-34,116
SMc00154,AYT27_RS03325,58.568,461,188,2,3,462,3,461,0.0,564
SMc00155,AYT27_RS03330,73.348,454,121,0,1,454,1,454,0.0,727
SMc00161,AYT27_RS03335,62.591,548,204,1,11,558,5,551,0.0,722
SMc00162,AYT27_RS07705,27.717,184,119,4,92,273,235,406,7.34e-11,57.8
SMc00165,AYT27_RS02775,31.600,250,158,4,7,256,3,239,5.37e-27,101
SMc00169,AYT27_RS03855,71.791,748,211,0,17,764,15,762,0.0,1084
SMc00175,AYT27_RS06570,33.613,238,153,3,15,249,2,237,5.46e-40,137
SMc00178,AYT27_RS01555,41.860,86,50,0,103,188,2,87,1.49e-20,78.6
SMc00183,AYT27_RS08505,26.786,168,109,5,5,159,1,167,1.32e-09,51.2
SMc00184,AYT27_RS06060,59.333,150,61,0,4,153,3,152,1.00e-63,188
SMc00185,AYT27_RS02695,34.205,459,281,7,159,609,164,609,7.36e-78,255
SMc00186,AYT27_RS02695,34.990,503,301,7,146,637,123,610,5.81e-87,280
SMc00189,AYT27_RS06045,48.333,60,31,0,223,282,1,60,6.92e-17,69.3
SMc00190,AYT27_RS03860,22.378,1354,844,34,818,2087,288,1518,1.08e-56,213
SMc00227,AYT27_RS04505,49.438,89,45,0,1,89,1,89,1.96e-25,87.4
SMc00228,AYT27_RS05030,53.989,702,322,1,1,701,1,702,0.0,764
SMc00230,AYT27_RS06440,39.726,73,41,2,78,147,92,164,1.18e-08,48.1
SMc00231,AYT27_RS05065,60.526,608,239,1,1,608,1,607,0.0,777
SMc00232,AYT27_RS05070,56.125,449,193,2,3,449,2,448,1.45e-180,508
SMc00233,AYT27_RS05880,30.450,555,378,1,1,547,1,555,7.00e-85,270
SMc00234,AYT27_RS02940,32.000,625,411,8,1,619,1,617,5.73e-109,337
SMc00240,AYT27_RS05535,35.206,267,168,3,158,423,252,514,3.89e-44,157
SMc00245,AYT27_RS03280,30.045,223,148,3,6,222,10,230,7.60e-33,122
SMc00246,AYT27_RS03835,33.203,256,141,3,30,256,27,281,2.17e-32,119
SMc00247,AYT27_RS04385,60.000,235,94,0,5,239,29,263,3.22e-100,288
SMc00248,AYT27_RS05075,55.102,245,109,1,3,246,2,246,3.03e-88,258
SMc00257,AYT27_RS01315,29.603,277,132,7,2,215,3,279,3.74e-21,84.7
SMc00260,AYT27_RS02775,32.099,243,154,4,6,244,7,242,1.25e-30,110
SMc00261,AYT27_RS08055,25.087,574,348,20,17,531,72,622,3.15e-31,124
SMc00264,AYT27_RS02775,28.516,256,165,5,4,258,3,241,1.85e-22,89.0
SMc00268,AYT27_RS02775,38.211,246,141,4,6,248,4,241,3.14e-48,155
SMc00269,AYT27_RS02265,31.392,309,200,6,46,348,326,628,6.82e-38,139
SMc00270,AYT27_RS07840,33.202,253,157,6,10,253,1,250,6.05e-28,108
SMc00275,AYT27_RS05920,31.724,145,90,2,8,150,8,145,4.47e-15,70.1
SMc00276,AYT27_RS08685,28.829,222,125,8,35,250,15,209,2.37e-13,64.3
SMc00277,AYT27_RS04425,26.525,377,245,14,46,414,27,379,5.35e-16,75.5
SMc00278,AYT27_RS04150,42.553,141,81,0,8,148,1,141,2.92e-37,122
SMc00287,AYT27_RS04865,47.525,101,53,0,1,101,1,101,3.58e-34,109
SMc00288,AYT27_RS04270,39.286,112,62,1,46,151,47,158,2.45e-20,79.0
SMc00289,AYT27_RS04265,63.102,187,63,3,6,187,2,187,3.72e-83,240
SMc00292,AYT27_RS04025,53.571,588,272,1,10,597,5,591,0.0,627
SMc00293,AYT27_RS05120,63.218,435,158,1,1,435,1,433,0.0,574
SMc00294,AYT27_RS05915,28.250,400,264,12,6,390,7,398,3.22e-40,143
SMc00297,AYT27_RS04300,57.604,217,92,0,3,219,3,219,1.15e-87,255
SMc00298,AYT27_RS04295,69.517,269,82,0,1,269,1,269,1.31e-145,405
SMc00299,AYT27_RS04290,58.824,221,91,0,42,262,44,264,1.81e-97,282
SMc00300,AYT27_RS08625,28.541,466,320,8,4,460,3,464,3.35e-59,197
SMc00301,AYT27_RS03820,58.824,119,47,1,3,121,4,120,7.57e-48,146
SMc00302,AYT27_RS04420,82.407,108,19,0,19,126,26,133,5.00e-64,187
SMc00303,AYT27_RS04335,96.000,25,1,0,1,25,1,25,1.01e-11,47.4
SMc00316,AYT27_RS04390,50.384,391,194,0,24,414,7,397,4.82e-135,390
SMc00320,AYT27_RS01100,60.156,128,48,1,6,130,3,130,7.22e-55,164
SMc00321,AYT27_RS01095,58.176,318,124,3,1,309,1,318,4.60e-127,361
SMc00322,AYT27_RS07075,32.836,201,129,2,365,560,130,329,3.26e-28,111
SMc00323,AYT27_RS01085,69.663,89,27,0,1,89,1,89,1.61e-41,127
SMc00324,AYT27_RS01080,80.395,709,139,0,1,709,1,709,0.0,1210
SMc00325,AYT27_RS01075,35.241,332,211,4,9,338,3,332,1.58e-64,203
SMc00326,AYT27_RS00630,70.412,267,78,1,1,266,1,267,1.84e-140,392
SMc00327,AYT27_RS00635,72.414,406,109,2,1,404,1,405,0.0,601
SMc00328,AYT27_RS00640,77.381,168,38,0,1,168,1,168,3.35e-99,279
SMc00329,AYT27_RS00645,63.636,132,43,2,10,137,33,163,1.25e-63,188
SMc00332,AYT27_RS00480,82.927,41,7,0,1,41,1,41,2.23e-21,79.0
SMc00333,AYT27_RS00475,66.515,439,144,1,9,447,6,441,0.0,579
SMc00334,AYT27_RS00470,58.571,210,87,0,3,212,4,213,4.59e-87,252
SMc00335,AYT27_RS00465,80.600,567,109,1,1,567,1,566,0.0,943
SMc00342,AYT27_RS01300,68.137,204,64,1,5,208,4,206,2.18e-95,273
SMc00347,AYT27_RS05940,32.231,121,67,4,16,131,45,155,1.01e-08,47.0
SMc00349,AYT27_RS00350,83.389,596,98,1,11,606,6,600,0.0,1043
SMc00354,AYT27_RS07685,31.176,170,91,6,62,221,21,174,3.46e-14,63.9
SMc00357,AYT27_RS07795,40.957,188,111,0,2,189,1,188,4.50e-57,174
SMc00359,AYT27_RS07605,75.325,154,38,0,173,326,115,268,6.85e-81,243
SMc00361,AYT27_RS00250,51.915,235,106,1,45,279,28,255,3.20e-87,257
SMc00362,AYT27_RS00245,73.239,142,38,0,2,143,31,172,9.95e-77,221
SMc00363,AYT27_RS00405,86.567,67,9,0,1,67,1,67,1.35e-39,120
SMc00364,AYT27_RS00410,80.597,134,25,1,1,134,1,133,1.57e-73,211
SMc00365,AYT27_RS00415,72.067,358,100,0,1,358,1,358,0.0,547
SMc00366,AYT27_RS00420,64.233,808,285,1,1,808,1,804,0.0,1060
SMc00370,AYT27_RS05920,29.570,186,130,1,8,193,9,193,7.67e-22,89.0
SMc00372,AYT27_RS02775,32.016,253,163,4,1,253,1,244,1.30e-29,107
SMc00375,AYT27_RS06150,29.032,93,64,2,57,148,53,144,1.91e-08,50.4
SMc00378,AYT27_RS06210,51.098,501,196,3,1,501,2,453,0.0,515
SMc00382,AYT27_RS01285,69.779,407,123,0,12,418,9,415,0.0,596
SMc00394,AYT27_RS00945,76.744,516,119,1,5,520,4,518,0.0,843
SMc00403,AYT27_RS00940,48.131,428,221,1,1,428,1,427,1.20e-138,400
SMc00404,AYT27_RS04340,44.186,86,45,1,35,117,102,187,1.58e-19,77.4
SMc00407,AYT27_RS06305,56.957,230,99,0,1,230,1,230,7.30e-99,283
SMc00410,AYT27_RS00165,44.136,324,176,2,3,322,7,329,9.04e-100,293
SMc00415,AYT27_RS00590,64.439,374,130,3,1,372,1,373,6.50e-175,487
SMc00416,AYT27_RS06275,53.584,293,135,1,14,305,2,294,2.33e-100,293
SMc00418,AYT27_RS06270,52.252,111,53,0,12,122,12,122,6.38e-37,118
SMc00419,AYT27_RS01245,69.132,311,96,0,5,315,1,311,5.15e-168,465
SMc00420,AYT27_RS00220,64.427,506,180,0,1,506,1,506,0.0,686
SMc00422,AYT27_RS00110,25.000,196,142,4,6,197,10,204,1.09e-11,57.4
SMc00423,AYT27_RS00110,30.622,209,143,2,1,208,4,211,1.68e-28,102
SMc00425,AYT27_RS04150,28.571,126,87,1,2,124,1,126,6.02e-14,61.2
SMc00427,AYT27_RS00120,72.553,521,143,0,3,523,2,522,0.0,794
SMc00435,AYT27_RS00485,100.000,25,0,0,1,25,1,25,4.63e-13,50.8
SMc00450,AYT27_RS02290,57.000,300,128,1,41,339,5,304,7.41e-116,334
SMc00451,AYT27_RS02325,60.993,423,164,1,1,423,1,422,0.0,549
SMc00452,AYT27_RS02360,55.556,351,148,3,14,364,24,366,3.16e-134,384
SMc00457,AYT27_RS02425,30.208,192,133,1,4,194,3,194,2.23e-31,109
SMc00458,AYT27_RS02440,71.041,221,64,0,1,221,1,221,2.88e-121,339
SMc00461,AYT27_RS07610,63.816,152,48,1,14,158,31,182,4.26e-67,198
SMc00469,AYT27_RS04930,74.820,139,34,1,8,146,1,138,1.39e-72,210
SMc00470,AYT27_RS04925,33.824,136,86,2,33,167,36,168,1.50e-15,69.3
SMc00471,AYT27_RS04920,39.331,867,466,15,20,867,18,843,0.0,578
SMc00475,AYT27_RS05215,70.575,887,261,0,1,887,1,887,0.0,1306
SMc00480,AYT27_RS05130,84.864,403,61,0,1,403,1,403,0.0,734
SMc00482,AYT27_RS04305,59.851,269,108,0,1,269,1,269,4.68e-117,333
SMc00483,AYT27_RS04310,58.301,259,107,1,7,264,4,262,6.99e-113,322
SMc00484,AYT27_RS06010,64.400,500,169,3,1,493,1,498,0.0,644
SMc00485,AYT27_RS04315,80.976,205,39,0,1,205,1,205,1.72e-130,361
SMc00487,AYT27_RS04975,64.935,77,27,0,1,77,1,77,1.21e-35,111
SMc00488,AYT27_RS04970,70.828,737,211,2,1,736,1,734,0.0,1066
SMc00493,AYT27_RS04965,71.818,220,62,0,1,220,1,220,1.96e-127,355
SMc00494,AYT27_RS04960,62.821,78,29,0,2,79,1,78,4.03e-31,100
SMc00495,AYT27_RS04955,82.677,254,44,0,1,254,1,254,1.60e-160,441
SMc00505,AYT27_RS04950,60.440,182,72,0,1,182,1,182,1.55e-82,238
SMc00508,AYT27_RS04945,83.834,433,70,0,1,433,1,433,0.0,785
SMc00511,AYT27_RS04940,70.561,214,63,0,8,221,7,220,1.29e-115,325
SMc00514,AYT27_RS04935,47.712,153,80,0,23,175,23,175,6.83e-47,147
SMc00522,AYT27_RS03345,63.306,496,144,3,1,495,5,463,0.0,614
SMc00524,AYT27_RS04460,58.000,150,63,0,6,155,2,151,1.03e-64,191
SMc00526,AYT27_RS04455,72.222,414,115,0,4,417,4,417,0.0,645
SMc00528,AYT27_RS04450,78.539,219,47,0,1,219,1,219,4.05e-133,370
SMc00529,AYT27_RS04445,48.042,383,197,1,1,383,1,381,3.55e-119,347
SMc00530,AYT27_RS04440,82.704,503,73,1,1,489,1,503,0.0,879
SMc00531,AYT27_RS04435,76.096,251,60,0,1,251,1,251,3.52e-143,397
SMc00532,AYT27_RS04430,41.647,425,245,3,1,425,1,422,6.73e-116,341
SMc00533,AYT27_RS04425,65.842,404,138,0,10,413,9,412,0.0,591
SMc00534,AYT27_RS04320,73.864,264,69,0,44,307,28,291,3.34e-148,414
SMc00535,AYT27_RS07800,29.098,244,152,7,8,243,4,234,3.28e-20,83.6
SMc00536,AYT27_RS04985,38.131,396,241,2,1,394,18,411,2.93e-93,282
SMc00537,AYT27_RS04985,46.988,415,212,3,1,409,1,413,2.17e-128,372
SMc00538,AYT27_RS04980,70.000,110,33,0,1,110,1,110,1.08e-57,169
SMc00539,AYT27_RS07050,40.152,132,77,1,300,429,499,630,9.58e-24,99.8
SMc00550,AYT27_RS02695,69.256,618,190,0,5,622,8,625,0.0,906
SMc00551,AYT27_RS02700,60.909,220,86,0,1,220,1,220,5.41e-106,301
SMc00552,AYT27_RS02705,58.000,250,104,1,23,271,14,263,1.43e-95,279
SMc00553,AYT27_RS02710,58.159,239,100,0,8,246,11,249,1.75e-104,299
SMc00554,AYT27_RS02715,76.763,482,112,0,13,494,13,494,0.0,783
SMc00555,AYT27_RS02720,48.241,199,96,2,1,199,1,192,1.14e-55,171
SMc00556,AYT27_RS02725,76.652,454,106,0,21,474,1,454,0.0,701
SMc00557,AYT27_RS06505,36.461,373,223,4,6,376,12,372,1.05e-81,250
SMc00561,AYT27_RS02730,69.102,479,142,3,17,494,16,489,0.0,672
SMc00563,AYT27_RS07980,45.328,503,275,0,14,516,32,534,2.32e-144,423
SMc00564,AYT27_RS07975,41.954,348,178,3,8,351,1,328,6.97e-95,282
SMc00565,AYT27_RS02740,68.391,174,55,0,1,174,1,174,1.27e-86,249
SMc00566,AYT27_RS02745,26.667,315,214,8,1,302,1,311,1.99e-19,83.2
SMc00567,AYT27_RS02750,81.481,81,15,0,1,81,1,81,1.89e-49,146
SMc00568,AYT27_RS02755,69.167,120,37,0,1,120,1,120,2.04e-56,169
SMc00571,AYT27_RS02770,69.231,312,96,0,1,312,1,312,5.96e-156,434
SMc00572,AYT27_RS02775,71.429,245,70,0,1,245,1,245,1.99e-135,377
SMc00573,AYT27_RS02780,80.769,78,15,0,1,78,1,78,1.04e-40,124
SMc00574,AYT27_RS02785,77.088,419,96,0,1,419,1,419,0.0,589
SMc00575,AYT27_RS02790,54.790,334,151,0,42,375,33,366,1.92e-127,368
SMc00577,AYT27_RS02795,55.882,204,89,1,13,216,17,219,7.15e-87,252
SMc00579,AYT27_RS02800,65.328,274,91,2,4,274,3,275,5.74e-124,350
SMc00580,AYT27_RS02805,55.864,324,143,0,14,337,9,332,4.39e-130,371
SMc00581,AYT27_RS02810,38.535,314,190,3,2,313,1,313,9.69e-73,223
SMc00582,AYT27_RS02815,40.990,788,438,10,1,768,1,781,0.0,612
SMc00583,AYT27_RS02820,48.493,365,183,1,1,360,1,365,3.18e-124,358
SMc00584,AYT27_RS02825,38.649,370,224,2,1,367,1,370,1.51e-100,300
