Abortus2308|Q.,C_crescentus|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS21380,CC_1741,55.785,484,191,5,10,488,8,473,0.0,536
BAB_RS21385,CC_1740,46.610,354,182,4,7,358,3,351,5.63e-97,290
BAB_RS21390,CC_1739,48.052,308,151,4,25,323,1,308,3.26e-79,241
BAB_RS21395,CC_1738,43.557,388,206,7,56,442,6,381,3.26e-86,266
BAB_RS21400,CC_1737,50.667,150,74,0,13,162,13,162,2.23e-47,149
BAB_RS21405,CC_3175,38.342,193,118,1,3,194,6,198,6.90e-33,117
BAB_RS21410,CC_1736,34.815,135,86,1,15,149,15,147,5.00e-24,88.2
BAB_RS21415,CC_1735,68.308,325,99,1,1,321,1,325,4.75e-174,482
BAB_RS21425,CC_1731,54.545,495,186,8,1,486,1,465,1.06e-178,506
BAB_RS21430,CC_1729,55.531,452,172,4,1,447,1,428,1.57e-149,429
BAB_RS21435,CC_1727,65.351,456,149,2,4,459,3,449,0.0,584
BAB_RS21440,CC_1726,68.955,335,103,1,12,346,6,339,1.12e-160,450
BAB_RS21445,CC_1725,38.462,91,55,1,15,104,8,98,1.96e-12,55.8
BAB_RS21450,CC_1925,47.024,168,89,0,26,193,40,207,1.78e-45,146
BAB_RS21455,CC_1724,73.585,424,111,1,1,423,1,424,0.0,626
BAB_RS21460,CC_1429,68.182,264,84,0,13,276,23,286,8.85e-124,352
BAB_RS21465,CC_1720,73.273,550,139,2,1,542,1,550,0.0,811
BAB_RS21475,CC_1719,56.716,67,28,1,4,69,61,127,3.32e-16,69.3
BAB_RS21480,CC_1893,52.049,244,116,1,6,249,9,251,1.45e-69,211
BAB_RS21485,CC_1894,28.893,533,353,7,1,518,1,522,1.31e-54,194
BAB_RS21490,CC_1898,50.595,336,165,1,1,335,1,336,3.49e-111,324
BAB_RS21495,CC_1899,64.615,260,92,0,3,262,2,261,3.05e-113,323
BAB_RS21500,CC_0014,61.392,158,59,1,4,161,31,186,3.68e-61,184
BAB_RS21505,CC_3209,45.387,401,212,4,4,404,12,405,5.51e-95,288
BAB_RS21510,CC_1902,66.116,242,71,3,1,240,12,244,4.35e-104,298
BAB_RS21515,CC_1904,30.492,610,392,16,80,679,39,626,5.96e-41,157
BAB_RS21520,CC_1905,53.782,476,206,5,1,472,1,466,2.22e-167,477
BAB_RS21525,CC_1906,69.464,429,128,2,1,429,1,426,0.0,645
BAB_RS21530,CC_1909,35.227,352,205,7,6,347,7,345,4.16e-54,181
BAB_RS21535,CC_1910,40.221,271,158,3,20,288,3,271,3.86e-55,177
BAB_RS21540,CC_1911,44.358,257,143,0,6,262,3,259,3.53e-73,222
BAB_RS21545,CC_1912,47.368,152,78,2,1,150,1,152,1.69e-44,140
BAB_RS21550,CC_1913,40.116,344,197,2,1,344,1,335,2.32e-72,225
BAB_RS21555,CC_1915,37.612,779,462,9,16,781,1,768,9.10e-162,485
BAB_RS21560,CC_1916,38.421,380,209,5,19,376,8,384,1.58e-84,259
BAB_RS21565,CC_1918,38.610,259,138,7,3,250,14,262,2.80e-36,127
BAB_RS21570,CC_1919,49.780,227,114,0,6,232,24,250,4.13e-76,228
BAB_RS21575,CC_1920,58.621,174,72,0,13,186,15,188,1.30e-71,212
BAB_RS21580,CC_1921,54.701,234,106,0,7,240,10,243,9.31e-94,272
BAB_RS21585,CC_1922,57.566,304,124,2,3,301,4,307,2.66e-115,332
BAB_RS21590,CC_1923,71.084,249,71,1,1,249,1,248,4.51e-128,361
BAB_RS21605,CC_2158,48.507,134,67,2,21,153,2,134,1.80e-36,119
BAB_RS21610,CC_2157,36.214,243,140,6,10,239,15,255,6.70e-34,120
BAB_RS21615,CC_2156,52.577,388,176,4,9,394,2,383,1.12e-138,398
BAB_RS21620,CC_2470,56.338,142,60,2,1,140,3,144,1.93e-52,160
BAB_RS21625,CC_2468,72.617,745,204,0,1,745,1,745,0.0,1142
BAB_RS21630,CC_2467,69.369,111,34,0,5,115,8,118,5.49e-55,164
BAB_RS21635,CC_2161,42.155,427,206,9,44,468,46,433,3.62e-97,296
BAB_RS21645,CC_2167,49.315,146,55,6,1,143,1,130,2.93e-36,119
BAB_RS21650,CC_3108,55.504,427,181,3,17,439,41,462,1.53e-152,438
BAB_RS21665,CC_0081,42.478,113,62,1,5,117,11,120,1.14e-23,86.7
BAB_RS21685,CC_2654,69.863,146,44,0,10,155,6,151,1.91e-78,226
BAB_RS21695,CC_2122,48.925,186,87,4,1,180,2,185,1.00e-50,158
BAB_RS21700,CC_1763,37.668,446,272,4,26,467,1,444,1.92e-97,297
BAB_RS21705,CC_1975,73.922,510,133,0,1,510,1,510,0.0,801
BAB_RS21710,CC_2179,57.292,672,277,5,1,666,1,668,0.0,748
BAB_RS21715,CC_2374,60.955,712,271,4,4,712,2,709,0.0,850
BAB_RS21725,CC_1448,27.703,148,104,1,222,369,61,205,5.08e-08,52.4
BAB_RS21735,CC_3703,27.536,276,151,10,21,262,9,269,1.26e-12,63.5
BAB_RS21740,CC_2520,43.830,235,125,2,17,248,1,231,1.93e-60,189
BAB_RS21755,CC_2522,88.089,403,48,0,1,403,1,403,0.0,749
BAB_RS21765,CC_2529,65.424,885,300,4,1,885,1,879,0.0,1149
BAB_RS21770,CC_1087,74.203,345,88,1,2,346,3,346,0.0,519
BAB_RS21775,CC_0201,50.463,216,100,4,7,217,12,225,2.65e-50,160
BAB_RS21785,CC_1283,62.673,434,158,3,1,433,1,431,0.0,521
BAB_RS21790,CC_1282,45.532,470,236,8,11,472,15,472,2.61e-113,339
BAB_RS21795,CC_1273,75.200,125,31,0,1,125,1,125,1.44e-68,200
BAB_RS21800,CC_1272,75.668,337,81,1,1,336,1,337,0.0,532
BAB_RS21805,CC_1271,80.620,129,25,0,1,129,1,129,3.15e-77,221
BAB_RS21810,CC_1270,87.705,122,15,0,1,122,1,122,5.42e-74,213
BAB_RS21815,CC_1269,52.332,193,86,1,1,193,1,187,2.85e-64,194
BAB_RS21820,CC_1268,60.364,439,166,5,12,443,1,438,0.0,536
BAB_RS21825,CC_1267,55.034,149,67,0,2,150,3,151,2.09e-52,161
BAB_RS21830,CC_1266,61.905,63,22,1,1,63,1,61,3.42e-22,77.8
BAB_RS21835,CC_1265,69.036,197,50,2,1,186,1,197,1.64e-87,253
BAB_RS21840,CC_1264,69.492,118,31,1,3,120,4,116,1.46e-48,148
BAB_RS21845,CC_1263,59.322,177,72,0,1,177,1,177,1.06e-70,209
BAB_RS21850,CC_1262,66.667,132,44,0,1,132,1,132,9.74e-62,182
BAB_RS21855,CC_1261,70.297,101,30,0,1,101,1,101,6.48e-48,145
BAB_RS21860,CC_1260,69.945,183,55,0,1,183,1,183,4.98e-98,278
BAB_RS21865,CC_1259,56.863,102,42,2,3,103,4,104,7.23e-36,115
BAB_RS21870,CC_1258,81.148,122,23,0,1,122,1,122,7.39e-72,207
BAB_RS21875,CC_1257,64.557,79,28,0,1,79,1,79,2.23e-31,102
BAB_RS21880,CC_1256,66.129,62,21,0,1,62,1,62,1.54e-24,83.6
BAB_RS21885,CC_1255,82.222,135,24,0,1,135,1,135,4.69e-83,237
BAB_RS21890,CC_1254,75.688,218,53,0,1,218,1,218,1.64e-128,360
BAB_RS21895,CC_1253,62.903,124,46,0,1,124,1,124,5.99e-51,155
BAB_RS21900,CC_1252,75.904,83,20,0,1,83,1,83,3.05e-44,135
BAB_RS21905,CC_1251,75.180,278,67,2,1,277,1,277,9.21e-141,394
BAB_RS21910,CC_1250,75.269,93,23,0,5,97,6,98,1.92e-46,141
BAB_RS21915,CC_1249,62.136,206,77,1,1,205,1,206,1.75e-88,256
BAB_RS21920,CC_1248,65.766,222,76,0,2,223,7,228,1.93e-108,310
BAB_RS21925,CC_1247,90.196,102,10,0,1,102,1,102,9.84e-65,187
BAB_RS21930,CC_3199,80.808,396,71,1,1,391,1,396,0.0,637
BAB_RS21935,CC_3200,71.879,697,188,4,1,694,1,692,0.0,1032
BAB_RS21940,CC_3201,75.159,157,38,1,1,156,1,157,1.13e-87,250
BAB_RS21945,CC_3202,84.553,123,19,0,1,123,1,123,5.06e-73,210
BAB_RS21955,CC_0503,71.510,1397,391,4,1,1393,1,1394,0.0,2040
BAB_RS21960,CC_0502,75.092,1365,330,5,1,1364,1,1356,0.0,2100
BAB_RS21965,CC_0497,65.354,127,41,2,1,124,1,127,6.23e-38,122
BAB_RS21970,CC_0496,50.581,172,84,1,1,171,1,172,6.53e-55,168
BAB_RS21975,CC_0640,65.502,229,77,1,1,229,1,227,4.43e-93,270
BAB_RS21980,CC_0641,63.121,141,52,0,1,141,1,141,3.56e-67,197
BAB_RS21985,CC_3205,67.630,173,55,1,4,175,12,184,7.29e-86,247
BAB_RS21990,CC_3206,45.161,62,34,0,3,64,18,79,1.65e-15,61.2
BAB_RS22000,CC_3199,80.808,396,71,1,1,391,1,396,0.0,637
BAB_RS22005,CC_t16,87.500,24,3,0,1,24,1,24,4.80e-08,39.3
BAB_RS22015,CC_1239,37.500,264,153,6,25,281,11,269,1.23e-42,144
BAB_RS22020,CC_2626,39.568,139,84,0,3,141,17,155,2.54e-31,107
BAB_RS22025,CC_2627,35.000,220,106,10,15,225,8,199,2.11e-19,80.5
BAB_RS22030,CC_2640,30.435,138,90,3,1,137,70,202,4.43e-08,48.9
BAB_RS22035,CC_0167,41.525,118,63,2,77,189,155,271,7.91e-25,95.1
BAB_RS22040,CC_2643,53.179,173,81,0,1,173,1,173,9.73e-69,204
BAB_RS22050,CC_2651,49.425,261,132,0,14,274,11,271,6.21e-96,280
BAB_RS22055,CC_1229,36.752,117,69,3,7,121,15,128,1.62e-14,68.9
BAB_RS22060,CC_1388,34.711,121,78,1,32,152,62,181,1.69e-21,82.8
BAB_RS22065,CC_1387,61.017,59,23,0,123,181,1,59,1.94e-20,77.8
BAB_RS22070,CC_1315,60.588,170,60,2,4,173,2,164,1.51e-76,223
BAB_RS22090,CC_1386,43.002,593,326,8,7,593,14,600,1.36e-130,392
BAB_RS22095,CC_2543,31.056,322,189,10,52,353,11,319,1.87e-27,107
BAB_RS22100,CC_1384,61.538,312,119,1,12,323,6,316,9.49e-136,385
BAB_RS22105,CC_1383,46.366,399,206,2,39,437,38,428,2.18e-104,313
BAB_RS22110,CC_1382,64.646,396,140,0,1,396,1,396,0.0,563
BAB_RS22120,CC_1512,42.500,80,40,2,330,404,135,213,4.70e-10,56.2
BAB_RS22135,CC_3690,50.538,93,39,4,6,94,20,109,1.13e-19,73.9
BAB_RS22140,CC_2675,50.224,223,111,0,1,223,1,223,1.80e-76,228
BAB_RS22145,CC_2677,63.813,257,93,0,15,271,15,271,1.22e-125,356
BAB_RS22150,CC_2680,52.222,180,85,1,30,208,37,216,1.87e-62,192
BAB_RS22220,CC_1071,29.688,192,127,6,129,315,182,370,5.27e-14,68.9
BAB_RS22230,CC_1118,46.809,235,121,3,25,259,26,256,7.51e-53,172
BAB_RS22245,CC_0618,30.918,207,129,5,3,200,10,211,1.17e-14,68.6
BAB_RS22260,CC_0372,51.172,256,124,1,5,260,13,267,4.94e-80,239
BAB_RS22280,CC_0321,37.379,206,95,5,5,209,10,182,2.23e-34,126
BAB_RS22300,CC_2694,58.420,481,196,3,4,483,3,480,0.0,528
BAB_RS22305,CC_1350,65.067,375,131,0,9,383,3,377,0.0,504
BAB_RS22310,CC_1354,58.503,294,121,1,1,293,1,294,2.53e-96,283
BAB_RS22320,CC_3510,34.266,286,181,4,12,295,7,287,2.39e-43,147
BAB_RS22325,CC_2960,25.776,322,225,5,7,326,1,310,3.67e-29,111
BAB_RS22335,CC_3355,22.196,419,261,15,273,682,6,368,1.38e-11,63.5
BAB_RS22345,CC_3000,31.683,202,128,3,556,752,15,211,2.05e-16,78.6
BAB_RS22355,CC_1991,43.340,533,289,6,4,528,5,532,1.84e-143,431
BAB_RS22360,CC_3496,29.116,577,359,11,11,569,13,557,3.61e-38,146
BAB_RS22370,CC_2185,51.087,92,45,0,2,93,10,101,5.61e-26,93.2
BAB_RS22375,CC_2185,61.765,68,26,0,1,68,118,185,5.97e-23,84.7
BAB_RS22380,CC_1597,55.833,240,106,0,35,274,37,276,1.22e-86,257
BAB_RS22385,CC_1596,53.160,269,126,0,2,270,50,318,2.44e-94,278
BAB_RS22390,CC_0286,49.367,316,158,2,20,334,35,349,2.28e-110,322
BAB_RS22400,CC_0347,47.619,252,110,4,10,241,52,301,9.98e-72,228
BAB_RS22405,CC_1701,34.146,164,108,0,1,164,1,164,1.65e-26,98.6
BAB_RS22410,CC_t13,76.000,25,6,0,1,25,1,25,4.12e-08,39.3
BAB_RS22425,CC_2655,37.358,265,141,8,1,252,2,254,3.50e-31,114
BAB_RS22430,CC_0860,35.246,244,146,5,5,244,3,238,3.89e-39,139
BAB_RS22435,CC_0861,28.235,255,149,4,5,259,110,330,4.34e-11,58.9
BAB_RS22450,CC_1630,28.289,304,194,6,72,365,76,365,8.08e-30,115
BAB_RS22455,CC_1193,41.102,236,132,2,3,237,4,233,7.11e-54,172
BAB_RS22460,CC_1192,47.312,279,146,1,53,331,66,343,4.11e-64,204
BAB_RS22465,CC_1191,28.384,229,156,5,24,249,17,240,1.73e-14,68.6
BAB_RS22470,CC_1750,27.690,632,383,22,38,620,44,650,2.97e-44,164
BAB_RS22480,CC_0188,35.510,245,145,6,277,511,19,260,3.16e-38,142
BAB_RS22485,CC_2092,31.308,214,99,6,37,249,53,219,3.97e-09,53.9
BAB_RS22555,CC_2669,34.450,209,127,6,11,211,10,216,6.44e-28,105
BAB_RS22560,CC_1981,29.134,127,79,4,2,120,1,124,7.52e-08,47.0
BAB_RS22565,CC_1981,34.109,129,70,4,5,126,3,123,6.24e-11,53.1
BAB_RS22600,CC_2162,54.115,401,179,4,3,401,22,419,3.14e-153,437
BAB_RS22610,CC_2120,73.746,339,89,0,1,339,1,339,0.0,532
BAB_RS22615,CC_3716,26.842,190,133,4,23,211,16,200,1.23e-09,52.8
BAB_RS22620,CC_0131,51.177,637,290,6,34,651,62,696,0.0,636
BAB_RS22625,CC_1557,35.537,242,149,5,1,239,1,238,6.18e-34,120
BAB_RS22640,CC_2101,55.435,184,76,1,7,190,8,185,2.86e-67,201
BAB_RS22645,CC_2100,69.060,585,177,2,24,607,1,582,0.0,874
BAB_RS22650,CC_2098,45.172,290,157,2,2,291,3,290,1.27e-67,210
BAB_RS22655,CC_2097,57.447,235,100,0,63,297,60,294,6.58e-87,259
BAB_RS22660,CC_1477,70.229,393,115,2,1,392,1,392,0.0,564
BAB_RS22665,CC_2758,41.608,423,223,8,106,523,125,528,8.91e-95,295
BAB_RS22685,CC_2126,48.538,171,87,1,1,170,1,171,9.17e-54,165
BAB_RS22690,CC_2124,73.004,263,70,1,2,264,18,279,1.72e-145,405
BAB_RS22700,CC_1230,37.643,263,164,0,7,269,14,276,2.32e-53,179
BAB_RS22705,CC_3716,28.409,176,117,4,63,236,5,173,7.60e-12,60.1
BAB_RS22710,CC_2102,50.000,114,56,1,3,115,8,121,4.06e-34,115
BAB_RS22720,CC_1530,47.368,57,30,0,1,57,1,57,9.48e-08,41.2
BAB_RS22740,CC_3389,32.802,439,246,17,55,463,37,456,2.07e-41,150
BAB_RS22755,CC_1528,53.730,858,331,11,10,856,1,803,0.0,881
BAB_RS22770,CC_3503,47.674,172,89,1,20,190,19,190,1.97e-53,166
BAB_RS22775,CC_1526,39.416,274,162,3,12,284,15,285,2.94e-61,192
BAB_RS22780,CC_1525,48.852,610,298,6,4,608,3,603,0.0,540
BAB_RS22790,CC_1522,55.497,573,229,8,1,564,1,556,0.0,582
BAB_RS22795,CC_1983,46.004,563,263,13,1,536,1,549,1.07e-118,359
BAB_RS22800,CC_1984,47.303,241,124,2,27,267,24,261,3.68e-77,234
BAB_RS22805,CC_1985,47.122,278,136,6,12,283,1,273,1.61e-74,226
BAB_RS22810,CC_2540,59.910,444,148,5,1,443,1,415,6.19e-146,427
BAB_RS22815,CC_2541,41.274,424,238,3,22,440,6,423,3.14e-96,292
BAB_RS22820,CC_2542,31.556,225,146,1,68,284,59,283,3.66e-35,126
BAB_RS22825,CC_2543,55.519,308,129,3,1,304,11,314,1.43e-108,315
BAB_RS22830,CC_2545,52.381,294,137,2,15,306,6,298,1.13e-102,300
BAB_RS22835,CC_2546,62.635,463,171,1,3,465,8,468,0.0,556
BAB_RS22840,CC_2551,46.499,357,187,2,11,365,6,360,1.52e-95,286
BAB_RS22845,CC_2552,51.226,367,177,2,3,367,10,376,6.86e-131,378
BAB_RS22850,CC_2556,53.978,465,202,6,1,457,1,461,2.56e-158,454
BAB_RS22855,CC_2557,50.368,272,129,3,4,269,8,279,7.33e-86,261
BAB_RS22860,CC_2558,42.484,459,242,8,6,459,1,442,3.40e-101,308
BAB_RS22865,CC_2559,51.078,464,220,3,24,481,19,481,2.42e-139,407
BAB_RS22870,CC_2560,39.959,493,273,8,90,571,87,567,4.29e-105,326
BAB_RS22880,CC_2562,55.911,313,124,6,18,326,6,308,5.08e-99,292
BAB_RS22890,CC_2416,29.630,108,65,2,110,211,106,208,8.77e-08,47.8
BAB_RS22895,CC_2567,52.814,231,106,2,29,259,9,236,1.28e-77,232
BAB_RS22900,CC_2134,41.969,193,107,2,41,232,60,248,7.33e-46,150
BAB_RS22915,CC_3322,33.602,372,239,7,45,410,56,425,8.46e-50,171
BAB_RS22925,CC_2140,58.966,290,116,1,17,303,24,313,2.01e-117,337
BAB_RS22930,CC_2141,45.912,318,169,1,4,321,1,315,1.81e-88,266
BAB_RS22940,CC_1019,47.403,462,195,5,26,440,15,475,2.98e-137,400
BAB_RS22950,CC_2148,67.086,556,175,4,1,549,1,555,0.0,780
BAB_RS22975,CC_3122,27.556,225,153,4,17,237,36,254,9.30e-29,113
BAB_RS22980,CC_2394,24.834,302,180,9,70,365,48,308,1.35e-14,70.9
BAB_RS22985,CC_3005,70.423,71,20,1,4,73,3,73,2.85e-28,93.6
BAB_RS23045,CC_2294,34.821,224,134,3,29,249,32,246,4.72e-32,115
BAB_RS23055,CC_3276,54.545,143,64,1,4,146,5,146,6.08e-56,170
BAB_RS23065,CC_3047,66.324,680,177,6,10,672,8,652,0.0,850
BAB_RS23070,CC_3049,37.842,658,373,14,1,647,1,633,5.18e-129,392
BAB_RS23085,CC_2834,64.116,379,136,0,17,395,10,388,1.05e-173,487
BAB_RS23095,CC_0331,42.520,127,72,1,2,128,58,183,1.27e-28,102
BAB_RS23100,CC_0330,30.256,195,115,9,29,216,76,256,4.69e-12,61.6
BAB_RS23105,CC_2900,65.391,1176,310,10,1,1159,1,1096,0.0,1484
BAB_RS23120,CC_2903,75.362,69,17,0,1,69,1,69,7.70e-36,112
BAB_RS23125,CC_1124,43.814,194,106,1,2,195,3,193,5.02e-52,163
BAB_RS23130,CC_1534,72.000,400,112,0,1,400,1,400,0.0,610
BAB_RS23145,CC_2352,30.534,262,177,3,5,266,8,264,4.93e-32,117
BAB_RS23150,CC_2871,63.889,324,111,3,1,324,17,334,1.77e-150,423
BAB_RS23160,CC_2535,38.000,150,93,0,2,151,36,185,1.03e-33,114
BAB_RS23165,CC_3173,30.481,187,122,4,155,340,156,335,9.15e-10,56.2
BAB_RS23170,CC_2848,63.057,157,58,0,1,157,1,157,1.62e-70,207
BAB_RS23195,CC_0190,40.000,120,72,0,7,126,33,152,8.33e-28,97.4
BAB_RS23205,CC_2981,75.507,690,161,4,135,817,29,717,0.0,1087
BAB_RS23210,CC_2416,34.459,148,83,7,27,166,60,201,1.60e-09,53.5
BAB_RS23215,CC_2903,70.909,55,16,0,4,58,3,57,1.40e-24,84.3
BAB_RS23225,CC_1183,55.502,209,92,1,6,214,44,251,4.07e-81,240
BAB_RS23240,CC_2930,33.000,100,64,2,17,114,18,116,2.90e-11,56.2
BAB_RS23245,CC_2931,50.000,224,105,3,15,233,10,231,6.48e-64,196
BAB_RS23250,CC_2932,44.266,436,239,4,12,446,12,444,2.38e-121,358
BAB_RS23265,CC_0493,33.333,153,102,0,14,166,16,168,1.66e-36,121
BAB_RS23275,CC_0492,43.345,293,140,4,13,280,3,294,4.29e-76,231
BAB_RS23280,CC_0491,42.507,367,182,8,4,351,1,357,1.02e-79,246
BAB_RS23285,CC_0490,45.312,256,134,2,8,262,9,259,7.35e-75,226
BAB_RS23305,CC_0487,69.231,312,94,2,1,310,1,312,1.33e-155,434
BAB_RS23315,CC_0485,42.553,188,107,1,6,193,5,191,3.97e-49,155
BAB_RS23320,CC_0484,44.271,192,98,3,1,188,1,187,6.77e-54,170
BAB_RS23325,CC_0479,65.489,368,124,2,1,367,1,366,9.09e-174,485
BAB_RS23345,CC_0474,48.162,272,96,5,50,295,29,281,1.34e-75,229
BAB_RS23350,CC_0473,63.194,432,135,2,3,417,2,426,0.0,555
BAB_RS23355,CC_0472,51.667,180,74,1,8,187,12,178,6.51e-57,174
BAB_RS23360,CC_3420,34.513,565,335,10,59,612,290,830,1.34e-80,268
BAB_RS23365,CC_3420,33.846,585,345,14,41,607,270,830,2.99e-82,273
BAB_RS23370,CC_0471,46.575,146,78,0,3,148,7,152,6.45e-47,147
BAB_RS23375,CC_0187,36.254,331,191,10,27,344,45,368,3.50e-53,176
BAB_RS23385,CC_0506,61.512,291,106,3,13,303,6,290,2.50e-122,349
BAB_RS23405,CC_0408,41.262,412,228,6,9,416,3,404,1.18e-96,293
BAB_RS23410,CC_0407,50.000,182,88,3,26,206,28,207,3.11e-52,164
BAB_RS23415,CC_0406,57.143,175,66,4,36,210,14,179,2.12e-60,185
BAB_RS23420,CC_2826,51.438,313,150,2,17,327,8,320,4.01e-107,313
BAB_RS23425,CC_2827,28.346,254,166,6,40,279,28,279,3.26e-16,74.3
BAB_RS23440,CC_0405,41.772,158,92,0,11,168,19,176,1.01e-31,109
BAB_RS23450,CC_1409,37.654,162,97,3,66,227,57,214,1.48e-27,101
BAB_RS23455,CC_0418,42.282,149,84,2,3,151,42,188,1.08e-32,111
BAB_RS23460,CC_1158,39.203,301,173,5,1,299,3,295,6.87e-61,193
BAB_RS23465,CC_1541,24.765,533,343,14,57,575,22,510,2.33e-30,121
BAB_RS23470,CC_3641,27.113,284,206,1,8,291,15,297,1.10e-26,103
BAB_RS23475,CC_1895,35.211,284,166,3,246,512,229,511,1.79e-43,161
BAB_RS23485,CC_0805,56.954,151,65,0,1,151,3,153,2.57e-62,186
BAB_RS23520,CC_3134,37.295,244,143,2,29,272,16,249,4.96e-48,163
BAB_RS23525,CC_2669,36.782,261,152,6,5,265,1,248,1.93e-42,145
BAB_RS23530,CC_2669,36.397,272,160,6,13,284,7,265,5.88e-33,120
BAB_RS23565,CC_2864,43.333,90,51,0,13,102,18,107,4.21e-22,81.3
BAB_RS23570,CC_2314,50.000,256,127,1,14,269,6,260,3.66e-79,237
BAB_RS23575,CC_0897,58.713,373,149,4,10,378,6,377,2.72e-156,442
BAB_RS23585,CC_0903,85.185,81,12,0,10,90,13,93,3.58e-48,145
BAB_RS23600,CC_1035,48.125,160,83,0,39,198,65,224,2.39e-49,157
BAB_RS23605,CC_3470,36.269,193,115,4,11,198,50,239,1.31e-26,99.8
BAB_RS23610,CC_3035,80.519,231,45,0,1,231,1,231,9.35e-140,388
BAB_RS23620,CC_3611,52.344,384,170,3,1,371,3,386,2.39e-135,389
BAB_RS23625,CC_1225,23.636,330,211,10,6,309,37,351,1.02e-18,82.4
BAB_RS23650,CC_2482,36.317,391,210,11,663,1028,451,827,5.40e-58,212
BAB_RS23660,CC_3135,43.162,234,125,2,17,243,59,291,6.57e-60,190
BAB_RS23670,CC_3136,34.821,224,101,5,17,219,27,226,2.67e-34,124
BAB_RS23675,CC_3134,52.989,368,165,1,20,379,12,379,2.65e-130,376
BAB_RS23680,CC_3137,33.718,347,201,6,4,341,17,343,5.47e-57,187
BAB_RS23685,CC_1763,37.778,450,270,6,26,469,1,446,5.09e-91,281
BAB_RS23695,CC_1764,28.384,458,214,13,58,407,69,520,6.89e-41,149
BAB_RS23710,CC_1808,38.683,243,148,1,57,298,4,246,1.35e-42,144
BAB_RS23715,CC_0094,30.469,256,163,6,10,255,4,254,1.71e-27,104
BAB_RS23775,CC_1816,38.115,244,146,4,17,256,8,250,1.63e-43,151
BAB_RS23780,CC_0859,28.755,233,158,5,58,284,68,298,2.70e-18,81.3
BAB_RS23785,CC_0861,47.917,288,146,1,41,328,42,325,5.21e-66,208
BAB_RS23790,CC_0860,41.414,495,269,6,4,486,3,488,1.04e-119,358
BAB_RS23800,CC_0945,43.542,542,292,3,5,532,8,549,1.26e-149,437
BAB_RS23815,CC_r02,40.270,370,191,5,102,457,63,416,4.47e-51,191
BAB_RS23825,CC_t47,80.000,25,5,0,1,25,1,25,1.33e-08,40.8
BAB_RS23845,CC_3140,60.970,474,180,3,8,478,5,476,0.0,584
BAB_RS23850,CC_2195,38.919,185,110,3,1,185,1,182,2.24e-39,130
BAB_RS23855,CC_2196,41.135,141,80,3,32,170,66,205,4.04e-26,95.9
BAB_RS23860,CC_2200,67.797,177,57,0,13,189,10,186,1.97e-89,257
BAB_RS23865,CC_2201,51.445,173,82,2,42,213,42,213,7.33e-46,148
BAB_RS23870,CC_2205,47.959,294,127,7,5,291,4,278,2.36e-82,246
BAB_RS23880,CC_0935,44.242,165,85,3,4,164,1,162,3.38e-39,128
BAB_RS23885,CC_3098,72.792,283,73,4,8,288,10,290,1.58e-148,416
BAB_RS23890,CC_0453,53.968,315,130,7,24,338,36,335,2.69e-98,291
BAB_RS23905,CC_0057,52.033,123,59,0,18,140,12,134,1.06e-39,127
BAB_RS23910,CC_3048,34.199,231,144,5,100,328,346,570,5.30e-27,108
BAB_RS23920,CC_3477,55.253,257,114,1,1,256,1,257,1.36e-91,268
BAB_RS23930,CC_3475,54.545,154,70,0,15,168,19,172,1.22e-53,167
BAB_RS23935,CC_0285,32.941,255,147,6,216,464,208,444,1.32e-22,97.1
BAB_RS23960,CC_2336,43.111,225,122,3,86,304,75,299,4.32e-48,160
BAB_RS23965,CC_2335,50.000,140,64,3,1,135,1,139,2.54e-40,130
BAB_RS23985,CC_0932,44.843,223,121,2,10,230,4,226,1.46e-52,172
BAB_RS23990,CC_0808,28.923,325,195,10,75,386,60,361,4.88e-09,54.3
BAB_RS23995,CC_3713,59.155,142,58,0,15,156,14,155,8.68e-55,167
BAB_RS24000,CC_0424,53.691,149,69,0,5,153,13,161,7.14e-59,177
BAB_RS24020,CC_0025,32.797,311,187,10,16,312,7,309,1.81e-31,123
BAB_RS24030,CC_3103,67.991,428,136,1,1,428,1,427,0.0,607
BAB_RS24040,CC_3215,59.393,527,211,2,2,528,3,526,0.0,625
BAB_RS24045,CC_3216,71.320,394,108,1,2,390,3,396,0.0,562
BAB_RS24060,CC_0117,62.387,444,166,1,11,453,4,447,0.0,572
BAB_RS24065,CC_3226,71.074,605,168,5,4,606,2,601,0.0,881
BAB_RS24070,CC_3227,33.333,324,182,7,25,346,27,318,5.72e-19,85.5
BAB_RS24075,CC_3228,35.537,121,78,0,368,488,163,283,3.53e-19,84.7
BAB_RS24085,CC_3229,56.557,122,53,0,47,168,67,188,2.74e-46,147
BAB_RS24090,CC_3230,58.213,414,170,3,30,443,22,432,3.82e-176,497
BAB_RS24100,CC_3232,57.500,120,51,0,25,144,27,146,1.25e-45,144
BAB_RS24105,CC_3233,51.965,229,107,1,7,232,4,232,1.08e-74,223
BAB_RS24110,CC_3234,42.963,135,72,2,7,140,3,133,9.71e-30,102
BAB_RS24115,CC_3236,68.882,331,103,0,14,344,15,345,3.90e-162,454
BAB_RS24120,CC_3237,49.029,206,103,2,1,205,1,205,7.00e-41,135
BAB_RS24125,CC_3238,50.000,162,78,1,6,167,10,168,3.55e-43,138
