O_anthropi|Q.,S_meliloti|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS12200,SMc02070,67.323,254,82,1,17,269,16,269,2.66e-124,353
OANT_RS12205,SMc02071,58.754,337,139,0,1,337,7,343,5.41e-138,393
OANT_RS12210,SM_b21167,48.403,407,206,3,30,434,27,431,4.07e-124,367
OANT_RS12215,SMc02072,41.667,372,180,13,649,993,584,945,1.12e-54,203
OANT_RS12220,SMc02073,71.624,585,166,0,1,585,1,585,0.0,876
OANT_RS12225,SMc02074,62.406,399,149,1,4,401,6,404,2.14e-177,498
OANT_RS12230,SMc02075,69.524,105,32,0,4,108,5,109,2.32e-46,142
OANT_RS12235,SMc03152,66.949,236,73,3,1,235,1,232,3.01e-103,296
OANT_RS12240,SMc02077,72.587,259,71,0,1,259,1,259,3.05e-146,407
OANT_RS12245,SMc02078,52.490,261,123,1,3,262,6,266,1.17e-94,277
OANT_RS12250,SMc04211,38.624,189,111,3,30,217,8,192,2.22e-38,129
OANT_RS12255,SMc04210,56.190,210,88,2,2,209,1,208,2.10e-82,241
OANT_RS12260,SMc00131,85.256,156,23,0,1,156,1,156,7.53e-101,284
OANT_RS12265,SMc04214,78.466,339,72,1,1,339,1,338,9.31e-179,496
OANT_RS12270,SMc04215,40.698,258,152,1,4,260,5,262,5.33e-49,160
OANT_RS12275,SMc04216,48.214,56,29,0,6,61,1,56,1.10e-14,59.3
OANT_RS12280,SMc04217,46.948,213,113,0,22,234,21,233,1.21e-55,175
OANT_RS12285,SMc04235,56.695,351,113,3,21,332,1,351,7.57e-134,383
OANT_RS12290,SM_b21214,52.995,217,101,1,2,218,20,235,3.92e-80,238
OANT_RS12295,SM_b21171,56.614,378,164,0,1,378,1,378,7.31e-160,451
OANT_RS12300,SM_b20876,46.939,245,125,2,1,242,1,243,7.99e-72,218
OANT_RS12305,SMc01531,43.878,294,163,2,2,293,3,296,3.15e-74,228
OANT_RS12310,SMc03798,46.884,337,177,1,1,337,3,337,2.49e-109,320
OANT_RS12315,SM_b20828,49.333,75,38,0,48,122,2,76,1.37e-19,78.6
OANT_RS12320,SMc04278,89.247,93,10,0,1,93,3,95,5.67e-57,168
OANT_RS12325,SMc04275,54.750,400,160,8,4,390,6,397,2.74e-133,385
OANT_RS12330,SMc04273,70.023,427,124,4,1,424,1,426,0.0,592
OANT_RS12335,SMc04270,86.257,342,47,0,1,342,1,342,0.0,616
OANT_RS12340,SMc04268,59.406,303,123,0,5,307,4,306,6.88e-131,372
OANT_RS12345,SMc00511,66.667,222,74,0,3,224,5,226,6.26e-116,328
OANT_RS12350,SMc00508,85.681,433,62,0,1,433,1,433,0.0,754
OANT_RS12355,SMc00115,37.671,292,158,4,5,275,1,289,4.58e-62,196
OANT_RS12360,SMc00505,70.109,184,55,0,1,184,1,184,5.93e-103,291
OANT_RS12365,SMc02778,33.597,253,155,5,2,249,7,251,7.04e-36,126
OANT_RS12370,SMc00496,61.682,107,38,2,1,107,1,104,1.15e-30,102
OANT_RS12375,SMc00495,88.976,254,28,0,1,254,1,254,7.29e-173,474
OANT_RS12380,SMc00494,82.278,79,14,0,1,79,1,79,6.34e-44,134
OANT_RS12385,SMc00493,83.408,223,36,1,1,223,1,222,4.73e-140,388
OANT_RS12390,SMc04321,27.962,211,135,6,1,202,3,205,5.94e-14,65.9
OANT_RS12395,SMc00492,61.667,120,43,1,13,132,18,134,1.08e-45,142
OANT_RS12405,SMc00490,59.915,469,184,1,1,465,1,469,0.0,578
OANT_RS12410,SMc00488,78.495,744,155,3,1,740,1,743,0.0,1144
OANT_RS12415,SMc00487,79.221,77,16,0,1,77,1,77,2.98e-42,129
OANT_RS12420,SMc00538,78.182,110,24,0,1,110,1,110,2.69e-64,187
OANT_RS12425,SMc00537,59.459,407,161,2,11,415,6,410,1.03e-149,428
OANT_RS12430,SMc00535,51.351,259,126,0,11,269,10,268,5.57e-95,278
OANT_RS12435,SMc00534,74.368,277,70,1,5,280,31,307,1.05e-156,437
OANT_RS12445,SMc00485,83.902,205,33,0,1,205,1,205,8.44e-131,363
OANT_RS12450,SMc02727,37.500,152,92,2,198,348,167,316,5.60e-26,103
OANT_RS12465,SMc01493,48.649,111,57,0,27,137,25,135,2.80e-34,114
OANT_RS12470,SMa2099,43.721,215,115,4,4,213,3,216,3.79e-54,170
OANT_RS12475,SMc01375,71.875,1152,322,2,14,1163,18,1169,0.0,1681
OANT_RS12480,SMc01376,74.009,227,59,0,1,227,1,227,9.17e-123,345
OANT_RS12485,SMc01935,72.794,408,111,0,31,438,1,408,0.0,620
OANT_RS12490,SMc01934,72.955,440,119,0,1,440,1,440,0.0,681
OANT_RS12495,SMc01931,53.409,88,41,0,1,88,40,127,2.23e-26,91.7
OANT_RS12500,SMc01930,80.597,134,26,0,1,134,1,134,8.45e-78,224
OANT_RS12505,SMc01929,65.636,550,189,0,8,557,6,555,0.0,756
OANT_RS12510,SMc01928,37.200,250,153,1,9,258,10,255,8.93e-42,141
OANT_RS12515,SMc01927,70.316,475,140,1,5,478,6,480,0.0,670
OANT_RS12520,SMc01926,80.040,501,100,0,1,501,1,501,0.0,813
OANT_RS12525,SMc01925,78.788,660,138,2,5,664,7,664,0.0,1063
OANT_RS12530,SMc01924,86.275,102,14,0,1,102,1,102,1.93e-53,160
OANT_RS12535,SMc01923,74.877,203,50,1,4,205,2,204,9.58e-107,303
OANT_RS12540,SMc01922,91.411,163,14,0,1,163,2,164,3.02e-112,313
OANT_RS12545,SMc01921,78.674,347,74,0,1,347,1,347,0.0,537
OANT_RS12550,SMc01920,77.666,694,154,1,1,694,1,693,0.0,1115
OANT_RS12555,SMc01918,81.379,435,80,1,1,435,1,434,0.0,749
OANT_RS12560,SMc01917,62.500,304,84,4,1,303,1,275,1.50e-123,355
OANT_RS12565,SMc01915,88.636,396,45,0,1,396,1,396,0.0,743
OANT_RS12570,SMc00156,35.200,125,76,3,9,130,6,128,1.39e-17,71.6
OANT_RS12575,SMc01914,72.081,197,55,0,4,200,3,199,5.41e-108,305
OANT_RS12580,SMc01913,89.894,188,19,0,6,193,5,192,1.10e-130,362
OANT_RS12585,SMc01912,84.298,121,19,0,1,121,1,121,2.07e-71,206
OANT_RS12590,SMc00955,33.501,397,219,18,14,390,1,372,1.21e-49,169
OANT_RS12600,SMc01937,96.000,25,1,0,1,25,1,25,4.15e-12,50.1
OANT_RS12605,SMc01937,96.000,25,1,0,1,25,1,25,4.15e-12,50.1
OANT_RS12610,SM_b20525,26.108,203,132,6,9,205,6,196,8.13e-14,64.7
OANT_RS12615,SMc01149,33.099,142,87,4,7,141,17,157,3.40e-16,68.6
OANT_RS12620,SM_b20291,38.166,338,188,5,48,377,1,325,1.49e-57,206
OANT_RS12625,SM_b20292,35.714,336,200,8,1,329,1,327,7.14e-55,179
OANT_RS12630,SMa1913,34.286,420,231,7,2,380,38,453,2.50e-52,178
OANT_RS12640,SM_b20435,27.481,262,162,9,94,342,38,284,5.91e-13,66.6
OANT_RS12645,SMa1662,48.112,1033,530,6,2,1033,3,1030,0.0,987
OANT_RS12650,SMa1664,41.484,364,205,5,8,369,7,364,3.59e-79,246
OANT_RS12655,SMc00032,24.551,167,126,0,18,184,16,182,1.85e-09,52.0
OANT_RS12660,SMc00799,39.831,118,61,2,8,115,17,134,1.02e-18,78.6
OANT_RS12675,SMc01831,27.753,227,160,2,26,252,1,223,1.37e-11,60.1
OANT_RS12685,SMc01837,70.899,567,163,2,3,567,4,570,0.0,849
OANT_RS12690,SMc01939,63.366,101,37,0,1,101,1,101,1.02e-43,135
OANT_RS12695,SMc01941,72.727,99,27,0,1,99,1,99,7.09e-49,148
OANT_RS12700,SMc01942,35.028,177,114,1,42,217,47,223,4.29e-22,90.5
OANT_RS12705,SMa0599,32.682,358,223,9,31,377,22,372,8.70e-51,174
OANT_RS12710,SMc01723,72.189,169,47,0,1,169,1,169,2.33e-69,206
OANT_RS12720,SMa1676,58.387,310,129,0,27,336,31,340,1.77e-129,371
OANT_RS12725,SMa1677,50.808,433,207,5,47,476,46,475,3.06e-146,424
OANT_RS12750,SMc02256,35.638,376,230,7,4,373,21,390,1.78e-69,221
OANT_RS12755,SMc00140,56.870,262,110,1,1,262,1,259,1.00e-105,305
OANT_RS12760,SMa1447,34.731,167,102,6,61,224,52,214,4.17e-10,58.9
OANT_RS12765,SM_b21009,29.209,493,332,8,8,492,5,488,3.24e-56,192
OANT_RS12770,SMc01620,30.080,502,319,11,35,518,5,492,3.79e-43,158
OANT_RS12775,SMa0244,24.895,474,303,10,59,503,27,476,2.57e-26,109
OANT_RS12815,SMc00791,43.860,114,64,0,1,114,1,114,2.19e-37,120
OANT_RS12820,SMc00263,25.837,209,151,3,4,211,10,215,1.31e-14,69.3
OANT_RS12825,SMc00787,37.725,334,186,2,1,312,1,334,3.12e-78,239
OANT_RS12830,SMa0106,43.284,268,151,1,23,289,2,269,3.83e-69,213
OANT_RS12835,SMc03268,51.163,602,274,5,4,587,25,624,0.0,592
OANT_RS12845,SMc02417,29.175,521,305,21,16,498,7,501,2.00e-41,153
OANT_RS12850,SMc01972,28.117,377,241,10,28,388,33,395,3.52e-27,110
OANT_RS12855,SMc01938,96.000,25,1,0,1,25,1,25,7.10e-12,49.3
OANT_RS12860,SM_b21462,30.634,284,195,2,15,298,14,295,3.66e-33,121
OANT_RS12870,SMa2251,69.189,185,56,1,148,332,1,184,2.78e-78,235
OANT_RS12875,SM_b20235,59.075,281,104,2,1,270,1,281,1.18e-117,339
OANT_RS12880,SMc00725,34.033,429,267,6,45,470,50,465,2.51e-55,189
OANT_RS12885,SM_b20233,36.842,247,156,0,36,282,36,282,2.04e-64,201
OANT_RS12890,SM_b20633,33.217,286,181,4,10,293,22,299,6.48e-42,144
OANT_RS12895,SM_b21595,29.762,420,265,15,4,411,8,409,6.89e-30,117
OANT_RS12900,SM_b21222,34.439,392,241,5,30,411,12,397,1.54e-61,202
OANT_RS12915,SMa1570,60.000,55,22,0,1,55,1,55,5.44e-16,62.0
OANT_RS12925,SMc01810,62.609,115,41,1,1,115,1,113,7.27e-51,154
OANT_RS12930,SMc01809,77.830,424,94,0,3,426,2,425,0.0,699
OANT_RS12935,SMc01808,64.444,135,48,0,18,152,8,142,2.71e-54,165
OANT_RS12940,SMc01805,64.085,142,48,1,18,156,2,143,5.38e-63,187
OANT_RS12945,SMc01804,82.468,154,27,0,1,154,1,154,6.38e-97,274
OANT_RS12950,SMc01803,80.380,158,28,2,1,158,1,155,2.36e-89,254
OANT_RS12965,SMc01802,77.603,317,70,1,1,316,1,317,0.0,513
OANT_RS12970,SMc01801,74.026,308,80,0,1,308,1,308,2.95e-172,477
OANT_RS12975,SMc01228,37.255,255,141,9,7,254,5,247,5.45e-34,122
OANT_RS12980,SMc01800,59.824,341,134,2,17,355,18,357,4.95e-146,415
OANT_RS12985,SMc01799,55.738,61,27,0,9,69,1,61,1.47e-15,61.6
OANT_RS12990,SMc01796,30.435,345,232,4,2,338,31,375,1.95e-45,158
OANT_RS12995,SMc01795,40.578,727,389,10,9,730,8,696,4.03e-170,503
OANT_RS13000,SMc01794,60.417,192,73,1,5,196,3,191,3.74e-89,257
OANT_RS13005,SMc01793,51.715,379,182,1,9,386,5,383,5.34e-136,391
OANT_RS13015,SMc01792,61.584,505,194,0,12,516,16,520,0.0,630
OANT_RS13020,SMc01791,47.188,409,211,1,11,419,6,409,1.82e-132,385
OANT_RS13025,SMc02387,64.078,103,37,0,3,105,4,106,4.12e-39,124
OANT_RS13030,SMc02182,100.000,25,0,0,1,25,1,25,2.19e-12,50.8
OANT_RS13035,SMc02486,49.383,243,118,1,5,242,8,250,4.48e-74,223
OANT_RS13040,SMc00814,53.214,280,131,0,49,328,45,324,9.53e-118,340
OANT_RS13045,SMc00871,61.475,244,93,1,4,247,5,247,1.76e-99,288
OANT_RS13050,SMc01278,56.863,102,44,0,1,102,1,102,9.15e-33,107
OANT_RS13055,SMc01787,60.556,180,66,3,1,179,1,176,1.30e-71,211
OANT_RS13060,SMc01786,81.731,104,19,0,1,104,1,104,2.84e-61,180
OANT_RS13065,SMc01785,75.851,323,78,0,1,323,1,323,2.30e-175,486
OANT_RS13070,SMc01784,70.588,340,100,0,1,340,1,340,0.0,509
OANT_RS13075,SMc01783,45.000,180,96,2,4,183,6,182,3.53e-49,155
OANT_RS13080,SMc01782,49.419,172,86,1,1,172,1,171,6.48e-45,144
OANT_RS13085,SMc01781,58.228,158,51,3,22,175,14,160,4.00e-59,179
OANT_RS13090,SMc01780,86.409,699,95,0,7,705,3,701,0.0,1199
OANT_RS13095,SMc01778,67.742,155,50,0,9,163,5,159,3.50e-72,212
OANT_RS13100,SMc01777,78.322,143,31,0,10,152,8,150,5.90e-82,236
OANT_RS13105,SMc01773,73.500,200,53,0,1,200,1,200,9.26e-110,310
OANT_RS13110,SMc01772,52.488,402,142,3,14,373,7,401,8.75e-130,375
OANT_RS13115,SMc01771,70.946,148,43,0,1,148,1,148,7.18e-78,226
OANT_RS13125,SMc01770,86.854,426,56,0,12,437,5,430,0.0,771
OANT_RS13130,SMc01769,68.483,422,124,5,15,433,12,427,0.0,568
OANT_RS13135,SMc01768,72.353,170,47,0,2,171,1,170,2.82e-81,235
OANT_RS13140,SM_b20881,50.420,119,55,2,31,148,27,142,1.47e-35,118
OANT_RS13145,SMc01767,39.535,129,78,0,11,139,10,138,9.22e-26,92.8
OANT_RS13150,SM_b20752,39.535,344,194,7,10,343,9,348,4.39e-59,192
OANT_RS13155,SMc01766,67.267,333,109,0,14,346,48,380,1.79e-162,456
OANT_RS13160,SMc01765,49.677,155,75,2,1,155,1,152,1.10e-44,141
OANT_RS13165,SMc01764,69.076,249,77,0,1,249,1,249,5.97e-130,365
OANT_RS13175,SMc01761,70.649,770,212,1,1,770,1,756,0.0,1147
OANT_RS13180,SMc01760,30.871,379,249,5,28,398,23,396,3.78e-57,189
OANT_RS13185,SMc01756,84.680,594,91,0,1,594,1,594,0.0,1070
OANT_RS13190,SMc00622,67.277,382,125,0,3,384,1,382,0.0,567
OANT_RS13195,SMc00619,57.937,504,209,1,1,501,1,504,0.0,543
OANT_RS13200,SMc00618,75.921,706,169,1,28,733,27,731,0.0,1108
OANT_RS13205,SMc02115,68.750,80,25,0,1,80,1,80,2.89e-40,125
OANT_RS13210,SMc02116,42.748,393,206,7,6,393,7,385,3.90e-92,280
OANT_RS13215,SM_b20475,46.584,161,77,5,1,158,1,155,6.37e-42,135
OANT_RS13220,SMc01879,51.880,133,63,1,3,135,2,133,2.01e-44,139
OANT_RS13225,SMc02225,36.735,98,61,1,18,114,5,102,1.13e-15,70.1
OANT_RS13235,SMa0193,36.634,101,60,2,1,98,1,100,6.11e-16,65.1
OANT_RS13250,SMc02121,92.000,250,20,0,20,269,9,258,2.31e-178,489
OANT_RS13255,SMc02120,71.354,384,110,0,1,384,1,384,0.0,542
OANT_RS13260,SMc02119,62.087,393,147,1,5,397,7,397,1.23e-170,480
OANT_RS13265,SMc02118,69.096,343,104,1,1,343,1,341,0.0,515
OANT_RS13275,SMc04406,38.095,168,98,3,72,238,40,202,1.59e-20,84.7
OANT_RS13280,SMc02117,68.895,389,117,2,3,388,4,391,0.0,554
OANT_RS13285,SMa0136,66.883,616,202,1,18,631,34,649,0.0,798
OANT_RS13295,SMc04246,36.800,125,65,3,1,111,1,125,1.72e-23,85.5
OANT_RS13305,SMa2297,37.662,77,48,0,5,81,6,82,3.15e-13,63.2
OANT_RS13315,SMa1945,32.215,149,91,4,20,162,35,179,2.64e-08,51.6
OANT_RS13325,SMc00929,32.993,294,189,6,5,292,11,302,6.16e-45,152
OANT_RS13330,SMc00308,80.000,25,5,0,1,25,1,25,1.69e-08,40.8
OANT_RS13335,SMc00287,60.396,101,40,0,1,101,1,101,5.48e-46,140
OANT_RS13355,SMc03963,26.275,255,151,10,2,225,3,251,1.47e-10,58.2
OANT_RS13360,SMc00617,52.466,223,100,2,2,224,3,219,1.75e-71,215
OANT_RS13365,SMc00616,63.260,362,130,1,11,369,10,371,9.14e-157,443
OANT_RS13370,SMc00615,80.737,353,65,2,13,363,5,356,0.0,540
OANT_RS13375,SMc00614,69.519,187,57,0,3,189,7,193,1.21e-88,257
OANT_RS13380,SM_b21642,40.230,174,93,6,1,170,1,167,5.26e-35,118
OANT_RS13385,SMc00609,67.188,704,229,2,1,703,1,703,0.0,1001
OANT_RS13390,SMc01807,49.254,268,131,2,5,271,5,268,1.04e-75,229
OANT_RS13395,SMc00608,58.188,287,116,1,1,287,1,283,1.35e-122,350
OANT_RS13400,SMc00607,39.583,144,82,3,16,155,5,147,3.38e-28,99.8
OANT_RS13405,SMc00606,45.078,193,100,2,31,222,62,249,6.47e-60,186
OANT_RS13410,SMc00605,55.959,193,85,0,3,195,8,200,6.53e-80,234
OANT_RS13415,SM_b21600,63.361,363,133,0,25,387,25,387,1.40e-175,492
OANT_RS13420,SMa2293,57.544,285,119,1,1,285,1,283,1.00e-111,322
OANT_RS13425,SMc00604,42.326,215,119,4,1,213,1,212,7.21e-46,149
OANT_RS13430,SMc00603,60.976,246,96,0,26,271,9,254,9.80e-109,312
OANT_RS13435,SMc00602,76.579,649,150,1,20,668,24,670,0.0,1042
OANT_RS13440,SMc00601,82.353,187,33,0,8,194,8,194,1.86e-114,321
OANT_RS13445,SMc00600,64.286,84,30,0,2,85,3,86,4.65e-37,117
OANT_RS13450,SMc00599,61.688,154,59,0,1,154,1,154,5.07e-65,193
OANT_RS13455,SMc03106,43.564,101,57,0,164,264,36,136,5.73e-22,89.4
OANT_RS13460,SMc00595,92.143,140,11,0,1,140,1,140,2.88e-92,261
OANT_RS13465,SMc00593,56.886,167,72,0,1,167,1,167,5.26e-64,192
OANT_RS13470,SMc00590,67.457,633,194,2,1,626,1,628,0.0,880
OANT_RS13485,SMc00586,56.376,149,65,0,1,149,1,149,1.03e-58,177
OANT_RS13490,SMc00585,67.033,455,150,0,44,498,43,497,0.0,606
OANT_RS13495,SMc00584,46.615,384,194,4,1,380,1,377,6.49e-127,369
OANT_RS13500,SMc00583,53.867,362,165,1,1,362,1,360,2.80e-140,400
OANT_RS13505,SMc00582,48.859,745,366,8,38,779,43,775,0.0,705
OANT_RS13510,SMc00581,45.483,321,167,4,1,319,2,316,2.49e-89,267
OANT_RS13515,SMc00580,59.443,323,130,1,1,323,1,322,1.74e-125,361
OANT_RS13520,SMc00579,72.161,273,73,3,2,273,3,273,1.57e-136,384
OANT_RS13525,SMc02432,42.079,202,114,2,360,558,437,638,9.13e-47,171
OANT_RS13530,SMc02545,57.192,292,124,1,13,303,14,305,1.82e-112,325
OANT_RS13535,SMc02546,75.465,538,131,1,1,537,1,538,0.0,838
OANT_RS13540,SMc02550,69.481,154,47,0,8,161,5,158,5.00e-81,234
OANT_RS13545,SMc02551,54.297,512,174,9,1,503,1,461,4.32e-178,506
OANT_RS13555,SMc02553,61.832,262,91,3,1,259,21,276,7.85e-110,315
OANT_RS13560,SMc02554,39.394,132,76,3,18,147,11,140,1.70e-21,82.4
OANT_RS13565,SMc02555,45.455,110,55,3,23,127,38,147,3.36e-28,98.6
OANT_RS13570,SMc02556,44.828,87,48,0,2,88,3,89,1.65e-19,73.2
OANT_RS13575,SMc02557,52.288,153,73,0,93,245,95,247,3.56e-50,162
OANT_RS13580,SM_b20215,32.399,321,195,5,13,330,15,316,5.65e-39,138
OANT_RS13585,SMa1724,27.933,179,121,4,7,180,5,180,1.25e-10,55.5
OANT_RS13595,SMc01821,28.953,449,283,15,5,426,1,440,6.42e-47,166
OANT_RS13600,SMc02558,45.105,286,144,6,36,316,1,278,5.15e-75,229
OANT_RS13605,SMc02559,65.625,192,65,1,12,203,5,195,7.79e-89,257
OANT_RS13610,SMc02561,41.808,177,100,3,1,174,1,177,1.07e-34,117
OANT_RS13615,SMc02635,59.322,236,95,1,1,236,13,247,3.72e-104,300
OANT_RS13620,SMc02651,74.754,305,77,0,6,310,8,312,1.35e-170,473
OANT_RS13625,SMc02652,61.261,222,86,0,9,230,12,233,7.39e-93,270
OANT_RS13630,SMc02653,62.500,248,92,1,3,250,1,247,1.37e-111,319
OANT_RS13635,SMc02654,79.389,131,27,0,1,131,1,131,1.55e-76,222
OANT_RS13640,SMc02655,41.758,182,103,2,1,181,30,209,6.73e-38,127
OANT_RS13645,SMc00994,49.603,252,125,1,21,272,17,266,1.08e-82,248
OANT_RS13655,SMc00990,62.060,398,151,0,3,400,1,398,5.11e-168,474
OANT_RS13660,SMa1266,45.205,438,234,2,1,432,1,438,1.68e-129,379
OANT_RS13665,SMa1141,36.937,222,137,2,25,245,10,229,2.83e-36,126
OANT_RS13675,SMc02659,70.989,748,206,4,1,746,1,739,0.0,1079
OANT_RS13680,SMc02408,73.529,136,33,2,1,134,1,135,1.63e-63,187
OANT_RS13685,SMc02407,81.481,189,35,0,1,189,1,189,3.16e-115,323
OANT_RS13695,SMc02405,68.790,157,47,1,4,158,3,159,2.80e-79,229
OANT_RS13700,SMc02404,70.748,294,85,1,1,293,1,294,7.99e-163,452
OANT_RS13705,SMc02403,55.556,648,287,1,38,684,31,678,0.0,693
OANT_RS13710,SMc01919,37.313,67,42,0,127,193,148,214,7.38e-09,51.6
OANT_RS13720,SMc02400,33.592,387,204,14,1,372,1,349,3.45e-26,105
OANT_RS13730,SMc02400,33.075,387,189,16,1,355,1,349,1.19e-24,100
OANT_RS13735,SMc02397,64.236,288,103,0,21,308,21,308,3.64e-139,394
OANT_RS13740,SMc02393,56.546,359,153,2,5,360,6,364,7.82e-145,413
OANT_RS13745,SMc01519,45.370,108,59,0,17,124,13,120,1.27e-15,65.5
OANT_RS13760,SMc02240,44.724,199,108,2,19,216,14,211,8.99e-47,151
OANT_RS13765,SMc02392,65.672,67,23,0,19,85,22,88,7.86e-16,63.5
OANT_RS13770,SMc02391,47.368,114,58,2,1,114,1,112,1.27e-23,85.5
OANT_RS13775,SMc02390,72.845,232,62,1,5,235,2,233,5.92e-131,366
OANT_RS13780,SMc02386,72.200,500,139,0,1,500,1,500,0.0,771
OANT_RS13790,SMc02377,83.393,560,84,1,9,568,4,554,0.0,929
OANT_RS13795,SMc02375,42.806,278,152,4,9,281,11,286,1.61e-66,206
OANT_RS13800,SMc02372,47.462,394,207,0,1,394,1,394,9.56e-126,368
OANT_RS13805,SMc02371,58.983,295,120,1,15,308,5,299,2.21e-117,338
OANT_RS13810,SMc02370,59.070,882,359,1,1,882,1,880,0.0,1051
OANT_RS13815,SMc02369,49.595,740,369,2,32,769,34,771,0.0,694
OANT_RS13820,SMc02368,57.554,973,403,4,14,978,13,983,0.0,1075
OANT_RS13825,SMc02367,54.644,463,205,3,1,460,1,461,3.54e-169,482
OANT_RS13830,SMc02366,74.779,226,57,0,1,226,5,230,2.08e-121,342
OANT_RS13835,SMc02365,61.829,503,180,6,22,520,10,504,0.0,576
OANT_RS13840,SMc02364,65.909,132,44,1,24,155,19,149,3.11e-57,173
OANT_RS13845,SMc02363,70.152,660,196,1,1,660,1,659,0.0,879
OANT_RS13850,SMc02362,61.268,142,53,2,25,164,3,144,1.49e-53,164
OANT_RS13855,SMc02361,42.632,380,210,5,1,375,1,377,9.49e-81,249
OANT_RS13860,SMc00067,51.095,137,63,3,17,150,1,136,5.64e-36,119
OANT_RS13865,SMc00129,48.131,428,215,1,12,432,31,458,4.21e-122,360
OANT_RS13870,SMc00458,81.081,222,42,0,1,222,1,222,2.26e-137,382
OANT_RS13890,SMc00122,63.333,720,255,6,11,724,10,726,0.0,895
OANT_RS13895,SMc00457,43.386,189,107,0,1,189,1,189,5.47e-48,153
OANT_RS13900,SMc00128,35.593,177,112,1,4,178,4,180,2.80e-39,129
OANT_RS13905,SMc00120,33.835,133,78,2,1,133,8,130,1.64e-10,58.9
OANT_RS13910,SMc00061,43.243,111,62,1,1,111,6,115,1.48e-24,87.8
OANT_RS13915,SMc00060,30.120,332,203,11,2,327,11,319,2.72e-25,101
OANT_RS13920,SMc00059,44.126,349,185,3,214,556,119,463,1.05e-80,261
OANT_RS13925,SMc00456,25.694,144,92,5,2,142,1,132,3.89e-11,55.1
OANT_RS13930,SMc00118,60.448,134,52,1,3,135,2,135,3.04e-56,170
OANT_RS13935,SMc03245,61.268,426,164,1,5,430,9,433,2.36e-161,459
OANT_RS13955,SMc00058,61.832,131,50,0,10,140,9,139,3.76e-54,164
OANT_RS13960,SMc00114,72.938,691,182,2,11,696,21,711,0.0,1032
OANT_RS13970,SMa0150,29.862,509,310,10,47,549,29,496,2.65e-70,232
OANT_RS13975,SMc00041,54.962,131,48,2,1,120,1,131,4.25e-37,120
OANT_RS13980,SMc00045,42.276,123,68,2,25,146,29,149,8.43e-27,95.9
OANT_RS13985,SMc00086,55.172,290,124,2,16,304,19,303,1.73e-115,333
OANT_RS13990,SMc00100,68.846,520,145,4,1,503,1,520,0.0,707
OANT_RS13995,SM_b20474,56.338,71,31,0,6,76,1,71,4.42e-25,86.3
OANT_RS14000,SMc00039,57.085,247,76,4,16,238,2,242,8.41e-94,273
OANT_RS14005,SMc00103,73.148,216,58,0,1,216,1,216,3.21e-121,340
OANT_RS14010,SMc00043,83.838,198,32,0,1,198,1,198,6.89e-124,345
OANT_RS14020,SMa0246,34.466,206,116,5,20,212,26,225,1.76e-22,89.4
OANT_RS14025,SMc00399,50.485,309,146,4,25,330,25,329,1.49e-99,294
OANT_RS14040,SMa0149,46.914,162,74,6,1,153,1,159,8.86e-34,114
OANT_RS14045,SMc00095,57.368,190,81,0,1,190,1,190,1.61e-73,218
OANT_RS14050,SMc00093,72.678,549,150,0,1,549,1,549,0.0,842
OANT_RS14055,SMc00094,67.689,489,154,3,1,487,1,487,0.0,678
OANT_RS14060,SMa0841,49.254,67,34,0,18,84,69,135,1.34e-15,70.9
OANT_RS14070,SM_b20457,31.737,167,110,3,22,188,192,354,2.22e-15,71.2
OANT_RS14075,SMa0233,67.396,457,148,1,1,457,1,456,0.0,629
OANT_RS14085,SM_b21082,41.389,360,193,6,7,358,9,358,1.66e-71,238
OANT_RS14090,SMc00637,28.992,476,272,19,8,461,6,437,1.32e-29,118
OANT_RS14105,SM_b21327,51.712,292,141,0,1,292,1,292,1.28e-99,292
OANT_RS14110,SM_b21326,67.908,349,112,0,1,349,1,349,0.0,512
OANT_RS14115,SM_b21325,66.120,183,62,0,1,183,1,183,6.47e-90,258
OANT_RS14120,SM_b21324,70.345,290,86,0,1,290,1,290,2.72e-153,427
OANT_RS14140,SMc03301,59.677,124,46,1,6,129,9,128,5.64e-46,143
OANT_RS14145,SMc03300,88.596,114,13,0,1,114,1,114,2.28e-73,211
OANT_RS14150,SMc03298,80.233,516,78,2,1,516,1,492,0.0,846
OANT_RS14155,SMa1608,67.347,98,32,0,1,98,1,98,3.22e-48,146
OANT_RS14160,SMa2171,83.333,540,90,0,1,540,6,545,0.0,897
OANT_RS14165,SMa1613,89.216,102,11,0,14,115,4,105,4.81e-65,189
OANT_RS14170,SMa1623,60.396,101,40,0,1,101,24,124,3.56e-36,117
OANT_RS14195,SMa0841,49.254,67,34,0,18,84,69,135,1.34e-15,70.9
OANT_RS14215,SM_b20832,30.601,183,123,2,49,231,21,199,1.00e-27,103
OANT_RS14230,SMc03278,76.821,151,35,0,1,151,1,151,1.45e-79,229
OANT_RS14235,SMc03279,88.136,118,14,0,1,118,1,118,5.04e-76,218
OANT_RS14240,SMc03280,88.479,217,25,0,1,217,1,217,2.94e-138,397
OANT_RS14245,SMc03284,72.414,58,16,0,130,187,2,59,2.22e-23,85.5
OANT_RS14265,SMc01619,27.273,352,176,12,6,287,2,343,5.61e-20,85.9
OANT_RS14280,SMc02384,28.085,235,150,7,1,230,18,238,3.34e-16,73.9
