S_meliloti|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SMc00774,BAB_RS24575,23.906,640,442,18,33,640,15,641,2.05e-42,159
SMc00775,BAB_RS28930,41.917,532,306,2,28,558,43,572,2.21e-131,392
SMc00776,BAB_RS23650,43.331,1177,473,25,6,1134,5,1035,0.0,797
SMc00778,BAB_RS28570,31.250,256,160,4,4,253,3,248,5.40e-31,112
SMc00780,BAB_RS24670,63.356,292,107,0,1,292,1,292,9.71e-139,390
SMc00781,BAB_RS24665,71.285,498,143,0,1,498,1,498,0.0,743
SMc00783,BAB_RS24370,37.333,150,77,7,200,337,113,257,2.28e-14,70.5
SMc00784,BAB_RS28925,56.119,335,143,4,10,343,8,339,3.18e-133,380
SMc00785,BAB_RS29570,73.684,152,40,0,1,152,1,152,2.64e-80,231
SMc00786,BAB_RS32795,68.350,515,163,0,17,531,17,531,0.0,722
SMc00787,BAB_RS23540,75.150,334,83,0,1,334,1,334,0.0,519
SMc00788,BAB_RS23535,70.530,302,89,0,1,302,1,302,9.68e-149,416
SMc00789,BAB_RS23530,73.404,282,74,1,3,284,5,285,3.33e-151,421
SMc00790,BAB_RS23525,80.309,259,51,0,4,262,5,263,4.24e-158,438
SMc00791,BAB_RS33490,68.421,114,36,0,1,114,1,114,4.93e-56,166
SMc00794,BAB_RS23920,70.076,264,79,0,1,264,1,264,5.57e-135,378
SMc00796,BAB_RS23915,74.074,54,14,0,1,54,1,54,1.45e-15,60.1
SMc00797,BAB_RS29245,47.229,415,214,4,2,415,5,415,2.25e-132,384
SMc00799,BAB_RS26555,39.041,146,78,4,15,159,5,140,5.88e-18,75.5
SMc00810,BAB_RS28995,69.789,331,96,2,91,420,174,501,6.19e-161,461
SMc00811,BAB_RS28990,64.623,212,75,0,18,229,29,240,2.06e-106,304
SMc00812,BAB_RS24995,39.062,128,72,3,1,127,1,123,6.46e-25,88.6
SMc00813,BAB_RS28985,61.013,454,177,0,1,454,1,454,0.0,563
SMc00815,BAB_RS30375,83.768,499,78,1,1,499,1,496,0.0,823
SMc00818,BAB_RS30365,53.401,294,137,0,1,294,7,300,1.17e-104,305
SMc00819,BAB_RS30360,82.365,499,83,1,1,494,1,499,0.0,874
SMc00820,BAB_RS28630,59.133,323,124,2,1,316,1,322,1.63e-131,374
SMc00825,BAB_RS28640,73.523,457,121,0,1,457,1,457,0.0,702
SMc00826,BAB_RS28645,62.041,245,93,0,1,245,1,245,6.46e-100,288
SMc00828,BAB_RS21020,47.328,131,66,2,22,151,24,152,4.52e-32,109
SMc00829,BAB_RS27180,60.079,253,101,0,18,270,3,255,1.42e-110,317
SMc00831,BAB_RS27185,65.657,297,102,0,1,297,2,298,2.10e-145,407
SMc00832,BAB_RS27190,57.849,465,195,1,9,472,8,472,0.0,528
SMc00833,BAB_RS27195,53.788,396,181,2,5,398,7,402,2.15e-139,400
SMc00838,BAB_RS23655,26.720,625,385,15,37,599,28,641,8.91e-57,199
SMc00851,BAB_RS17980,66.795,777,202,5,1,721,1,777,0.0,1011
SMc00853,BAB_RS24625,40.373,161,86,3,2,152,15,175,1.28e-32,112
SMc00855,BAB_RS17970,84.839,310,44,1,1,310,1,307,0.0,564
SMc00856,BAB_RS17940,40.984,61,36,0,1,61,1,61,6.75e-15,58.9
SMc00857,BAB_RS17945,65.517,290,98,1,1,288,447,736,7.29e-130,382
SMc00858,BAB_RS17950,56.680,247,106,1,26,271,9,255,1.46e-80,241
SMc00859,BAB_RS17955,70.833,72,21,0,1,72,1,72,1.12e-31,102
SMc00860,BAB_RS17960,77.219,338,77,0,1,338,1,338,0.0,553
SMc00861,BAB_RS17965,49.728,551,274,2,48,598,45,592,0.0,540
SMc00862,BAB_RS17935,48.084,287,139,4,8,290,8,288,1.55e-75,230
SMc00863,BAB_RS29870,35.766,137,81,4,13,144,1,135,7.82e-19,76.3
SMc00865,BAB_RS17920,37.405,131,82,0,1,131,1,131,1.21e-22,86.3
SMc00866,BAB_RS17915,73.973,365,95,0,21,385,26,390,0.0,576
SMc00867,BAB_RS17910,61.682,214,80,2,3,214,2,215,1.32e-74,221
SMc00868,BAB_RS17905,60.377,159,63,0,3,161,1,159,1.05e-64,192
SMc00869,BAB_RS17900,60.680,206,71,2,1,200,1,202,6.39e-84,244
SMc00870,BAB_RS17895,95.082,61,3,0,1,61,1,61,2.37e-36,114
SMc00871,BAB_RS17890,77.823,248,55,0,1,248,1,248,1.31e-142,396
SMc00872,BAB_RS17885,68.493,73,21,1,72,144,60,130,7.40e-28,97.4
SMc00873,BAB_RS22620,53.537,622,285,2,2,622,33,651,0.0,649
SMc00874,BAB_RS18705,41.246,337,180,5,1,326,1,330,6.95e-85,256
SMc00876,BAB_RS16185,67.602,392,114,3,1,384,1,387,0.0,526
SMc00877,BAB_RS26915,45.714,70,35,1,210,276,181,250,3.71e-11,58.5
SMc00878,BAB_RS26915,46.774,62,33,0,185,246,190,251,2.18e-12,61.6
SMc00879,BAB_RS29200,26.984,252,176,6,16,263,7,254,4.51e-18,78.2
SMc00880,BAB_RS25640,38.618,246,139,6,17,256,6,245,4.27e-38,130
SMc00881,BAB_RS27780,46.284,296,157,2,6,301,8,301,3.22e-83,250
SMc00882,BAB_RS27785,65.700,207,71,0,3,209,4,210,1.11e-92,267
SMc00883,BAB_RS26090,48.601,286,145,2,10,294,7,291,1.26e-95,281
SMc00884,BAB_RS27775,45.887,547,279,4,1,531,5,550,1.79e-154,452
SMc00885,BAB_RS23950,35.652,115,67,4,87,195,49,162,6.17e-13,62.8
SMc00887,BAB_RS16950,37.440,414,247,5,23,431,273,679,7.71e-79,255
SMc00888,BAB_RS29320,36.975,119,71,3,445,562,5,120,6.58e-17,73.9
SMc00892,BAB_RS27370,50.888,338,166,0,1,338,1,338,9.13e-118,341
SMc00893,BAB_RS17450,36.170,235,143,2,4,234,10,241,1.57e-45,149
SMc00894,BAB_RS27365,61.574,432,165,1,1,431,1,432,0.0,551
SMc00895,BAB_RS27355,73.333,75,20,0,1,75,1,75,1.61e-39,122
SMc00896,BAB_RS27350,49.027,257,128,2,15,269,13,268,1.82e-74,225
SMc00897,BAB_RS27345,70.615,439,128,1,10,448,10,447,0.0,593
SMc00898,BAB_RS27340,63.744,593,208,4,7,596,8,596,0.0,722
SMc00902,BAB_RS27315,60.870,184,72,0,1,184,1,184,1.30e-78,229
SMc00904,BAB_RS27310,46.702,561,242,12,5,548,37,557,3.33e-129,387
SMc00905,BAB_RS27305,64.189,148,53,0,2,149,10,157,5.56e-67,197
SMc00907,BAB_RS27295,41.048,229,103,9,1,204,1,222,5.88e-38,127
SMc00908,BAB_RS27290,77.583,968,212,3,1,965,1,966,0.0,1543
SMc00909,BAB_RS27285,64.000,325,117,0,2,326,4,328,1.95e-143,405
SMc00910,BAB_RS27280,55.639,266,117,1,10,274,9,274,9.32e-104,300
SMc00912,BAB_RS27275,83.673,98,16,0,1,98,1,98,3.71e-58,171
SMc00913,BAB_RS27270,88.636,528,60,0,1,528,1,528,0.0,902
SMc00914,BAB_RS28785,38.765,405,240,5,4,404,4,404,1.73e-80,250
SMc00916,BAB_RS19045,50.323,155,74,1,21,175,8,159,6.55e-48,155
SMc00917,BAB_RS27240,70.996,231,65,2,1,231,1,229,9.73e-115,324
SMc00918,BAB_RS27235,51.099,364,172,3,13,374,13,372,1.47e-112,330
SMc00919,BAB_RS27230,71.371,496,138,3,7,500,4,497,0.0,671
SMc00923,BAB_RS27220,72.816,206,56,0,5,210,10,215,5.57e-110,311
SMc00924,BAB_RS27215,58.768,211,77,4,7,215,11,213,1.92e-78,233
SMc00925,BAB_RS16575,54.777,157,70,1,49,205,49,204,5.01e-54,169
SMc00926,BAB_RS27200,71.694,431,118,2,14,443,1,428,0.0,650
SMc00928,BAB_RS17880,50.789,380,180,2,12,385,51,429,3.26e-138,397
SMc00929,BAB_RS27945,34.130,293,187,4,8,299,5,292,6.96e-48,160
SMc00930,BAB_RS27335,46.125,271,146,0,23,293,9,279,6.37e-87,259
SMc00932,BAB_RS27380,62.679,627,206,6,1,604,1,622,0.0,768
SMc00933,BAB_RS27375,60.000,65,26,0,2,66,1,65,1.09e-25,87.4
SMc00935,BAB_RS23060,44.792,96,52,1,3,98,2,96,7.33e-21,76.6
SMc00936,BAB_RS21050,64.407,413,147,0,3,415,7,419,0.0,520
SMc00937,BAB_RS23155,42.544,456,261,1,30,484,11,466,1.41e-136,399
SMc00943,BAB_RS21040,63.959,197,71,0,1,197,1,197,1.17e-91,263
SMc00944,BAB_RS21035,65.966,238,81,0,7,244,9,246,3.72e-115,327
SMc00945,BAB_RS21025,75.556,135,33,0,1,135,1,135,6.29e-75,218
SMc00946,BAB_RS20835,50.000,486,229,5,9,483,4,486,4.52e-138,404
SMc00947,BAB_RS20830,89.286,112,12,0,1,112,1,112,6.44e-70,201
SMc00948,BAB_RS20825,88.913,469,52,0,1,469,1,469,0.0,892
SMc00949,BAB_RS29505,64.423,104,37,0,4,107,7,110,5.81e-51,153
SMc00950,BAB_RS29500,54.787,188,79,2,20,207,20,201,1.39e-72,216
SMc00951,BAB_RS29495,57.333,600,247,3,9,599,12,611,0.0,723
SMc00952,BAB_RS29490,50.472,212,104,1,2,213,4,214,1.60e-78,232
SMc00953,BAB_RS30075,41.772,79,46,0,229,307,248,326,2.33e-12,63.2
SMc00955,BAB_RS17640,54.592,392,172,4,2,390,20,408,3.55e-156,443
SMc00956,BAB_RS20185,47.692,260,131,3,1,256,1,259,8.05e-84,248
SMc00957,BAB_RS20315,70.370,27,8,0,1,27,1,27,8.41e-09,41.2
SMc00960,BAB_RS18255,75.966,466,112,0,4,469,3,468,0.0,754
SMc00962,BAB_RS22555,38.725,204,120,4,9,208,11,213,2.60e-33,117
SMc00964,BAB_RS24190,33.553,152,94,2,17,168,33,177,2.86e-12,59.3
SMc00965,BAB_RS26435,23.883,515,352,15,2,485,26,531,1.53e-18,84.7
SMc00966,BAB_RS24410,39.949,393,218,10,5,385,2,388,1.36e-73,231
SMc00968,BAB_RS16870,35.652,115,61,3,1,114,5,107,1.03e-12,64.3
SMc00969,BAB_RS18095,63.091,317,108,2,1,309,1,316,1.34e-147,414
SMc00970,BAB_RS18100,64.474,76,27,0,8,83,9,84,6.17e-33,105
SMc00971,BAB_RS18120,67.327,303,99,0,3,305,12,314,1.27e-148,416
SMc00972,BAB_RS18125,76.923,624,144,0,10,633,4,627,0.0,974
SMc00973,BAB_RS18130,64.113,248,89,0,3,250,4,251,1.81e-104,300
SMc00974,BAB_RS18135,56.627,415,172,3,2,415,5,412,3.81e-157,446
SMc00976,BAB_RS18010,58.167,251,101,2,1,250,1,248,3.01e-98,284
SMc00977,BAB_RS18015,67.227,595,189,3,1,593,1,591,0.0,798
SMc00979,BAB_RS28760,47.586,145,63,5,3,137,5,146,6.10e-28,97.4
SMc00981,BAB_RS22980,59.892,369,137,2,7,364,4,372,1.01e-165,464
SMc00982,BAB_RS22975,66.506,415,138,1,1,414,1,415,0.0,609
SMc00984,BAB_RS17985,60.510,314,119,2,14,323,11,323,6.17e-121,347
SMc00985,BAB_RS17990,63.404,470,172,0,21,490,1,470,0.0,620
SMc00986,BAB_RS26965,36.250,240,144,4,532,769,29,261,1.26e-45,160
SMc00987,BAB_RS18005,58.564,181,75,0,7,187,7,187,7.59e-65,194
SMc00988,BAB_RS18030,63.323,319,111,2,2,314,7,325,3.30e-121,348
SMc00990,BAB_RS19170,64.691,388,137,0,11,398,13,400,0.0,511
SMc00991,BAB_RS23680,28.909,339,214,8,3,320,9,341,2.56e-32,120
SMc00992,BAB_RS16950,31.027,448,279,11,341,779,273,699,1.05e-57,206
SMc00993,BAB_RS18025,69.176,425,129,1,1,423,1,425,0.0,580
SMc00994,BAB_RS19175,50.199,251,123,1,17,265,11,261,3.13e-84,250
SMc00995,BAB_RS21645,62.069,145,54,1,1,144,1,145,1.78e-58,175
SMc00996,BAB_RS21635,46.667,465,205,8,44,497,35,467,1.23e-128,379
SMc00998,BAB_RS26110,53.234,201,92,1,1,199,5,205,1.97e-74,220
SMc01000,BAB_RS22030,26.852,216,136,6,21,218,1,212,9.54e-15,67.0
SMc01001,BAB_RS22025,38.559,236,138,4,10,243,4,234,5.62e-51,163
SMc01002,BAB_RS22020,43.972,141,79,0,1,141,1,141,1.78e-39,127
SMc01003,BAB_RS21180,64.388,278,98,1,39,316,35,311,1.02e-128,367
SMc01004,BAB_RS21175,69.403,134,41,0,5,138,4,137,8.27e-68,199
SMc01005,BAB_RS21170,73.118,186,50,0,16,201,27,212,1.77e-102,291
SMc01006,BAB_RS21165,67.123,146,48,0,1,146,1,146,4.89e-70,204
SMc01007,BAB_RS21160,73.196,97,26,0,22,118,19,115,8.85e-51,154
SMc01008,BAB_RS32010,41.333,75,44,0,67,141,37,111,1.85e-11,54.3
SMc01010,BAB_RS21150,81.003,658,122,3,2,657,1,657,0.0,1123
SMc01011,BAB_RS21145,48.795,332,144,6,2,323,15,330,5.51e-101,297
SMc01012,BAB_RS21140,48.901,182,93,0,7,188,5,186,7.07e-60,182
SMc01013,BAB_RS21135,57.071,198,84,1,1,198,1,197,3.73e-77,227
SMc01018,BAB_RS29415,75.710,704,148,2,1,686,1,699,0.0,1100
SMc01019,BAB_RS22195,42.759,290,156,3,9,292,9,294,5.47e-75,228
SMc01020,BAB_RS28180,47.706,436,225,2,5,438,4,438,1.12e-137,399
SMc01023,BAB_RS21480,64.961,254,89,0,1,254,1,254,5.38e-117,332
SMc01024,BAB_RS21475,62.931,116,31,2,1,105,1,115,9.46e-33,110
SMc01025,BAB_RS21465,86.900,542,71,0,1,542,1,542,0.0,972
SMc01027,BAB_RS21460,78.929,280,55,1,1,280,1,276,8.37e-145,404
SMc01028,BAB_RS21455,83.215,423,71,0,1,423,1,423,0.0,714
SMc01029,BAB_RS21445,48.864,88,45,0,1,88,14,101,3.88e-26,90.1
SMc01030,BAB_RS21440,82.521,349,57,2,1,348,1,346,0.0,570
SMc01031,BAB_RS21435,83.660,459,75,0,1,459,1,459,0.0,769
SMc01032,BAB_RS21430,71.145,454,117,4,1,447,1,447,0.0,613
SMc01035,BAB_RS21425,85.421,487,65,1,1,481,1,487,0.0,843
SMc01036,BAB_RS20630,58.824,68,28,0,16,83,16,83,5.71e-16,63.2
SMc01037,BAB_RS21415,80.312,320,62,1,1,320,1,319,0.0,548
SMc01038,BAB_RS21410,73.154,149,39,1,1,148,1,149,6.61e-78,224
SMc01039,BAB_RS21400,61.783,157,58,2,8,163,8,163,5.65e-57,172
SMc01040,BAB_RS21395,62.051,390,141,4,36,422,56,441,2.92e-160,456
SMc01041,BAB_RS21390,61.491,322,122,2,11,330,3,324,2.44e-135,385
SMc01042,BAB_RS21385,70.879,364,106,0,19,382,14,377,0.0,540
SMc01043,BAB_RS21380,78.306,484,101,3,4,484,8,490,0.0,783
SMc01044,BAB_RS21375,55.978,736,315,4,18,748,40,771,0.0,808
SMc01045,BAB_RS21370,80.176,454,89,1,1,454,1,453,0.0,754
SMc01046,BAB_RS21365,64.629,458,162,0,1,458,1,458,0.0,630
SMc01047,BAB_RS27810,40.972,288,162,3,3,287,11,293,2.18e-71,219
SMc01048,BAB_RS21355,93.590,78,5,0,1,78,1,78,7.85e-53,155
SMc01049,BAB_RS21350,65.101,447,149,3,25,465,26,471,0.0,526
SMc01051,BAB_RS21130,61.111,270,105,0,1,270,1,270,1.28e-116,333
SMc01052,BAB_RS29095,70.918,196,55,1,2,195,4,199,6.26e-105,296
SMc01053,BAB_RS16760,66.017,462,157,0,2,463,9,470,0.0,572
SMc01054,BAB_RS16765,61.364,88,34,0,1,88,1,88,9.68e-32,104
SMc01090,BAB_RS16505,55.292,548,232,3,7,541,7,554,0.0,586
SMc01092,BAB_RS26815,31.650,297,193,4,1,293,7,297,3.52e-46,154
SMc01094,BAB_RS30440,35.792,366,224,4,38,401,49,405,2.12e-59,195
SMc01095,BAB_RS17475,47.564,1047,531,5,4,1047,2,1033,0.0,935
SMc01096,BAB_RS31010,74.809,393,98,1,2,393,3,395,0.0,609
SMc01097,BAB_RS31015,28.934,197,135,2,1,195,1,194,1.85e-20,81.6
SMc01099,BAB_RS31020,65.587,247,85,0,1,247,1,247,1.62e-122,345
SMc01100,BAB_RS31025,66.221,299,101,0,3,301,1,299,1.31e-142,401
SMc01101,BAB_RS31030,68.966,174,54,0,5,178,1,174,6.47e-93,265
SMc01102,BAB_RS31035,63.145,407,131,4,8,401,7,407,0.0,509
SMc01103,BAB_RS26385,35.548,301,183,5,2,295,10,306,2.74e-36,129
SMc01105,BAB_RS26390,65.916,311,105,1,4,314,2,311,7.11e-150,420
SMc01106,BAB_RS16685,73.427,143,35,1,1,143,1,140,2.43e-76,220
SMc01107,BAB_RS16680,50.000,76,38,0,10,85,6,81,1.59e-27,92.4
SMc01108,BAB_RS26225,63.203,231,85,0,20,250,2,232,6.47e-105,300
SMc01109,BAB_RS26220,82.254,417,66,1,2,410,3,419,0.0,693
SMc01110,BAB_RS26215,81.022,137,26,0,1,137,1,137,9.83e-77,221
SMc01111,BAB_RS26210,59.432,493,198,2,1,492,2,493,0.0,563
SMc01112,BAB_RS26205,60.294,340,122,4,20,357,16,344,5.72e-122,354
SMc01113,BAB_RS26200,56.494,154,61,1,10,163,2,149,4.48e-58,175
SMc01114,BAB_RS26195,75.389,321,79,0,23,343,3,323,1.89e-178,494
SMc01115,BAB_RS26190,71.554,457,125,1,10,466,16,467,0.0,689
SMc01116,BAB_RS26185,49.430,263,133,0,1,263,1,263,8.47e-89,262
SMc01117,BAB_RS26180,47.500,160,77,3,9,167,10,163,1.47e-36,121
SMc01118,BAB_RS26175,47.556,225,109,4,1,217,1,224,3.74e-58,180
SMc01119,BAB_RS16580,75.263,190,45,1,1,188,1,190,1.22e-101,288
SMc01120,BAB_RS16585,64.417,163,57,1,1,163,18,179,2.79e-64,192
SMc01121,BAB_RS16590,71.186,354,102,0,1,354,1,354,0.0,528
SMc01123,BAB_RS16595,81.369,526,98,0,1,526,1,526,0.0,822
SMc01124,BAB_RS16600,65.435,920,315,2,1,917,1,920,0.0,1241
SMc01125,BAB_RS16610,71.801,883,246,2,30,911,25,905,0.0,1281
SMc01126,BAB_RS32020,82.979,376,63,1,2,377,6,380,0.0,646
SMc01127,BAB_RS16615,60.687,262,103,0,30,291,19,280,4.13e-117,335
SMc01128,BAB_RS23650,32.319,263,162,6,152,399,767,1028,9.27e-36,141
SMc01129,BAB_RS16620,53.020,149,69,1,15,162,9,157,4.38e-52,160
SMc01130,BAB_RS16625,66.192,281,95,0,5,285,14,294,7.22e-136,383
SMc01131,BAB_RS16630,63.288,365,122,5,27,384,22,381,1.34e-155,440
SMc01132,BAB_RS17435,54.286,140,64,0,1,140,1,140,8.87e-53,161
SMc01133,BAB_RS16635,50.962,104,51,0,3,106,4,107,3.06e-34,111
SMc01134,BAB_RS16640,84.615,91,14,0,1,91,1,91,4.99e-54,160
SMc01135,BAB_RS16645,48.758,322,153,4,2,318,4,318,1.05e-94,280
SMc01136,BAB_RS16650,35.500,200,127,2,22,220,36,234,6.16e-39,131
SMc01137,BAB_RS16655,42.105,171,79,4,32,184,39,207,2.09e-40,133
SMc01138,BAB_RS16660,72.628,274,67,1,5,270,4,277,3.39e-142,397
SMc01139,BAB_RS16665,58.350,509,196,4,1,507,1,495,0.0,593
SMc01140,BAB_RS16670,59.474,190,74,2,1,188,1,189,3.33e-73,216
SMc01141,BAB_RS16675,69.481,154,47,0,1,154,1,154,8.23e-76,219
SMc01142,BAB_RS16715,74.074,162,35,2,47,202,63,223,3.71e-85,248
SMc01143,BAB_RS16720,67.797,354,113,1,6,359,4,356,1.23e-178,496
SMc01144,BAB_RS16725,78.571,238,51,0,1,238,1,238,1.39e-145,403
SMc01145,BAB_RS29485,25.385,130,92,3,5,133,3,128,1.90e-08,46.6
SMc01146,BAB_RS16740,74.057,212,55,0,1,212,1,212,3.75e-114,322
SMc01147,BAB_RS16745,65.526,380,131,0,14,393,25,404,0.0,515
SMc01152,BAB_RS26350,68.182,88,28,0,1,88,1,88,1.23e-38,120
SMc01153,BAB_RS26345,75.486,257,63,0,1,257,1,257,1.86e-139,389
SMc01154,BAB_RS26340,64.356,303,94,4,1,300,1,292,8.29e-132,373
SMc01155,BAB_RS31180,74.319,257,66,0,14,270,13,269,2.42e-139,390
SMc01156,BAB_RS31175,67.304,523,171,0,1,523,1,523,0.0,717
SMc01157,BAB_RS18225,32.669,251,158,1,5,255,4,243,1.29e-31,114
SMc01161,BAB_RS31170,72.319,401,107,2,3,399,4,404,0.0,544
SMc01162,BAB_RS24010,60.643,249,98,0,1,249,1,249,9.96e-111,317
SMc01163,BAB_RS22450,60.109,366,146,0,10,375,6,371,1.02e-166,468
SMc01164,BAB_RS28860,37.545,277,166,4,2,278,5,274,2.63e-57,182
SMc01165,BAB_RS28855,56.757,629,268,3,15,641,2,628,0.0,714
SMc01166,BAB_RS28850,63.830,611,211,4,4,612,2,604,0.0,776
SMc01167,BAB_RS10420,66.603,524,158,4,1,507,20,543,0.0,659
SMc01168,BAB_RS27870,51.370,146,71,0,1,146,1,146,6.15e-46,144
SMc01169,BAB_RS27615,28.158,380,237,9,5,357,7,377,1.55e-27,108
SMc01171,BAB_RS21075,45.562,169,91,1,6,173,2,170,3.30e-50,157
SMc01172,BAB_RS21070,64.643,280,99,0,7,286,3,282,1.97e-140,394
SMc01173,BAB_RS21065,71.193,243,69,1,1,242,1,243,4.19e-126,354
SMc01174,BAB_RS21060,76.246,341,81,0,18,358,1,341,0.0,545
SMc01175,BAB_RS21405,27.933,179,129,0,16,194,10,188,1.73e-20,84.7
SMc01178,BAB_RS20455,36.957,92,52,2,18,106,14,102,8.89e-09,46.2
SMc01179,BAB_RS20455,36.449,107,68,0,5,111,4,110,1.11e-19,74.3
SMc01180,BAB_RS29255,57.143,56,24,0,14,69,9,64,9.19e-16,63.2
SMc01183,BAB_RS21510,77.917,240,50,3,1,237,1,240,3.41e-131,367
SMc01187,BAB_RS20765,58.052,267,103,5,25,289,34,293,1.04e-94,285
SMc01188,BAB_RS20770,52.809,356,168,0,29,384,37,392,1.79e-131,379
SMc01189,BAB_RS20775,57.143,210,90,0,14,223,3,212,2.60e-87,254
SMc01190,BAB_RS20780,45.161,341,177,3,9,343,14,350,1.07e-91,275
SMc01192,BAB_RS20785,71.937,506,140,2,7,512,6,509,0.0,769
SMc01193,BAB_RS20790,70.155,258,77,0,1,258,1,258,1.25e-135,379
SMc01194,BAB_RS20795,57.955,264,110,1,7,270,10,272,1.65e-114,327
SMc01198,BAB_RS25900,34.783,92,59,1,9,99,145,236,9.11e-09,52.8
SMc01200,BAB_RS16575,54.658,161,73,0,32,192,44,204,2.13e-60,184
SMc01203,BAB_RS30780,48.128,187,97,0,6,192,5,191,2.29e-63,191
SMc01204,BAB_RS26515,36.548,197,114,6,11,202,9,199,1.27e-17,77.0
SMc01205,BAB_RS29235,26.728,217,134,5,1,213,2,197,1.59e-16,73.6
SMc01206,BAB_RS21265,79.200,375,78,0,2,376,3,377,0.0,632
SMc01207,BAB_RS21270,76.389,360,82,3,1,360,1,357,0.0,544
SMc01208,BAB_RS21275,76.220,164,39,0,5,168,4,167,2.57e-97,275
SMc01209,BAB_RS21285,68.098,163,52,0,1,163,1,163,7.77e-77,223
SMc01211,BAB_RS17685,41.205,415,240,3,46,457,1,414,1.37e-104,315
SMc01212,BAB_RS28575,29.064,203,135,5,3,200,32,230,1.68e-14,71.2
SMc01213,BAB_RS23090,64.013,314,104,5,1,311,1,308,1.63e-137,388
SMc01214,BAB_RS16870,30.124,322,194,13,1,306,5,311,5.35e-30,114
SMc01215,BAB_RS23105,84.179,1163,183,1,1,1163,1,1162,0.0,2003
SMc01217,BAB_RS30945,24.939,409,298,6,29,432,18,422,1.90e-13,68.6
SMc01218,BAB_RS23170,79.487,156,32,0,2,157,1,156,8.55e-90,255
SMc01219,BAB_RS23165,55.301,349,152,2,2,350,7,351,1.20e-135,387
SMc01223,BAB_RS23160,75.333,150,37,0,1,150,1,150,1.81e-82,236
SMc01224,BAB_RS23150,73.457,324,86,0,1,324,1,324,0.0,509
SMc01225,BAB_RS23145,69.360,297,90,1,7,302,5,301,4.22e-164,455
SMc01226,BAB_RS27960,72.840,81,22,0,4,84,10,90,2.59e-44,135
SMc01227,BAB_RS27965,76.757,370,85,1,1,369,1,370,0.0,583
SMc01229,BAB_RS23880,62.733,161,59,1,3,163,5,164,8.74e-69,203
SMc01230,BAB_RS23210,41.667,204,101,4,26,225,9,198,2.56e-29,110
SMc01231,BAB_RS21295,82.063,892,159,1,16,906,12,903,0.0,1504
SMc01232,BAB_RS21300,64.179,201,72,0,5,205,5,205,4.18e-89,258
SMc01233,BAB_RS21320,58.621,174,66,2,1,174,1,168,4.29e-63,189
SMc01235,BAB_RS21325,84.394,974,151,1,1,973,1,974,0.0,1671
SMc01237,BAB_RS21015,81.087,1269,222,8,1,1263,1,1257,0.0,2119
SMc01238,BAB_RS23125,26.178,191,128,5,20,207,17,197,3.09e-10,54.3
SMc01242,BAB_RS16170,48.494,332,163,4,1,324,1,332,1.64e-109,319
SMc01243,BAB_RS29580,80.000,25,5,0,1,25,1,25,6.34e-08,38.9
SMc01251,BAB_RS29295,83.333,24,4,0,1,24,1,24,6.04e-09,41.2
SMc01256,BAB_RS21650,74.886,438,109,1,30,466,2,439,0.0,631
SMc01258,BAB_RS21660,48.418,316,157,2,13,328,6,315,3.12e-92,275
SMc01259,BAB_RS26030,28.873,142,84,4,19,156,20,148,1.72e-09,50.8
SMc01260,BAB_RS21665,75.000,128,32,0,1,128,1,128,3.96e-68,198
SMc01261,BAB_RS28080,31.436,369,231,5,116,466,92,456,2.59e-57,193
SMc01262,BAB_RS30060,59.756,164,66,0,1,164,1,164,4.84e-66,196
SMc01268,BAB_RS29425,70.886,237,67,1,16,250,16,252,1.97e-121,343
SMc01270,BAB_RS16530,72.606,376,96,2,1,375,1,370,0.0,556
SMc01271,BAB_RS25365,50.685,146,71,1,2,146,10,155,6.87e-42,134
SMc01272,BAB_RS16520,40.559,143,83,1,8,150,6,146,6.70e-27,99.8
SMc01273,BAB_RS16515,67.754,276,89,0,1,276,1,276,1.72e-144,403
SMc01274,BAB_RS28350,40.517,116,65,2,5,117,7,121,8.99e-19,73.2
SMc01275,BAB_RS20805,76.829,328,74,1,1,328,1,326,0.0,529
SMc01276,BAB_RS20815,54.245,212,96,1,1,212,1,211,7.47e-75,222
SMc01277,BAB_RS20820,56.489,262,110,3,1,260,1,260,9.47e-104,299
SMc01278,BAB_RS19745,57.843,102,43,0,1,102,1,102,6.67e-35,112
SMc01279,BAB_RS21785,86.417,427,58,0,1,427,1,427,0.0,763
SMc01280,BAB_RS21790,56.071,453,192,3,20,465,22,474,6.93e-175,496
SMc01281,BAB_RS27535,66.881,311,102,1,4,313,9,319,1.39e-157,439
SMc01282,BAB_RS27530,62.189,201,74,2,15,215,19,217,8.38e-81,237
SMc01283,BAB_RS21795,87.786,131,16,0,1,131,1,131,5.16e-83,237
SMc01285,BAB_RS21800,90.208,337,32,1,1,336,1,337,0.0,631
SMc01286,BAB_RS21805,96.124,129,5,0,1,129,1,129,1.04e-91,258
SMc01287,BAB_RS21810,85.841,113,16,0,1,113,1,113,8.46e-68,197
SMc01288,BAB_RS21815,79.058,191,40,0,1,191,1,191,2.83e-110,310
SMc01289,BAB_RS21820,82.511,446,78,0,1,446,1,446,0.0,758
SMc01290,BAB_RS21825,76.923,156,36,0,1,156,1,156,1.44e-81,234
SMc01291,BAB_RS21830,78.788,66,12,1,1,66,1,64,1.29e-30,99.0
SMc01292,BAB_RS21835,88.690,168,18,1,22,189,20,186,1.58e-103,292
