Abortus2308|Q.,S_meliloti|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS20300,SMc02051,73.333,45,12,0,1,45,1,45,3.38e-21,74.3
BAB_RS20315,SMc00957,70.370,27,8,0,1,27,1,27,1.67e-08,41.2
BAB_RS20320,SMc02050,67.640,445,144,0,9,453,1,445,0.0,630
BAB_RS20325,SMc01350,86.800,500,66,0,1,500,17,516,0.0,909
BAB_RS20330,SMc01349,45.122,164,87,2,1,162,2,164,2.76e-46,146
BAB_RS20335,SMc01348,75.758,132,28,1,3,134,4,131,4.92e-71,207
BAB_RS20340,SMc01347,76.724,116,27,0,38,153,30,145,2.36e-66,196
BAB_RS20345,SMc01346,60.109,183,73,0,1,183,15,197,2.77e-81,238
BAB_RS20350,SMc01345,83.221,447,74,1,1,447,3,448,0.0,759
BAB_RS20355,SMc01344,65.625,160,49,4,1,156,1,158,3.33e-61,184
BAB_RS20360,SMc01343,64.189,148,53,0,1,148,1,148,1.84e-68,202
BAB_RS20365,SMc01342,55.399,213,95,0,52,264,40,252,1.19e-83,248
BAB_RS20375,SMc01340,64.323,384,135,1,1,382,1,384,5.57e-174,488
BAB_RS20380,SMc01336,80.734,436,83,1,189,623,213,648,0.0,733
BAB_RS20390,SMc01335,51.042,384,171,6,45,422,53,425,8.50e-122,358
BAB_RS20395,SMc01334,68.575,821,252,4,1,819,1,817,0.0,1171
BAB_RS20400,SMc01333,74.926,339,85,0,4,342,1,339,0.0,515
BAB_RS20430,SMc00523,64.671,167,58,1,1,167,1,166,1.01e-74,223
BAB_RS20435,SMc00524,61.935,155,58,1,1,154,1,155,2.11e-66,196
BAB_RS20440,SMc00525,34.022,1114,697,15,29,1132,53,1138,0.0,609
BAB_RS20445,SMc00526,77.458,417,94,0,1,417,1,417,0.0,659
BAB_RS20450,SMc00527,64.011,364,129,1,7,368,7,370,3.08e-157,444
BAB_RS20455,SMc01523,55.556,108,48,0,3,110,6,113,5.24e-41,129
BAB_RS20460,SMc00528,83.556,225,36,1,1,224,1,225,3.02e-144,399
BAB_RS20465,SMc00529,56.693,381,164,1,4,383,2,382,5.45e-137,394
BAB_RS20470,SMc00530,86.391,507,51,1,1,507,1,489,0.0,912
BAB_RS20475,SMc00531,83.267,251,42,0,1,251,1,251,1.99e-153,424
BAB_RS20480,SMc00532,53.365,416,191,3,13,425,10,425,1.52e-155,444
BAB_RS20485,SMc00533,79.419,413,85,0,1,413,1,413,0.0,695
BAB_RS20490,SMc00302,87.037,108,14,0,32,139,19,126,4.00e-67,197
BAB_RS20495,SM_b20958,27.957,279,155,10,1,263,1,249,1.43e-18,82.0
BAB_RS20505,SMc01331,60.643,249,98,0,7,255,7,255,2.11e-97,283
BAB_RS20510,SMc00522,68.064,501,131,5,1,478,1,495,0.0,652
BAB_RS20515,SMc00301,68.067,119,37,1,4,121,3,121,2.00e-57,172
BAB_RS20520,SMc02854,38.095,84,51,1,1,84,81,163,6.34e-16,65.9
BAB_RS20525,SMa1009,39.394,66,40,0,1,66,1,66,6.50e-11,50.1
BAB_RS20530,SMc02083,63.470,219,79,1,4,222,2,219,9.50e-91,263
BAB_RS20535,SMc02082,50.112,447,215,5,16,456,12,456,2.21e-136,397
BAB_RS20540,SMc02081,57.778,90,38,0,154,243,161,250,1.17e-27,103
BAB_RS20545,SMc02080,68.532,947,261,5,1,910,1,947,0.0,1316
BAB_RS20555,SMc02079,46.646,328,158,7,5,323,110,429,1.07e-89,272
BAB_RS20565,SMc00133,60.068,293,104,6,5,290,3,289,9.67e-102,296
BAB_RS20575,SMc00140,61.486,148,51,3,1,148,1,142,6.12e-59,182
BAB_RS20580,SMc00142,63.636,44,16,0,4,47,9,52,2.40e-13,62.0
BAB_RS20585,SMc00143,37.931,203,108,6,17,212,15,206,1.97e-28,104
BAB_RS20590,SMc00144,79.882,338,68,0,7,344,12,349,0.0,557
BAB_RS20595,SMc00145,65.546,119,41,0,1,119,45,163,4.80e-56,169
BAB_RS20600,SMc02116,28.151,238,140,8,34,254,141,364,8.61e-15,70.9
BAB_RS20610,SMc00150,32.308,455,274,12,21,466,4,433,6.31e-59,207
BAB_RS20620,SMc04060,80.000,25,5,0,1,25,1,25,3.93e-08,40.0
BAB_RS20625,SM_b21712,80.000,25,5,0,1,25,1,25,2.84e-10,45.4
BAB_RS20630,SMc01036,59.036,83,34,0,1,83,1,83,4.72e-26,89.4
BAB_RS20705,SMc04432,48.750,80,38,1,28,104,26,105,1.02e-22,82.4
BAB_RS20710,SMc04431,47.059,85,39,2,1,80,1,84,6.11e-19,71.2
BAB_RS20715,SMc01206,80.476,210,41,0,1,210,167,376,8.42e-130,368
BAB_RS20755,SM_b20828,54.878,82,37,0,48,129,1,82,4.20e-26,95.5
BAB_RS20760,SMc02649,54.783,115,52,0,1,115,1,115,1.55e-41,131
BAB_RS20765,SMc01187,56.522,276,111,5,25,293,16,289,5.75e-95,286
BAB_RS20770,SMc01188,51.475,373,181,0,20,392,12,384,4.38e-131,379
BAB_RS20775,SMc01189,57.143,210,90,0,3,212,14,223,4.74e-87,254
BAB_RS20780,SMc01190,45.758,330,169,3,14,339,9,332,1.69e-95,285
BAB_RS20785,SMc01192,71.937,506,140,2,6,509,7,512,0.0,769
BAB_RS20790,SMc01193,70.155,258,77,0,1,258,1,258,2.52e-135,379
BAB_RS20795,SMc01194,57.955,264,110,1,10,272,7,270,3.21e-114,327
BAB_RS20800,SMc03900,60.377,583,230,1,1,583,32,613,0.0,727
BAB_RS20805,SMc01275,76.829,328,74,1,1,326,1,328,0.0,529
BAB_RS20810,SM_b20716,23.451,226,162,5,82,299,75,297,2.01e-08,52.0
BAB_RS20815,SMc01276,54.245,212,96,1,1,211,1,212,1.49e-74,222
BAB_RS20820,SMc01277,56.489,262,110,3,1,260,1,260,8.47e-99,287
BAB_RS20825,SMc00948,88.913,469,52,0,1,469,1,469,0.0,892
BAB_RS20830,SMc00947,89.286,112,12,0,1,112,1,112,1.28e-69,201
BAB_RS20835,SMc00946,49.072,485,235,4,4,486,9,483,8.58e-134,394
BAB_RS20845,SMc00151,46.364,220,118,0,8,227,4,223,2.79e-67,204
BAB_RS20850,SMc00152,67.826,230,74,0,3,232,2,231,1.01e-101,292
BAB_RS20855,SMc00153,52.349,149,70,1,6,154,6,153,2.04e-47,150
BAB_RS20860,SMc00154,69.978,463,137,2,1,462,1,462,0.0,662
BAB_RS20865,SMc00155,79.955,449,90,0,1,449,1,449,0.0,761
BAB_RS20875,SMc00161,77.639,559,125,0,1,559,1,559,0.0,881
BAB_RS20880,SMc03172,29.735,491,280,10,3,455,6,469,3.61e-46,164
BAB_RS20890,SMc00169,79.494,751,153,1,13,763,17,766,0.0,1161
BAB_RS20895,SMc00459,63.609,327,118,1,1,326,1,327,3.72e-143,405
BAB_RS20900,SMc00174,57.143,385,154,7,10,391,3,379,1.13e-130,377
BAB_RS20905,SMc00175,75.610,246,60,0,23,268,19,264,9.20e-130,367
BAB_RS20910,SMc00176,41.391,302,148,4,1,302,3,275,2.00e-64,208
BAB_RS20915,SMc00177,45.596,193,101,4,18,209,15,204,2.93e-51,162
BAB_RS20920,SMc00190,30.244,1273,670,36,363,1577,976,2088,1.29e-102,362
BAB_RS20930,SMc00192,69.811,106,31,1,1,106,1,105,4.54e-53,159
BAB_RS20945,SMc00194,43.077,195,107,2,13,204,24,217,3.84e-53,167
BAB_RS20950,SMc00462,63.603,272,98,1,5,276,11,281,3.77e-114,327
BAB_RS20955,SMc00463,69.298,114,35,0,2,115,5,118,5.74e-55,165
BAB_RS20960,SMc00465,57.471,174,65,2,6,175,2,170,3.22e-64,192
BAB_RS20965,SMc00548,62.658,158,57,2,19,174,25,182,1.98e-66,199
BAB_RS20970,SMc00466,53.372,341,157,1,7,347,10,348,1.62e-112,329
BAB_RS20975,SMc00467,63.636,495,168,1,4,486,5,499,0.0,639
BAB_RS20980,SMc00468,37.063,143,88,1,3,145,10,150,4.13e-26,95.5
BAB_RS20985,SMc00469,81.295,139,25,1,1,138,8,146,1.38e-77,224
BAB_RS20990,SMc00470,48.958,96,49,0,4,99,1,96,1.64e-14,71.2
BAB_RS20995,SMc00471,58.072,861,344,4,9,854,10,868,0.0,1014
BAB_RS21000,SM_b20319,64.250,400,140,1,1,397,1,400,5.27e-179,502
BAB_RS21005,SMc01849,58.797,449,172,3,3,438,4,452,0.0,521
BAB_RS21015,SMc01237,80.521,1268,231,6,1,1257,1,1263,0.0,2084
BAB_RS21020,SMc00828,47.328,131,66,2,24,152,22,151,8.67e-32,109
BAB_RS21025,SMc00945,75.556,135,33,0,1,135,1,135,1.25e-74,218
BAB_RS21030,SMa1149,34.091,220,132,4,60,270,51,266,1.24e-29,110
BAB_RS21035,SMc00944,65.966,238,81,0,9,246,7,244,7.38e-115,327
BAB_RS21040,SMc00943,63.959,197,71,0,1,197,1,197,2.33e-91,263
BAB_RS21050,SMc00936,64.407,413,147,0,7,419,3,415,0.0,518
BAB_RS21055,SM_b20880,45.794,428,228,3,89,513,4,430,7.68e-121,362
BAB_RS21060,SMc01174,76.246,341,81,0,1,341,18,358,0.0,545
BAB_RS21065,SMc01173,71.193,243,69,1,1,243,1,242,8.27e-126,354
BAB_RS21070,SMc01172,64.643,280,99,0,3,282,7,286,3.88e-140,394
BAB_RS21075,SMc01171,45.562,169,91,1,2,170,6,173,6.08e-50,157
BAB_RS21095,SMc03168,39.437,142,77,4,50,186,232,369,2.13e-25,99.0
BAB_RS21110,SMa1296,42.162,185,104,2,1,182,3,187,1.96e-38,137
BAB_RS21115,SMc00134,58.889,270,110,1,7,276,6,274,7.28e-99,288
BAB_RS21120,SMc04030,63.810,315,114,0,2,316,3,317,2.79e-144,407
BAB_RS21125,SM_b20942,43.452,336,171,6,3,333,6,327,2.15e-81,248
BAB_RS21130,SMc01051,61.111,270,105,0,1,270,1,270,2.52e-116,333
BAB_RS21135,SMc01013,57.071,198,84,1,1,197,1,198,7.53e-77,227
BAB_RS21140,SMc01012,48.901,182,93,0,5,186,7,188,3.33e-54,169
BAB_RS21145,SMc01011,56.420,257,108,2,78,330,67,323,3.16e-100,296
BAB_RS21150,SMc01010,81.003,658,122,3,1,657,2,657,0.0,1137
BAB_RS21155,SMc00068,44.103,390,196,6,27,397,21,407,6.14e-89,272
BAB_RS21160,SMc01007,73.196,97,26,0,19,115,22,118,1.75e-50,154
BAB_RS21165,SMc01006,67.123,146,48,0,1,146,1,146,2.70e-66,196
BAB_RS21170,SMc01005,73.118,186,50,0,27,212,16,201,3.43e-92,266
BAB_RS21175,SMc01004,69.403,134,41,0,4,137,5,138,1.53e-67,199
BAB_RS21180,SMc01003,64.388,278,98,1,35,311,39,316,5.80e-121,348
BAB_RS21195,SMc02297,26.042,384,224,15,80,409,115,492,1.17e-14,72.8
BAB_RS21210,SMc02287,44.022,184,97,4,17,197,2,182,1.84e-40,134
BAB_RS21225,SMc01380,100.000,28,0,0,1,28,1,28,2.34e-13,53.5
BAB_RS21230,SM_b21182,70.175,57,17,0,5,61,4,60,1.22e-19,87.0
BAB_RS21235,SM_b21181,81.888,392,71,0,3,394,4,395,0.0,677
BAB_RS21240,SMc04882,44.770,239,130,2,4,240,3,241,3.05e-68,212
BAB_RS21245,SMc03968,57.632,321,136,0,1,321,1,321,4.18e-129,369
BAB_RS21250,SMc01457,35.905,1011,631,8,3,1006,20,1020,0.0,552
BAB_RS21255,SM_b21497,27.451,357,215,7,35,366,26,363,4.49e-24,99.8
BAB_RS21260,SMc01522,32.759,116,76,2,10,123,15,130,1.62e-11,57.8
BAB_RS21265,SMc01206,79.200,375,78,0,3,377,2,376,0.0,632
BAB_RS21270,SMc01207,76.389,360,82,3,1,357,1,360,0.0,544
BAB_RS21275,SMc01208,76.220,164,39,0,4,167,5,168,5.08e-97,275
BAB_RS21280,SMc01700,64.286,168,60,0,24,191,21,188,5.63e-75,221
BAB_RS21285,SMc01209,68.098,163,52,0,1,163,1,163,1.56e-76,223
BAB_RS21295,SMc01231,81.798,901,161,2,5,903,7,906,0.0,1510
BAB_RS21300,SMc01232,64.179,201,72,0,5,205,5,205,8.32e-89,258
BAB_RS21305,SM_b21170,42.697,178,102,0,3,180,4,181,7.68e-41,134
BAB_RS21310,SM_b20758,48.117,239,124,0,8,246,6,244,3.01e-68,208
BAB_RS21320,SMc01233,60.920,174,62,1,1,168,1,174,1.97e-66,198
BAB_RS21325,SMc01235,84.394,974,151,1,1,974,1,973,0.0,1665
BAB_RS21330,SMc01906,73.333,90,24,0,1,90,1,90,5.57e-42,130
BAB_RS21335,SMc01905,84.111,793,124,1,22,812,14,806,0.0,1369
BAB_RS21340,SMc01904,88.471,425,48,1,1,424,1,425,0.0,781
BAB_RS21345,SMc01903,78.713,202,43,0,1,202,1,202,1.93e-124,348
BAB_RS21350,SMc01049,65.548,447,147,3,26,471,25,465,0.0,536
BAB_RS21355,SMc01048,93.590,78,5,0,1,78,1,78,1.52e-52,155
BAB_RS21365,SMc01046,64.629,458,162,0,1,458,1,458,0.0,630
BAB_RS21370,SMc01045,80.176,454,89,1,1,453,1,454,0.0,754
BAB_RS21375,SMc01044,55.978,736,315,4,40,771,18,748,0.0,807
BAB_RS21380,SMc01043,78.306,484,101,3,8,490,4,484,0.0,783
BAB_RS21385,SMc01042,70.879,364,106,0,14,377,19,382,0.0,540
BAB_RS21390,SMc01041,61.491,322,122,2,3,324,11,330,4.78e-135,385
BAB_RS21395,SMc01040,62.051,390,141,4,56,441,36,422,5.98e-160,456
BAB_RS21400,SMc01039,61.783,157,58,2,8,163,8,163,1.12e-56,172
BAB_RS21405,SMc01698,40.930,215,114,4,3,209,5,214,9.76e-42,140
BAB_RS21410,SMc01038,73.154,149,39,1,1,149,1,148,1.34e-77,224
BAB_RS21415,SMc01037,80.312,320,62,1,1,319,1,320,0.0,548
BAB_RS21425,SMc01035,85.421,487,65,1,1,487,1,481,0.0,843
BAB_RS21430,SMc01032,70.705,454,119,4,1,447,1,447,0.0,597
BAB_RS21435,SMc01031,83.660,459,75,0,1,459,1,459,0.0,769
BAB_RS21440,SMc01030,82.521,349,57,2,1,346,1,348,0.0,569
BAB_RS21445,SMc01029,48.864,88,45,0,14,101,1,88,9.02e-26,90.1
BAB_RS21455,SMc01028,83.215,423,71,0,1,423,1,423,0.0,714
BAB_RS21460,SMc01027,78.929,280,55,1,1,276,1,280,1.71e-142,399
BAB_RS21465,SMc01025,86.900,542,71,0,1,542,1,542,0.0,973
BAB_RS21470,SMc02636,53.846,156,71,1,76,230,20,175,9.73e-61,187
BAB_RS21475,SMc01024,64.486,107,27,1,1,107,1,96,7.46e-26,93.6
BAB_RS21480,SMc01023,64.961,254,89,0,1,254,1,254,1.06e-116,332
BAB_RS21485,SMc00234,47.695,629,326,3,1,627,1,628,0.0,537
BAB_RS21490,SMc00235,65.373,335,116,0,1,335,1,335,1.21e-160,450
BAB_RS21495,SMc00236,78.707,263,56,0,3,265,2,264,7.79e-145,404
BAB_RS21500,SMc00237,76.433,157,36,1,1,156,1,157,2.86e-82,238
BAB_RS21505,SMc00238,53.202,406,184,3,1,404,1,402,2.18e-133,386
BAB_RS21510,SMc01183,76.667,240,53,1,1,240,1,237,1.61e-126,355
BAB_RS21515,SMc02086,33.663,808,478,15,17,802,16,787,4.40e-120,380
BAB_RS21520,SMc03172,37.975,474,261,8,5,461,6,463,9.83e-96,295
BAB_RS21525,SMc02087,86.713,429,57,0,1,429,1,429,0.0,801
BAB_RS21530,SMc02089,50.390,385,190,1,4,388,2,385,2.86e-126,367
BAB_RS21535,SMc02090,51.471,272,129,3,19,288,13,283,7.03e-72,221
BAB_RS21540,SMc02091,44.358,257,143,0,6,262,8,264,2.71e-79,238
BAB_RS21545,SMc02092,68.276,145,43,2,7,150,6,148,1.50e-67,199
BAB_RS21550,SMc02093,50.000,354,174,2,1,351,1,354,6.66e-109,320
BAB_RS21555,SMc02094,54.257,787,343,9,1,781,1,776,0.0,814
BAB_RS21560,SMc02095,51.163,344,168,0,33,376,26,369,1.46e-123,359
BAB_RS21565,SMc02096,46.371,248,132,1,1,247,2,249,6.99e-62,194
BAB_RS21570,SMc02097,66.812,229,76,0,4,232,10,238,1.10e-107,309
BAB_RS21575,SMc02098,72.043,186,52,0,1,186,1,186,1.95e-100,285
BAB_RS21580,SMc02099,80.000,240,48,0,1,240,1,240,6.60e-133,372
BAB_RS21585,SMc02100,70.033,307,90,1,1,305,1,307,4.26e-153,428
BAB_RS21590,SMc02101,85.433,254,37,0,1,254,1,254,1.87e-167,460
BAB_RS21600,SMc02102,50.988,253,121,3,25,275,21,272,5.75e-91,268
BAB_RS21605,SMc02103,64.935,154,54,0,1,154,1,154,2.26e-67,199
BAB_RS21610,SMc02104,54.812,239,103,4,9,245,4,239,2.36e-83,246
BAB_RS21615,SMc02105,65.285,386,132,1,11,394,4,389,0.0,527
BAB_RS21620,SMc02106,72.143,140,38,1,1,140,1,139,7.22e-66,194
BAB_RS21625,SMc02109,79.216,842,153,7,1,824,1,838,0.0,1333
BAB_RS21630,SMc02110,81.481,108,20,0,9,116,10,117,2.34e-66,193
BAB_RS21635,SMc00996,46.822,472,194,9,35,467,44,497,8.80e-129,380
BAB_RS21645,SMc00995,62.069,145,54,1,1,145,1,144,3.92e-57,172
BAB_RS21650,SMc01256,74.886,438,109,1,2,439,30,466,0.0,651
BAB_RS21655,SMc00331,43.411,258,146,0,6,263,78,335,6.15e-65,203
BAB_RS21660,SMc01258,48.418,316,157,2,6,315,13,328,5.77e-91,272
BAB_RS21665,SMc01260,75.000,128,32,0,1,128,1,128,7.88e-68,198
BAB_RS21675,SM_b21501,50.000,48,24,0,9,56,11,58,8.82e-11,52.8
BAB_RS21685,SMc02723,74.342,152,39,0,4,155,3,154,3.46e-83,239
BAB_RS21695,SMa1626,50.867,173,82,3,8,180,48,217,2.57e-53,167
BAB_RS21700,SM_b20754,68.017,469,150,0,1,469,20,488,0.0,684
BAB_RS21705,SM_b20755,89.804,510,52,0,1,510,1,510,0.0,963
BAB_RS21710,SM_b20756,76.162,667,159,0,1,667,4,670,0.0,1040
BAB_RS21715,SM_b20757,81.461,712,132,0,1,712,1,712,0.0,1195
BAB_RS21720,SM_b21473,46.789,109,52,2,8,113,30,135,3.77e-20,77.4
BAB_RS21725,SM_b20291,38.739,333,186,4,51,376,4,325,3.67e-55,199
BAB_RS21730,SM_b20292,35.562,329,197,7,7,329,8,327,7.09e-54,177
BAB_RS21735,SMc00483,72.868,258,69,1,19,276,7,263,4.20e-138,388
BAB_RS21740,SMc00482,66.045,268,91,0,1,268,1,268,3.96e-128,362
BAB_RS21745,SMa0275,53.608,194,89,1,1,193,1,194,5.57e-72,214
BAB_RS21755,SMc00480,92.079,404,32,0,1,404,1,404,0.0,784
BAB_RS21765,SMc00475,77.765,886,196,1,1,885,1,886,0.0,1415
BAB_RS21770,SMc00760,88.089,361,43,0,1,361,1,361,0.0,658
BAB_RS21775,SMc00354,71.689,219,61,1,1,218,1,219,9.12e-93,268
BAB_RS21780,SMc01561,62.712,177,64,1,15,191,14,188,3.83e-78,229
BAB_RS21785,SMc01279,85.517,435,63,0,1,435,1,435,0.0,771
BAB_RS21790,SMc01280,56.291,453,191,3,22,474,20,465,3.05e-174,495
BAB_RS21795,SMc01283,87.121,132,17,0,1,132,1,132,9.78e-83,237
BAB_RS21800,SMc01285,90.208,337,32,1,1,337,1,336,0.0,631
BAB_RS21805,SMc01286,96.124,129,5,0,1,129,1,129,2.08e-91,258
BAB_RS21810,SMc01287,85.841,113,16,0,1,113,1,113,1.46e-67,197
BAB_RS21815,SMc01288,79.058,191,40,0,1,191,1,191,5.70e-110,310
BAB_RS21820,SMc01289,82.511,446,78,0,1,446,1,446,0.0,758
BAB_RS21825,SMc01290,76.923,156,36,0,1,156,1,156,2.86e-81,234
BAB_RS21830,SMc01291,78.788,66,12,1,1,64,1,66,2.49e-30,99.0
BAB_RS21835,SMc01292,86.243,189,23,3,1,186,1,189,1.95e-110,310
BAB_RS21840,SMc01293,82.500,120,21,0,1,120,1,120,3.53e-68,198
BAB_RS21845,SMc01294,77.966,177,39,0,1,177,1,177,1.25e-98,280
BAB_RS21850,SMc01295,82.576,132,23,0,1,132,1,132,4.44e-80,229
BAB_RS21855,SMc01296,76.238,101,24,0,1,101,1,101,2.26e-55,164
BAB_RS21860,SMc01297,79.459,185,38,0,1,185,1,185,4.52e-103,292
BAB_RS21865,SMc01298,78.641,103,22,0,1,103,1,103,3.32e-56,167
BAB_RS21870,SMc01299,95.902,122,5,0,1,122,1,122,3.35e-82,234
BAB_RS21875,SMc01300,79.487,78,16,0,1,78,1,78,2.17e-45,137
BAB_RS21880,SMc01301,80.303,66,13,0,1,66,1,66,1.08e-32,104
BAB_RS21885,SMc01302,81.022,137,26,0,1,137,1,137,2.44e-82,235
BAB_RS21890,SMc01303,86.498,237,31,1,1,236,1,237,2.98e-155,428
BAB_RS21895,SMc01304,85.271,129,19,0,1,129,1,129,4.86e-77,221
BAB_RS21900,SMc01305,100.000,92,0,0,1,92,1,92,1.82e-65,189
BAB_RS21905,SMc01306,86.691,278,36,1,1,277,1,278,7.36e-173,476
BAB_RS21910,SMc01307,86.598,97,13,0,1,97,1,97,5.82e-58,171
BAB_RS21915,SMc01308,79.612,206,42,0,1,206,1,206,9.21e-124,346
BAB_RS21920,SMc01309,79.439,214,44,0,1,214,1,214,5.07e-129,361
BAB_RS21925,SMc01310,96.078,102,4,0,1,102,1,102,1.58e-70,203
BAB_RS21930,SMc01311,91.816,391,32,0,1,391,1,391,0.0,708
BAB_RS21935,SMc01312,84.626,696,105,2,1,694,1,696,0.0,1204
BAB_RS21940,SMc01313,87.821,156,19,0,1,156,1,156,4.24e-105,295
BAB_RS21945,SMc01314,95.935,123,5,0,1,123,1,123,9.44e-84,238
BAB_RS21950,SMc01315,41.860,86,49,1,4,88,12,97,3.04e-19,73.2
BAB_RS21955,SMc01316,87.205,1399,178,1,1,1399,1,1398,0.0,2545
BAB_RS21960,SMc01317,86.594,1380,182,1,1,1377,1,1380,0.0,2486
BAB_RS21965,SMc01318,84.127,126,18,1,1,124,1,126,3.21e-51,156
BAB_RS21970,SMc01319,73.256,172,46,0,1,172,1,172,8.96e-93,265
BAB_RS21975,SMc01320,82.096,229,41,0,1,229,1,229,3.24e-137,382
BAB_RS21980,SMc01321,80.986,142,27,0,1,142,1,142,1.80e-85,244
BAB_RS21985,SMc01322,82.955,176,29,1,1,175,1,176,8.84e-105,295
BAB_RS21990,SMc01323,66.154,65,22,0,1,65,1,65,6.25e-22,77.8
BAB_RS21995,SMc01381,84.000,25,4,0,1,25,1,25,1.66e-09,43.5
BAB_RS22000,SMc01311,91.816,391,32,0,1,391,1,391,0.0,708
BAB_RS22005,SMc01379,100.000,24,0,0,1,24,1,24,1.61e-10,45.8
BAB_RS22010,SMc01378,96.429,28,1,0,1,28,1,28,5.28e-15,57.4
BAB_RS22015,SMc01327,61.672,287,105,2,3,284,4,290,2.80e-119,341
BAB_RS22020,SMc01002,43.972,141,79,0,1,141,1,141,3.57e-39,127
BAB_RS22025,SMc01001,38.356,219,128,4,4,217,10,226,1.39e-46,152
BAB_RS22030,SMc01000,26.852,216,136,6,1,212,21,218,1.84e-14,67.0
BAB_RS22035,SMc00998,55.618,178,78,1,24,200,22,199,7.33e-70,209
BAB_RS22040,SMc04241,62.500,168,63,0,1,168,1,168,2.16e-78,228
BAB_RS22045,SMc02112,69.118,68,20,1,1,68,15,81,1.06e-31,102
BAB_RS22050,SMc02113,69.742,271,82,0,1,271,1,271,2.00e-143,401
BAB_RS22055,SMc02114,66.122,245,81,1,9,251,11,255,3.12e-114,326
BAB_RS22060,SMc00288,47.863,117,61,0,31,147,34,150,1.71e-34,116
BAB_RS22065,SMc00289,69.948,193,57,1,1,193,1,192,5.96e-98,279
BAB_RS22070,SMc00290,73.973,146,38,0,28,173,1,146,4.24e-83,239
BAB_RS22075,SMc04202,53.731,67,31,0,1,67,209,275,4.36e-22,83.2
BAB_RS22080,SMc04202,69.231,65,20,0,6,70,142,206,1.40e-26,96.3
BAB_RS22090,SMc00292,63.051,590,215,2,4,591,9,597,0.0,644
BAB_RS22095,SMc01871,29.769,346,187,9,7,345,5,301,3.19e-41,144
BAB_RS22105,SMc00293,70.023,437,130,1,1,437,1,436,0.0,633
BAB_RS22110,SMc00294,85.396,404,59,0,3,406,2,405,0.0,729
BAB_RS22120,SMc00291,54.037,161,61,3,249,409,288,435,1.11e-55,187
BAB_RS22140,SMc00297,63.636,231,84,0,3,233,3,233,1.57e-103,297
BAB_RS22145,SMc00298,83.764,271,44,0,1,271,1,271,3.53e-175,482
BAB_RS22150,SMc00299,69.683,221,66,1,30,249,42,262,9.55e-109,311
BAB_RS22155,SMc00604,28.319,226,134,7,1,212,1,212,3.05e-13,63.5
BAB_RS22160,SMc03188,52.261,398,190,0,4,401,15,412,2.40e-134,389
BAB_RS22165,SMc03193,28.404,426,275,16,4,412,10,422,2.97e-22,95.9
BAB_RS22170,SMc03192,67.327,202,66,0,3,204,5,206,2.05e-90,261
BAB_RS22175,SMc03191,50.633,237,117,0,4,240,6,242,2.19e-79,236
BAB_RS22180,SMc03190,52.000,250,116,3,310,558,3,249,1.16e-71,228
BAB_RS22195,SMc01019,42.759,290,156,3,9,294,9,292,1.10e-74,228
BAB_RS22200,SMc00514,45.098,51,28,0,1,51,125,175,7.48e-11,51.2
BAB_RS22205,SMc00514,51.648,91,44,0,35,125,23,113,1.12e-27,98.2
BAB_RS22210,SMc00513,35.817,349,223,1,12,359,5,353,3.53e-50,169
BAB_RS22215,SMc04279,51.839,299,144,0,15,313,16,314,1.59e-100,296
BAB_RS22220,SMc04281,50.606,330,158,4,5,332,5,331,8.01e-89,267
BAB_RS22225,SMc04282,61.574,432,162,2,1,432,1,428,3.24e-170,482
BAB_RS22230,SMc04284,74.436,266,68,0,19,284,8,273,1.59e-149,417
BAB_RS22240,SMc03189,42.339,248,135,4,6,247,14,259,7.13e-52,167
BAB_RS22245,SMc03187,54.582,251,114,0,1,251,1,251,1.35e-93,273
BAB_RS22250,SMc04285,45.082,122,65,1,5,124,11,132,2.10e-19,75.9
BAB_RS22260,SMc04286,67.227,238,78,0,22,259,80,317,4.85e-112,323
BAB_RS22270,SMc04302,68.657,201,61,2,14,212,14,214,6.26e-96,276
BAB_RS22275,SMc04303,71.440,1271,332,6,1,1249,1,1262,0.0,1797
BAB_RS22280,SMc04304,76.385,343,81,0,4,346,9,351,0.0,523
BAB_RS22285,SMc04305,69.277,166,50,1,9,173,10,175,7.96e-73,214
BAB_RS22300,SMc04309,70.105,475,142,0,1,475,1,475,0.0,674
BAB_RS22305,SM_b20753,67.905,377,121,0,9,385,3,379,0.0,528
BAB_RS22310,SM_b20751,66.552,290,97,0,1,290,1,290,1.51e-122,350
BAB_RS22320,SMc04163,55.593,295,130,1,1,295,1,294,1.43e-120,345
BAB_RS22325,SMc04169,77.570,321,72,0,8,328,8,328,0.0,539
BAB_RS22330,SMc01987,78.723,141,30,0,1,141,1,141,2.38e-75,237
BAB_RS22335,SMc01987,82.684,693,120,0,1,693,161,853,0.0,1231
BAB_RS22340,SMc04174,45.783,83,42,1,17,96,6,88,1.78e-18,70.9
BAB_RS22345,SMc04176,43.392,855,447,7,4,837,4,842,0.0,696
BAB_RS22355,SMc02265,62.024,840,316,3,1,839,1,838,0.0,1006
BAB_RS22360,SMa1600,54.545,605,250,5,1,602,1,583,0.0,577
BAB_RS22365,SMc02853,58.013,312,131,0,2,313,3,314,1.15e-119,345
BAB_RS22370,SMc00505,41.111,90,51,2,5,93,9,97,1.81e-15,65.9
BAB_RS22375,SMc00505,51.667,60,29,0,2,61,115,174,1.24e-15,65.9
