O_anthropi|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS06455,AYT27_RS02580,27.919,197,121,7,134,324,81,262,1.53e-08,50.4
OANT_RS06465,AYT27_RS08080,40.644,652,371,7,18,656,12,660,2.58e-158,467
OANT_RS06470,AYT27_RS08085,38.440,359,195,5,58,398,44,394,4.86e-73,230
OANT_RS06490,AYT27_RS07610,65.385,156,47,1,7,155,27,182,7.67e-70,205
OANT_RS06495,AYT27_RS04150,43.333,150,85,0,5,154,1,150,1.09e-48,150
OANT_RS06510,AYT27_RS07605,75.163,153,38,0,174,326,116,268,3.93e-80,241
OANT_RS06515,AYT27_RS05610,32.405,395,240,10,10,389,2,384,1.55e-47,165
OANT_RS06530,AYT27_RS03305,30.479,292,166,5,5,289,4,265,3.82e-30,114
OANT_RS06545,AYT27_RS07595,40.506,158,86,3,6,159,17,170,1.87e-36,121
OANT_RS06550,AYT27_RS07590,48.241,199,98,1,1,194,2,200,4.87e-70,207
OANT_RS06555,AYT27_RS01985,32.211,475,313,5,9,477,2,473,2.64e-85,266
OANT_RS06565,AYT27_RS07045,88.679,318,35,1,1,317,1,318,7.53e-180,510
OANT_RS06570,AYT27_RS07040,92.000,25,2,0,1,25,1,25,6.23e-09,40.4
OANT_RS06575,AYT27_RS07035,96.000,25,1,0,1,25,1,25,7.67e-13,50.4
OANT_RS06580,AYT27_RS07030,78.571,42,9,0,108,149,73,114,1.68e-10,60.5
OANT_RS06585,AYT27_RS07025,86.486,37,5,0,2,38,2,38,2.91e-15,57.4
OANT_RS06590,AYT27_RS07020,100.000,25,0,0,1,25,1,25,3.69e-12,48.5
OANT_RS06595,AYT27_RS05920,26.816,179,130,1,11,189,10,187,9.65e-14,66.2
OANT_RS06610,AYT27_RS08500,96.000,25,1,0,1,25,1,25,1.13e-10,45.1
OANT_RS06615,AYT27_RS06435,25.301,415,279,11,33,429,29,430,1.28e-24,102
OANT_RS06625,AYT27_RS01335,40.000,80,48,0,25,104,23,102,2.80e-17,70.1
OANT_RS06635,AYT27_RS05920,22.932,266,158,7,1,236,1,249,4.39e-10,55.1
OANT_RS06645,AYT27_RS01985,35.021,474,300,6,18,488,8,476,2.16e-79,251
OANT_RS06650,AYT27_RS02775,28.685,251,168,5,3,252,4,244,1.84e-22,88.6
OANT_RS06655,AYT27_RS06190,25.926,405,272,11,20,398,29,431,4.33e-28,113
OANT_RS06660,AYT27_RS06185,33.945,327,188,5,9,310,32,355,2.51e-52,172
OANT_RS06665,AYT27_RS06180,38.314,261,161,0,21,281,48,308,8.44e-54,173
OANT_RS06670,AYT27_RS01235,43.561,264,147,1,3,264,2,265,3.04e-67,216
OANT_RS06675,AYT27_RS01235,44.177,249,137,2,12,259,280,527,6.06e-68,216
OANT_RS06680,AYT27_RS04230,29.920,498,304,16,1,458,1,493,1.82e-36,136
OANT_RS06760,AYT27_RS00715,93.333,30,2,0,1,30,1,30,2.01e-16,59.7
OANT_RS06765,AYT27_RS01425,25.714,105,77,1,1,105,1,104,1.84e-09,47.0
OANT_RS06795,AYT27_RS00200,67.969,256,82,0,8,263,5,260,7.13e-138,384
OANT_RS06800,AYT27_RS00195,63.567,527,189,2,1,526,1,525,0.0,695
OANT_RS06805,AYT27_RS00190,59.446,397,160,1,1,397,57,452,1.15e-171,484
OANT_RS06815,AYT27_RS00120,78.571,518,111,0,7,524,8,525,0.0,859
OANT_RS06825,AYT27_RS00930,29.310,174,110,3,121,283,68,239,6.69e-13,66.2
OANT_RS06830,AYT27_RS00035,54.682,267,120,1,9,274,20,286,3.45e-107,309
OANT_RS06835,AYT27_RS01985,25.708,424,293,11,17,430,56,467,3.45e-32,124
OANT_RS06860,AYT27_RS06315,72.549,204,56,0,1,204,1,204,1.21e-116,326
OANT_RS06865,AYT27_RS06310,58.271,266,110,1,12,277,3,267,1.25e-106,306
OANT_RS06870,AYT27_RS00240,38.382,581,355,3,9,588,4,582,3.16e-141,419
OANT_RS06890,AYT27_RS06365,26.360,239,168,3,10,242,2,238,4.71e-21,89.7
OANT_RS06905,AYT27_RS06305,62.174,230,87,0,1,230,1,230,2.37e-111,315
OANT_RS06915,AYT27_RS00165,48.447,322,161,1,8,324,7,328,1.30e-111,323
OANT_RS06920,AYT27_RS00350,86.644,599,80,0,1,599,1,599,0.0,1098
OANT_RS06935,AYT27_RS00380,60.779,385,143,2,25,409,18,394,3.33e-174,488
OANT_RS06940,AYT27_RS00375,61.538,169,65,0,1,169,1,169,3.28e-78,226
OANT_RS06945,AYT27_RS00370,58.013,312,122,2,1,306,3,311,8.87e-129,365
OANT_RS06950,AYT27_RS00365,59.919,247,99,0,1,247,1,247,3.64e-115,326
OANT_RS06955,AYT27_RS03835,27.572,243,146,5,30,243,27,268,1.82e-21,89.0
OANT_RS06960,AYT27_RS05920,26.871,294,194,6,2,278,5,294,3.75e-26,100
OANT_RS06970,AYT27_RS00260,59.898,394,153,3,1,394,1,389,1.55e-171,480
OANT_RS06995,AYT27_RS00355,75.357,280,69,0,5,284,3,282,1.65e-162,449
OANT_RS07000,AYT27_RS00360,65.455,275,95,0,5,279,12,286,3.57e-144,402
OANT_RS07015,AYT27_RS00340,82.639,288,50,0,8,295,13,300,3.40e-177,487
OANT_RS07025,AYT27_RS06300,74.000,200,52,0,61,260,10,209,2.04e-107,306
OANT_RS07030,AYT27_RS06295,58.469,614,239,6,1,604,1,608,0.0,716
OANT_RS07035,AYT27_RS06290,60.684,117,44,1,3,119,2,116,5.97e-41,129
OANT_RS07040,AYT27_RS06285,86.364,44,6,0,1,44,1,44,7.22e-16,59.3
OANT_RS07085,AYT27_RS06620,56.832,322,138,1,1,322,1,321,4.60e-139,392
OANT_RS07090,AYT27_RS06615,66.400,375,89,2,15,389,3,340,0.0,514
OANT_RS07095,AYT27_RS06610,55.274,237,106,0,11,247,7,243,1.48e-99,287
OANT_RS07120,AYT27_RS02775,27.984,243,171,4,6,246,1,241,2.04e-22,88.6
OANT_RS07125,AYT27_RS02320,24.542,709,457,16,85,747,271,947,2.74e-48,179
OANT_RS07160,AYT27_RS06590,66.284,436,147,0,1,436,1,436,0.0,600
OANT_RS07165,AYT27_RS02350,35.922,206,125,4,7,205,4,209,8.90e-34,117
OANT_RS07170,AYT27_RS06585,72.549,153,41,1,1,153,1,152,2.55e-71,208
OANT_RS07180,AYT27_RS00655,90.541,74,7,0,1,74,1,74,2.12e-42,128
OANT_RS07185,AYT27_RS02165,26.203,187,131,3,53,233,360,545,1.14e-10,57.4
OANT_RS07195,AYT27_RS06575,50.952,210,103,0,9,218,9,218,3.83e-57,176
OANT_RS07200,AYT27_RS06570,53.392,339,155,1,13,348,6,344,2.82e-128,367
OANT_RS07205,AYT27_RS06565,55.510,245,107,2,35,277,28,272,3.16e-93,272
OANT_RS07215,AYT27_RS04250,23.826,298,181,8,54,317,43,328,2.82e-11,59.3
OANT_RS07220,AYT27_RS04255,37.692,130,77,2,169,294,224,353,2.61e-11,58.9
OANT_RS07225,AYT27_RS04240,36.321,212,134,1,7,217,3,214,2.30e-42,140
OANT_RS07230,AYT27_RS04245,35.200,250,155,3,18,260,4,253,8.13e-49,158
OANT_RS07235,AYT27_RS04260,21.902,347,243,9,2,336,5,335,5.72e-11,58.9
OANT_RS07245,AYT27_RS05920,24.125,257,186,4,6,255,7,261,3.43e-20,84.7
OANT_RS07255,AYT27_RS00540,26.555,418,248,14,611,1013,18,391,4.38e-30,119
OANT_RS07260,AYT27_RS05395,26.160,237,167,5,22,254,24,256,3.13e-17,76.6
OANT_RS07270,AYT27_RS05620,29.947,187,105,6,72,234,67,251,2.92e-10,57.4
OANT_RS07280,AYT27_RS05575,26.374,546,381,9,10,539,18,558,1.85e-58,201
OANT_RS07315,AYT27_RS06570,29.389,262,168,6,14,266,6,259,2.26e-23,97.1
OANT_RS07340,AYT27_RS00495,28.041,592,339,12,42,571,28,594,4.97e-59,204
OANT_RS07350,AYT27_RS06465,29.333,150,102,4,32,179,35,182,1.77e-14,65.5
OANT_RS07360,AYT27_RS01235,25.889,506,311,17,39,505,24,504,5.18e-30,119
OANT_RS07370,AYT27_RS05110,28.148,135,84,3,165,286,215,349,3.43e-09,52.8
OANT_RS07375,AYT27_RS00955,34.008,247,153,6,28,266,18,262,2.38e-42,144
OANT_RS07410,AYT27_RS03360,69.412,510,156,0,1,510,1,510,0.0,703
OANT_RS07445,AYT27_RS00540,27.778,414,242,12,34,438,24,389,3.81e-37,136
OANT_RS07460,AYT27_RS06505,48.189,359,181,2,17,371,15,372,3.09e-126,364
OANT_RS07465,AYT27_RS04150,33.803,142,93,1,4,145,1,141,6.84e-28,97.8
OANT_RS07475,AYT27_RS01410,41.398,372,214,3,9,378,8,377,4.27e-101,300
OANT_RS07490,AYT27_RS00675,24.194,310,213,10,48,354,66,356,1.10e-12,64.3
OANT_RS07500,AYT27_RS00680,23.712,1029,714,22,15,1005,25,1020,2.42e-61,223
OANT_RS07510,AYT27_RS05065,29.223,373,211,11,7,343,251,606,1.15e-28,112
OANT_RS07525,AYT27_RS04890,28.358,201,129,5,85,279,2,193,1.30e-18,78.2
OANT_RS07530,AYT27_RS01985,26.350,463,308,10,29,478,18,460,4.06e-43,155
OANT_RS07540,AYT27_RS05920,26.692,266,170,6,10,261,6,260,2.22e-17,76.6
OANT_RS07545,AYT27_RS02030,28.042,378,268,3,11,387,14,388,5.21e-41,147
OANT_RS07560,AYT27_RS00955,45.417,240,126,2,1,239,1,236,9.22e-73,226
OANT_RS07565,AYT27_RS00465,29.221,154,89,5,584,734,148,284,1.52e-11,63.2
OANT_RS07580,AYT27_RS04150,24.390,123,90,1,1,120,1,123,3.44e-08,45.8
OANT_RS07660,AYT27_RS01590,24.402,209,147,5,9,211,7,210,5.07e-10,56.2
OANT_RS07670,AYT27_RS01600,26.446,121,88,1,1,121,1,120,1.28e-09,48.9
OANT_RS07690,AYT27_RS01625,25.150,334,216,8,168,497,106,409,7.57e-18,81.3
OANT_RS07710,AYT27_RS01655,31.993,1069,662,14,32,1094,27,1036,4.34e-174,535
OANT_RS07720,AYT27_RS01660,34.483,174,109,4,6,177,4,174,8.27e-24,94.7
OANT_RS07725,AYT27_RS01665,37.589,282,164,2,7,288,4,273,1.00e-61,192
OANT_RS07730,AYT27_RS01670,38.462,104,59,2,8,110,4,103,2.11e-16,66.2
OANT_RS07775,AYT27_RS01750,27.409,467,318,9,36,486,22,483,3.57e-45,162
OANT_RS07785,AYT27_RS01760,26.791,642,372,22,16,636,8,572,5.72e-38,145
OANT_RS07980,AYT27_RS05170,60.465,172,47,3,1,151,1,172,7.95e-68,199
OANT_RS08035,AYT27_RS07660,32.984,191,105,7,236,406,187,374,1.19e-16,78.6
OANT_RS08150,AYT27_RS06155,96.000,25,1,0,1,25,1,25,6.62e-11,45.4
OANT_RS08155,AYT27_RS06150,63.522,318,116,0,1,318,1,318,2.26e-157,439
OANT_RS08160,AYT27_RS06145,67.297,370,121,0,1,370,1,370,0.0,529
OANT_RS08175,AYT27_RS06120,55.385,130,56,1,1,130,1,128,2.65e-37,119
OANT_RS08180,AYT27_RS06125,85.837,233,32,1,1,232,1,233,1.73e-149,411
OANT_RS08190,AYT27_RS06130,51.442,208,101,0,1,208,1,208,4.69e-72,214
OANT_RS08195,AYT27_RS06135,60.847,189,67,2,16,198,9,196,4.61e-86,248
OANT_RS08200,AYT27_RS06140,33.333,186,108,6,1,184,2,173,2.84e-21,86.3
OANT_RS08215,AYT27_RS06110,73.165,395,106,0,1,395,3,397,0.0,618
OANT_RS08225,AYT27_RS06105,46.296,270,136,4,8,272,2,267,1.94e-70,214
OANT_RS08240,AYT27_RS06215,24.248,532,360,16,3,511,14,525,9.17e-32,124
OANT_RS08245,AYT27_RS06185,38.485,330,200,2,6,333,29,357,6.95e-77,236
OANT_RS08250,AYT27_RS06180,45.956,272,141,1,27,298,43,308,4.19e-76,231
OANT_RS08255,AYT27_RS01235,45.736,258,139,1,3,259,4,261,2.02e-73,230
OANT_RS08260,AYT27_RS06170,46.025,239,121,4,22,258,17,249,2.64e-66,204
OANT_RS08265,AYT27_RS06570,35.443,237,148,2,37,273,19,250,1.02e-40,142
OANT_RS08310,AYT27_RS04150,28.966,145,102,1,4,148,1,144,1.99e-19,75.9
OANT_RS08315,AYT27_RS00945,23.590,195,140,4,530,721,8,196,2.02e-10,59.3
OANT_RS08320,AYT27_RS06100,64.120,301,108,0,1,301,1,301,1.31e-134,380
OANT_RS08340,AYT27_RS06095,48.454,291,147,2,1,291,5,292,4.02e-103,300
OANT_RS08360,AYT27_RS06440,36.196,163,98,2,6,162,14,176,3.04e-19,76.6
OANT_RS08365,AYT27_RS06085,49.495,693,343,4,5,691,7,698,0.0,667
OANT_RS08370,AYT27_RS06080,40.857,957,532,10,6,956,1,929,0.0,710
OANT_RS08375,AYT27_RS06075,49.495,297,150,0,1,297,1,297,1.62e-99,291
OANT_RS08380,AYT27_RS06070,71.028,321,93,0,15,335,23,343,3.01e-172,478
OANT_RS08395,AYT27_RS06065,57.843,408,172,0,6,413,9,416,1.61e-178,500
OANT_RS08410,AYT27_RS06440,33.333,99,60,3,44,136,54,152,5.35e-08,46.2
OANT_RS08435,AYT27_RS06060,64.189,148,53,0,1,148,1,148,3.53e-68,200
OANT_RS08440,AYT27_RS02695,37.713,411,222,8,205,601,211,601,3.05e-81,264
OANT_RS08445,AYT27_RS02695,36.184,456,261,8,168,610,163,601,9.00e-75,247
OANT_RS08460,AYT27_RS06045,58.333,60,25,0,227,286,1,60,3.37e-20,78.6
OANT_RS08480,AYT27_RS06035,80.109,367,73,0,1,367,1,367,0.0,615
OANT_RS08485,AYT27_RS06020,61.929,197,69,2,1,197,1,191,8.95e-78,229
OANT_RS08490,AYT27_RS06015,74.737,190,48,0,1,190,1,190,7.05e-109,307
OANT_RS08495,AYT27_RS06010,68.588,503,153,1,1,503,1,498,0.0,691
OANT_RS08505,AYT27_RS06005,82.848,309,53,0,1,309,1,309,0.0,526
OANT_RS08515,AYT27_RS04295,24.299,214,140,5,162,358,30,238,2.65e-08,50.1
OANT_RS08520,AYT27_RS06000,50.628,239,114,1,24,262,20,254,1.45e-86,254
OANT_RS08525,AYT27_RS05995,47.324,355,187,0,5,359,3,357,4.98e-123,355
OANT_RS08530,AYT27_RS05990,49.462,279,135,4,8,280,6,284,6.02e-91,268
OANT_RS08535,AYT27_RS05985,53.846,78,36,0,1,78,1,78,2.30e-25,87.0
OANT_RS08540,AYT27_RS05975,55.414,157,70,0,10,166,10,166,1.05e-62,186
OANT_RS08550,AYT27_RS05970,73.378,447,116,3,1,446,1,445,0.0,637
OANT_RS08555,AYT27_RS05965,70.306,229,68,0,7,235,6,234,9.30e-120,337
OANT_RS08570,AYT27_RS05110,29.900,301,178,14,14,291,52,342,9.44e-22,89.7
OANT_RS08580,AYT27_RS05960,58.216,213,88,1,1,213,1,212,2.15e-92,266
OANT_RS08585,AYT27_RS05955,43.860,114,45,3,51,149,120,229,1.31e-29,103
OANT_RS08590,AYT27_RS05910,67.273,55,18,0,4,58,3,57,1.23e-23,80.9
OANT_RS08595,AYT27_RS02585,32.450,151,62,8,47,169,538,676,1.10e-08,50.1
OANT_RS08605,AYT27_RS05950,75.063,798,157,4,114,902,3,767,0.0,1244
OANT_RS08610,AYT27_RS05945,35.227,88,55,1,1,88,1,86,1.61e-12,57.4
OANT_RS08630,AYT27_RS00345,25.597,293,198,6,5,289,14,294,1.50e-12,62.4
OANT_RS08640,AYT27_RS05940,78.981,157,33,0,1,157,1,157,4.20e-92,260
OANT_RS08645,AYT27_RS05935,70.402,348,103,0,9,356,3,350,0.0,508
OANT_RS08650,AYT27_RS04150,29.371,143,100,1,7,149,1,142,4.53e-20,77.8
OANT_RS08655,AYT27_RS05930,59.783,460,185,0,5,464,1,460,0.0,551
OANT_RS08660,AYT27_RS05925,74.051,316,82,0,1,316,1,316,0.0,502
OANT_RS08665,AYT27_RS05920,68.439,301,95,0,1,301,1,301,7.31e-169,466
OANT_RS08670,AYT27_RS00970,23.490,447,299,16,1,418,1,433,3.40e-16,75.9
OANT_RS08675,AYT27_RS00960,28.333,240,162,3,39,269,43,281,1.01e-23,93.2
OANT_RS08680,AYT27_RS00965,30.303,297,196,6,19,310,4,294,4.66e-41,140
OANT_RS08685,AYT27_RS00955,45.802,262,123,2,1,261,1,244,7.42e-74,230
OANT_RS08700,AYT27_RS05915,78.195,399,87,0,1,399,1,399,0.0,660
OANT_RS08720,AYT27_RS05910,74.242,66,17,0,1,66,1,66,3.00e-35,110
OANT_RS08735,AYT27_RS05905,80.862,1160,222,0,1,1160,1,1160,0.0,1969
OANT_RS08750,AYT27_RS04985,24.225,355,218,14,20,351,33,359,1.82e-11,60.8
OANT_RS08755,AYT27_RS05895,68.687,396,123,1,1,395,1,396,0.0,596
OANT_RS08765,AYT27_RS05880,60.901,555,215,1,1,555,1,553,0.0,687
OANT_RS08770,AYT27_RS05870,46.986,647,324,4,1,646,1,629,0.0,591
OANT_RS08775,AYT27_RS05865,77.860,673,141,4,1,671,1,667,0.0,1028
OANT_RS08790,AYT27_RS05860,54.545,143,65,0,2,144,3,145,3.17e-62,184
OANT_RS08800,AYT27_RS05855,39.600,250,123,6,12,249,11,244,4.21e-48,155
OANT_RS08805,AYT27_RS05850,96.000,25,1,0,1,25,1,25,4.85e-12,48.5
OANT_RS08825,AYT27_RS00100,36.310,168,103,2,1,165,1,167,4.42e-34,114
OANT_RS08870,AYT27_RS05815,58.908,348,139,2,1,346,1,346,2.76e-144,408
OANT_RS08885,AYT27_RS05810,59.296,199,81,0,1,199,1,199,6.01e-91,261
OANT_RS08890,AYT27_RS06900,44.776,67,37,0,6,72,43,109,6.44e-15,60.1
OANT_RS08930,AYT27_RS05800,85.064,549,82,0,1,549,1,549,0.0,957
OANT_RS08945,AYT27_RS05610,62.500,432,159,3,13,442,2,432,0.0,551
OANT_RS08955,AYT27_RS05795,40.683,322,168,1,6,327,5,303,3.41e-75,230
OANT_RS08970,AYT27_RS00905,32.642,386,230,13,45,412,42,415,7.70e-54,180
OANT_RS08980,AYT27_RS00200,24.528,159,104,5,15,163,30,182,2.42e-08,48.9
OANT_RS09005,AYT27_RS06350,31.741,293,118,9,44,260,21,307,2.11e-37,130
OANT_RS09010,AYT27_RS05780,61.157,121,47,0,99,219,48,168,3.33e-53,165
OANT_RS09020,AYT27_RS02775,34.524,252,154,6,1,248,1,245,3.79e-34,119
OANT_RS09030,AYT27_RS05770,64.174,321,109,1,17,337,24,338,9.10e-144,406
OANT_RS09035,AYT27_RS05765,40.351,114,65,2,1,114,3,113,2.67e-27,94.7
OANT_RS09040,AYT27_RS05760,68.392,541,168,2,46,585,35,573,0.0,761
OANT_RS09045,AYT27_RS05755,59.958,477,190,1,10,485,6,482,0.0,600
OANT_RS09050,AYT27_RS05750,52.239,469,222,2,5,472,4,471,1.63e-171,487
OANT_RS09055,AYT27_RS05745,75.278,360,85,1,1,360,1,356,0.0,531
OANT_RS09060,AYT27_RS05740,54.310,464,204,2,1,457,1,463,1.13e-173,492
OANT_RS09065,AYT27_RS05735,64.151,371,132,1,1,370,1,371,3.87e-170,476
OANT_RS09070,AYT27_RS05730,57.995,369,153,2,3,371,4,370,3.54e-150,425
OANT_RS09075,AYT27_RS05725,73.276,464,123,1,1,463,1,464,0.0,671
OANT_RS09080,AYT27_RS05720,66.134,313,106,0,4,316,9,321,4.07e-150,421
OANT_RS09085,AYT27_RS05715,68.608,309,93,2,1,308,1,306,2.89e-156,435
OANT_RS09090,AYT27_RS05710,40.942,276,163,0,29,304,20,295,9.17e-78,235
OANT_RS09095,AYT27_RS05705,65.340,427,146,1,14,440,9,433,0.0,574
OANT_RS09100,AYT27_RS05700,60.702,598,185,9,1,565,1,581,0.0,556
OANT_RS09105,AYT27_RS05695,48.763,283,145,0,1,283,5,287,1.74e-101,295
OANT_RS09110,AYT27_RS05690,61.176,255,98,1,25,278,34,288,8.52e-114,326
OANT_RS09115,AYT27_RS05685,66.004,553,187,1,1,552,1,553,0.0,708
OANT_RS09120,AYT27_RS05680,65.000,720,244,7,1,718,1,714,0.0,937
OANT_RS09140,AYT27_RS05670,58.320,607,252,1,3,608,2,608,0.0,750
OANT_RS09145,AYT27_RS05665,56.294,286,122,2,3,285,4,289,5.63e-110,316
OANT_RS09150,AYT27_RS05660,43.243,185,93,2,13,190,12,191,3.46e-53,164
OANT_RS09160,AYT27_RS05655,62.019,208,79,0,1,208,1,208,2.28e-103,293
OANT_RS09170,AYT27_RS05650,65.621,861,210,4,1,861,1,775,0.0,1162
OANT_RS09185,AYT27_RS02210,28.941,425,275,11,64,467,51,469,1.61e-47,166
OANT_RS09195,AYT27_RS05645,46.970,66,35,0,3,68,10,75,7.63e-17,64.3
OANT_RS09200,AYT27_RS05640,57.143,56,24,0,1,56,1,56,3.04e-18,66.6
OANT_RS09205,AYT27_RS05635,52.577,194,79,1,1,194,1,181,3.81e-68,202
OANT_RS09215,AYT27_RS04985,29.306,389,247,10,10,384,25,399,3.00e-33,124
OANT_RS09240,AYT27_RS01760,35.556,585,347,14,19,579,19,597,4.93e-105,326
OANT_RS09270,AYT27_RS01750,23.109,476,308,16,1,423,1,471,1.48e-16,77.0
OANT_RS09305,AYT27_RS03545,24.286,350,222,15,6,333,4,332,2.86e-11,59.7
OANT_RS09315,AYT27_RS05625,46.000,100,52,2,1,100,1,98,2.32e-27,92.4
OANT_RS09320,AYT27_RS05605,79.545,264,54,0,1,264,1,264,1.14e-164,452
OANT_RS09325,AYT27_RS05600,52.727,165,78,0,8,172,5,169,5.22e-65,193
OANT_RS09330,AYT27_RS05595,48.361,366,176,6,1,364,1,355,5.09e-113,331
OANT_RS09335,AYT27_RS05590,44.521,292,153,3,1,290,1,285,5.52e-80,241
OANT_RS09345,AYT27_RS05585,58.750,480,171,4,43,517,45,502,0.0,543
OANT_RS09365,AYT27_RS05580,52.669,281,131,1,11,291,8,286,2.60e-102,297
OANT_RS09370,AYT27_RS02320,33.951,162,101,5,104,261,529,688,1.97e-20,86.3
OANT_RS09380,AYT27_RS05575,73.367,597,159,0,11,607,3,599,0.0,928
OANT_RS09395,AYT27_RS05490,26.829,328,224,7,9,322,11,336,2.11e-32,120
OANT_RS09400,AYT27_RS05570,79.357,373,77,0,1,373,1,373,0.0,629
OANT_RS09410,AYT27_RS05565,63.265,245,89,1,1,245,1,244,3.20e-110,313
OANT_RS09425,AYT27_RS05560,82.596,339,59,0,1,339,1,339,0.0,596
OANT_RS09475,AYT27_RS06430,26.446,242,172,2,51,289,52,290,9.18e-08,48.9
OANT_RS09480,AYT27_RS04245,31.301,246,148,5,287,514,11,253,8.39e-31,117
OANT_RS09500,AYT27_RS02560,37.318,343,200,5,1,329,19,360,5.84e-52,171
OANT_RS09505,AYT27_RS02555,36.017,236,141,3,8,235,6,239,5.74e-41,137
OANT_RS09510,AYT27_RS06150,27.891,147,95,2,11,157,6,141,1.55e-10,57.4
OANT_RS09525,AYT27_RS04240,30.131,229,136,7,5,225,3,215,1.38e-27,102
OANT_RS09530,AYT27_RS02775,27.309,249,169,3,4,252,3,239,2.68e-23,91.3
OANT_RS09535,AYT27_RS02105,21.824,307,188,10,7,290,7,284,1.42e-11,62.8
OANT_RS09545,AYT27_RS06190,22.645,499,319,15,63,528,61,525,2.55e-14,70.9
OANT_RS09550,AYT27_RS01235,45.211,261,137,2,1,255,1,261,2.92e-70,224
OANT_RS09555,AYT27_RS01235,42.857,231,130,2,28,257,298,527,4.61e-59,194
OANT_RS09560,AYT27_RS06185,36.335,322,174,3,13,303,36,357,5.30e-60,191
OANT_RS09565,AYT27_RS06180,36.293,259,164,1,27,285,50,307,2.51e-45,151
OANT_RS09625,AYT27_RS05545,92.000,25,2,0,1,25,1,25,1.51e-10,44.7
OANT_RS09635,AYT27_RS05535,65.370,514,176,1,5,516,2,515,0.0,695
OANT_RS09660,AYT27_RS04950,42.012,169,96,2,5,172,9,176,2.17e-43,139
OANT_RS09665,AYT27_RS05530,53.943,317,140,3,1,315,1,313,5.62e-114,328
OANT_RS09670,AYT27_RS05525,58.188,574,238,2,1,573,1,573,0.0,600
OANT_RS09675,AYT27_RS05520,62.019,832,313,3,1,831,1,830,0.0,1030
OANT_RS09685,AYT27_RS05510,38.430,739,427,9,83,807,60,784,6.62e-165,495
OANT_RS09690,AYT27_RS05505,33.333,84,56,0,13,96,7,90,1.05e-15,62.4
OANT_RS09695,AYT27_RS06520,25.143,350,222,15,499,840,47,364,2.45e-15,74.3
OANT_RS09710,AYT27_RS05920,33.071,127,83,1,12,136,5,131,2.76e-13,64.7
OANT_RS09755,AYT27_RS06615,32.370,346,187,10,5,332,10,326,4.08e-49,164
OANT_RS09790,AYT27_RS06435,24.437,311,231,3,17,324,30,339,6.21e-19,85.1
OANT_RS09840,AYT27_RS04935,53.179,173,77,1,1,173,9,177,5.97e-67,198
OANT_RS09885,AYT27_RS06170,54.918,244,102,3,7,244,8,249,4.77e-95,275
OANT_RS09890,AYT27_RS06175,57.664,274,116,0,2,275,3,276,4.31e-119,339
OANT_RS09895,AYT27_RS06180,60.261,307,120,2,1,307,5,309,3.13e-120,343
OANT_RS09900,AYT27_RS06185,53.067,326,153,0,28,353,32,357,1.35e-129,371
OANT_RS09910,AYT27_RS06190,35.953,509,305,8,25,524,27,523,3.29e-99,306
OANT_RS09925,AYT27_RS04290,53.030,264,109,4,1,249,1,264,6.99e-97,280
OANT_RS09930,AYT27_RS04295,73.234,269,72,0,1,269,1,269,1.85e-157,435
OANT_RS09935,AYT27_RS04300,56.034,232,102,0,1,232,1,232,3.02e-95,274
OANT_RS09945,AYT27_RS05125,88.000,25,3,0,1,25,1,25,2.88e-10,43.9
OANT_RS09950,AYT27_RS05125,88.000,25,3,0,1,25,1,25,2.88e-10,43.9
OANT_RS09965,AYT27_RS05915,27.500,400,267,12,7,391,7,398,3.09e-38,138
OANT_RS09970,AYT27_RS05120,71.101,436,123,1,1,436,1,433,0.0,640
OANT_RS09975,AYT27_RS02865,28.131,519,307,13,17,495,6,498,1.76e-50,178
OANT_RS09980,AYT27_RS05115,79.692,325,66,0,4,328,3,327,0.0,504
OANT_RS09985,AYT27_RS04025,57.432,592,250,2,1,591,1,591,0.0,682
OANT_RS10000,AYT27_RS04265,66.486,185,61,1,1,185,1,184,3.17e-91,261
OANT_RS10005,AYT27_RS04270,42.593,162,85,3,2,157,8,167,5.81e-41,131
OANT_RS10010,AYT27_RS04275,66.135,251,85,0,3,253,3,253,1.73e-125,353
OANT_RS10020,AYT27_RS04285,64.706,68,24,0,1,68,1,68,6.24e-31,99.0
OANT_RS10070,AYT27_RS03100,44.144,222,114,4,19,235,20,236,1.83e-57,179
OANT_RS10080,AYT27_RS03105,57.040,277,112,2,8,284,4,273,1.91e-110,317
OANT_RS10090,AYT27_RS03115,95.833,24,1,0,1,24,1,24,4.78e-10,43.1
OANT_RS10095,AYT27_RS05370,91.304,391,34,0,1,391,1,391,0.0,708
OANT_RS10100,AYT27_RS03125,96.000,25,1,0,1,25,1,25,2.07e-11,46.6
OANT_RS10105,AYT27_RS03130,67.241,58,19,0,1,58,1,58,5.50e-25,84.0
OANT_RS10110,AYT27_RS03135,74.432,176,44,1,1,175,1,176,6.92e-94,266
OANT_RS10115,AYT27_RS03140,85.211,142,21,0,1,142,1,142,7.08e-90,253
OANT_RS10120,AYT27_RS03145,79.565,230,47,0,1,230,1,230,8.40e-134,372
OANT_RS10125,AYT27_RS03150,74.419,172,44,0,1,172,1,172,2.58e-96,272
OANT_RS10130,AYT27_RS03155,86.290,124,16,1,1,124,1,123,4.05e-55,164
OANT_RS10135,AYT27_RS03160,86.647,1378,183,1,1,1377,5,1382,0.0,2489
