Abortus2308,S_meliloti,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BAB_RS21005,SMc01849,0,521,58.797,0,521,58.797
BAB_RS21015,SMc01237,0,2084,80.521,0,2119,81.087
BAB_RS21020,SMc00828,8.67e-32,109,47.328,4.52e-32,109,47.328
BAB_RS21025,SMc00945,1.25e-74,218,75.556,6.29e-75,218,75.556
BAB_RS21030,SMa1149,1.24e-29,110,34.091,8.29e-30,110,34.091
BAB_RS21035,SMc00944,7.38e-115,327,65.966,3.72e-115,327,65.966
BAB_RS21040,SMc00943,2.33e-91,263,63.959,1.17e-91,263,63.959
BAB_RS21050,SMc00936,0,518,64.407,0,520,64.407
BAB_RS21055,SM_b20880,7.68e-121,362,45.794,3.66e-121,362,45.794
BAB_RS21060,SMc01174,0,545,76.246,0,545,76.246
BAB_RS21065,SMc01173,8.27e-126,354,71.193,4.19e-126,354,71.193
BAB_RS21070,SMc01172,3.88e-140,394,64.643,1.97e-140,394,64.643
BAB_RS21075,SMc01171,6.08e-50,157,45.562,3.3e-50,157,45.562
BAB_RS21115,SMc00134,7.28e-99,288,58.889,5.6e-107,308,58.889
BAB_RS21120,SMc04030,2.79e-144,407,63.81,4.15e-134,381,63.81
BAB_RS21130,SMc01051,2.52e-116,333,61.111,1.28e-116,333,61.111
BAB_RS21135,SMc01013,7.53e-77,227,57.071,3.73e-77,227,57.071
BAB_RS21140,SMc01012,3.33e-54,169,48.901,7.07e-60,182,48.901
BAB_RS21145,SMc01011,3.16e-100,296,56.42,5.51e-101,297,48.795
BAB_RS21150,SMc01010,0,1137,81.003,0,1123,81.003
BAB_RS21160,SMc01007,1.75e-50,154,73.196,8.85e-51,154,73.196
BAB_RS21165,SMc01006,2.7e-66,196,67.123,4.89e-70,204,67.123
BAB_RS21170,SMc01005,3.43e-92,266,73.118,1.77e-102,291,73.118
BAB_RS21175,SMc01004,1.53e-67,199,69.403,8.27e-68,199,69.403
BAB_RS21180,SMc01003,5.8e-121,348,64.388,1.02e-128,367,64.388
BAB_RS21195,SMc02297,1.17e-14,72.8,26.042,1.02e-14,72.4,26.042
BAB_RS21210,SMc02287,1.84e-40,134,44.022,8.31e-41,134,44.022
BAB_RS21225,SMc01380,2.34e-13,53.5,100,1.17e-13,53.5,100
BAB_RS21235,SM_b21181,0,677,81.888,0,677,81.888
BAB_RS21245,SMc03968,4.18e-129,369,57.632,2.11e-129,369,57.632
BAB_RS21260,SMc01522,1.62e-11,57.8,32.759,8.05e-12,57.8,32.759
BAB_RS21265,SMc01206,0,632,79.2,0,632,79.2
BAB_RS21270,SMc01207,0,544,76.389,0,544,76.389
BAB_RS21275,SMc01208,5.08e-97,275,76.22,2.57e-97,275,76.22
BAB_RS21280,SMc01700,5.63e-75,221,64.286,3.03e-75,221,64.286
BAB_RS21285,SMc01209,1.56e-76,223,68.098,7.77e-77,223,68.098
BAB_RS21295,SMc01231,0,1510,81.798,0,1504,82.063
BAB_RS21300,SMc01232,8.32e-89,258,64.179,4.18e-89,258,64.179
BAB_RS21305,SM_b21170,7.68e-41,134,42.697,3.92e-41,134,42.697
BAB_RS21310,SM_b20758,3.01e-68,208,48.117,1.46e-68,208,48.117
BAB_RS21320,SMc01233,1.97e-66,198,60.92,4.29e-63,189,58.621
BAB_RS21325,SMc01235,0,1665,84.394,0,1671,84.394
BAB_RS21330,SMc01906,5.57e-42,130,73.333,2.77e-42,130,73.333
BAB_RS21335,SMc01905,0,1369,84.111,0,1350,84.111
BAB_RS21340,SMc01904,0,781,88.471,0,781,88.471
BAB_RS21345,SMc01903,1.93e-124,348,78.713,9.65e-125,348,78.713
BAB_RS21350,SMc01049,0,536,65.548,0,526,65.101
BAB_RS21355,SMc01048,1.52e-52,155,93.59,7.85e-53,155,93.59
BAB_RS21365,SMc01046,0,630,64.629,0,630,64.629
BAB_RS21370,SMc01045,0,754,80.176,0,754,80.176
BAB_RS21375,SMc01044,0,807,55.978,0,808,55.978
BAB_RS21380,SMc01043,0,783,78.306,0,783,78.306
BAB_RS21385,SMc01042,0,540,70.879,0,540,70.879
BAB_RS21390,SMc01041,4.78e-135,385,61.491,2.44e-135,385,61.491
BAB_RS21395,SMc01040,5.98e-160,456,62.051,2.92e-160,456,62.051
BAB_RS21400,SMc01039,1.12e-56,172,61.783,5.65e-57,172,61.783
BAB_RS21405,SMc01698,9.76e-42,140,40.93,5e-42,140,40.93
BAB_RS21410,SMc01038,1.34e-77,224,73.154,6.61e-78,224,73.154
BAB_RS21415,SMc01037,0,548,80.312,0,548,80.312
BAB_RS21425,SMc01035,0,843,85.421,0,843,85.421
BAB_RS21430,SMc01032,0,597,70.705,0,613,71.145
BAB_RS21435,SMc01031,0,769,83.66,0,769,83.66
BAB_RS21440,SMc01030,0,569,82.521,0,570,82.521
BAB_RS21445,SMc01029,9.02e-26,90.1,48.864,3.88e-26,90.1,48.864
BAB_RS21455,SMc01028,0,714,83.215,0,714,83.215
BAB_RS21460,SMc01027,1.71e-142,399,78.929,8.37e-145,404,78.929
BAB_RS21465,SMc01025,0,973,86.9,0,972,86.9
BAB_RS21475,SMc01024,7.46e-26,93.6,64.486,9.46e-33,110,62.931
BAB_RS21480,SMc01023,1.06e-116,332,64.961,5.38e-117,332,64.961
BAB_RS21485,SMc00234,0,537,47.695,0,540,47.695
BAB_RS21490,SMc00235,1.21e-160,450,65.373,1.15e-154,434,65.373
BAB_RS21495,SMc00236,7.79e-145,404,78.707,3.6e-152,422,78.707
BAB_RS21500,SMc00237,2.86e-82,238,76.433,1.43e-82,238,76.433
BAB_RS21505,SMc00238,2.18e-133,386,53.202,1.31e-132,383,53.202
BAB_RS21510,SMc01183,1.61e-126,355,76.667,3.41e-131,367,77.917
BAB_RS21515,SMc02086,4.4e-120,380,33.663,6.41e-103,333,33.416
BAB_RS21520,SMc03172,9.83e-96,295,37.975,5.07e-96,295,37.975
BAB_RS21525,SMc02087,0,801,86.713,0,801,86.713
BAB_RS21530,SMc02089,2.86e-126,367,50.39,6.82e-134,385,50.39
BAB_RS21535,SMc02090,7.03e-72,221,51.471,3.43e-81,244,51.429
BAB_RS21540,SMc02091,2.71e-79,238,44.358,1.32e-79,238,44.358
BAB_RS21545,SMc02092,1.5e-67,199,68.276,7.4e-68,199,68.276
BAB_RS21550,SMc02093,6.66e-109,320,50,1.3e-118,343,50
BAB_RS21555,SMc02094,0,814,54.257,0,830,54.257
BAB_RS21560,SMc02095,1.46e-123,359,51.163,4.49e-117,342,51.163
BAB_RS21565,SMc02096,6.99e-62,194,46.371,1.42e-58,184,46.694
BAB_RS21570,SMc02097,1.1e-107,309,66.812,5.39e-108,309,66.812
BAB_RS21575,SMc02098,1.95e-100,285,72.043,9.82e-101,285,72.043
BAB_RS21580,SMc02099,6.6e-133,372,80,3.39e-133,372,80
BAB_RS21585,SMc02100,4.26e-153,428,70.033,4.74e-153,427,70.033
BAB_RS21590,SMc02101,1.87e-167,460,85.433,9.36e-168,460,85.433
BAB_RS21600,SMc02102,5.75e-91,268,50.988,4.6e-89,263,51.02
BAB_RS21605,SMc02103,2.26e-67,199,64.935,1.13e-67,199,64.935
BAB_RS21610,SMc02104,2.36e-83,246,54.812,1.16e-83,246,54.812
BAB_RS21615,SMc02105,0,527,65.285,0,527,65.285
BAB_RS21620,SMc02106,7.22e-66,194,72.143,2.39e-71,207,72.143
BAB_RS21625,SMc02109,0,1333,79.216,0,1366,79.502
BAB_RS21630,SMc02110,2.34e-66,193,81.481,1.19e-66,193,81.481
BAB_RS21635,SMc00996,8.8e-129,380,46.822,1.23e-128,379,46.667
BAB_RS21645,SMc00995,3.92e-57,172,62.069,1.78e-58,175,62.069
BAB_RS21650,SMc01256,0,651,74.886,0,631,74.886
BAB_RS21655,SMc00331,6.15e-65,203,43.411,3.92e-65,203,43.411
BAB_RS21660,SMc01258,5.77e-91,272,48.418,3.12e-92,275,48.418
BAB_RS21665,SMc01260,7.88e-68,198,75,3.96e-68,198,75
BAB_RS21675,SM_b21501,8.82e-11,52.8,50,1.21e-12,56.6,52.83
BAB_RS21685,SMc02723,3.46e-83,239,74.342,1.73e-83,239,74.342
BAB_RS21695,SMa1626,2.57e-53,167,50.867,6.73e-54,167,50.282
BAB_RS21700,SM_b20754,0,684,68.017,0,684,68.017
BAB_RS21705,SM_b20755,0,963,89.804,0,963,89.804
BAB_RS21710,SM_b20756,0,1040,76.162,0,1039,76.162
BAB_RS21715,SM_b20757,0,1195,81.461,0,1216,81.461
BAB_RS21720,SM_b21473,3.77e-20,77.4,46.789,2.27e-20,77.4,46.789
BAB_RS21725,SM_b20291,3.67e-55,199,38.739,6.63e-61,215,38.739
BAB_RS21730,SM_b20292,7.09e-54,177,35.562,6.8e-53,174,36.634
BAB_RS21735,SMc00483,4.2e-138,388,72.868,2.11e-138,388,72.868
BAB_RS21740,SMc00482,3.96e-128,362,66.045,1.99e-128,362,66.045
BAB_RS21745,SMa0275,5.57e-72,214,53.608,2.82e-72,214,53.608
BAB_RS21755,SMc00480,0,784,92.079,0,784,92.079
BAB_RS21765,SMc00475,0,1415,77.765,0,1386,78.186
BAB_RS21770,SMc00760,0,658,88.089,0,658,88.089
BAB_RS21775,SMc00354,9.12e-93,268,71.689,1.3e-92,267,71.689
BAB_RS21780,SMc01561,3.83e-78,229,62.712,5.27e-83,241,61.905
BAB_RS21785,SMc01279,0,771,85.517,0,763,86.417
BAB_RS21790,SMc01280,3.05e-174,495,56.291,6.93e-175,496,56.071
BAB_RS21795,SMc01283,9.78e-83,237,87.121,5.16e-83,237,87.786
BAB_RS21800,SMc01285,0,631,90.208,0,631,90.208
BAB_RS21805,SMc01286,2.08e-91,258,96.124,1.04e-91,258,96.124
BAB_RS21810,SMc01287,1.46e-67,197,85.841,8.46e-68,197,85.841
BAB_RS21815,SMc01288,5.7e-110,310,79.058,2.83e-110,310,79.058
BAB_RS21820,SMc01289,0,758,82.511,0,758,82.511
BAB_RS21825,SMc01290,2.86e-81,234,76.923,1.44e-81,234,76.923
BAB_RS21830,SMc01291,2.49e-30,99,78.788,1.29e-30,99,78.788
BAB_RS21835,SMc01292,1.95e-110,310,86.243,1.58e-103,292,88.69
BAB_RS21840,SMc01293,3.53e-68,198,82.5,1.23e-58,173,82.5
BAB_RS21845,SMc01294,1.25e-98,280,77.966,6.27e-99,280,77.966
BAB_RS21850,SMc01295,4.44e-80,229,82.576,2.23e-80,229,82.576
BAB_RS21855,SMc01296,2.26e-55,164,76.238,1.14e-55,164,76.238
BAB_RS21860,SMc01297,4.52e-103,292,79.459,3.89e-109,306,79.459
BAB_RS21865,SMc01298,3.32e-56,167,78.641,1.67e-56,167,78.641
BAB_RS21870,SMc01299,3.35e-82,234,95.902,1.68e-82,234,95.902
BAB_RS21875,SMc01300,2.17e-45,137,79.487,1.07e-45,137,79.487
BAB_RS21880,SMc01301,1.08e-32,104,80.303,5.42e-33,104,80.303
BAB_RS21885,SMc01302,2.44e-82,235,81.022,1.23e-82,235,81.022
BAB_RS21890,SMc01303,2.98e-155,428,86.498,1.51e-155,428,86.498
BAB_RS21895,SMc01304,4.86e-77,221,85.271,2.44e-77,221,85.271
BAB_RS21900,SMc01305,1.82e-65,189,100,9.15e-66,189,100
BAB_RS21905,SMc01306,7.36e-173,476,86.691,5.27e-173,475,86.691
BAB_RS21910,SMc01307,5.82e-58,171,86.598,2.93e-58,171,86.598
BAB_RS21915,SMc01308,9.21e-124,346,79.612,4.63e-124,346,79.612
BAB_RS21920,SMc01309,5.07e-129,361,79.439,1.17e-133,372,78.475
BAB_RS21925,SMc01310,1.58e-70,203,96.078,7.94e-71,203,96.078
BAB_RS21935,SMc01312,0,1204,84.626,0,1204,84.626
BAB_RS21940,SMc01313,4.24e-105,295,87.821,2.13e-105,295,87.821
BAB_RS21945,SMc01314,9.44e-84,238,95.935,4.74e-84,238,95.935
BAB_RS21950,SMc01315,3.04e-19,73.2,41.86,2.36e-15,62.4,41.86
BAB_RS21955,SMc01316,0,2545,87.205,0,2545,87.205
BAB_RS21960,SMc01317,0,2486,86.594,0,2486,86.594
BAB_RS21965,SMc01318,3.21e-51,156,84.127,6.51e-51,154,80.159
BAB_RS21970,SMc01319,8.96e-93,265,73.256,4.5e-93,265,73.256
BAB_RS21975,SMc01320,3.24e-137,382,82.096,6.93e-131,365,82.096
BAB_RS21980,SMc01321,1.8e-85,244,80.986,9.07e-86,244,80.986
BAB_RS21985,SMc01322,8.84e-105,295,82.955,4.47e-105,295,82.955
BAB_RS21990,SMc01323,6.25e-22,77.8,66.154,6e-22,77,66.154
BAB_RS21995,SMc01381,1.66e-09,43.5,84,8.37e-10,43.5,84
BAB_RS22000,SMc01311,0,708,91.816,0,708,91.816
BAB_RS22005,SMc01379,1.61e-10,45.8,100,8.08e-11,45.8,100
BAB_RS22010,SMc01378,5.28e-15,57.4,96.429,2.65e-15,57.4,96.429
BAB_RS22015,SMc01327,2.8e-119,341,61.672,3.12e-126,358,61.672
BAB_RS22020,SMc01002,3.57e-39,127,43.972,1.78e-39,127,43.972
BAB_RS22025,SMc01001,1.39e-46,152,38.356,5.62e-51,163,38.559
BAB_RS22030,SMc01000,1.84e-14,67,26.852,9.54e-15,67,26.852
BAB_RS22040,SMc04241,2.16e-78,228,62.5,1.09e-78,228,62.5
BAB_RS22045,SMc02112,1.06e-31,102,69.118,6.33e-32,102,69.118
BAB_RS22050,SMc02113,2e-143,401,69.742,1.01e-143,401,69.742
BAB_RS22055,SMc02114,3.12e-114,326,66.122,1.59e-114,326,66.122
BAB_RS22060,SMc00288,1.71e-34,116,47.863,6.71e-35,116,47.863
BAB_RS22065,SMc00289,5.96e-98,279,69.948,2.98e-98,279,69.948
BAB_RS22070,SMc00290,4.24e-83,239,73.973,1.8e-83,239,73.973
BAB_RS22080,SMc04202,1.4e-26,96.3,69.231,1.05e-25,94.4,69.231
BAB_RS22090,SMc00292,0,644,63.051,0,700,63.051
BAB_RS22105,SMc00293,0,633,70.023,0,633,70.023
BAB_RS22110,SMc00294,0,729,85.396,0,729,85.396
BAB_RS22120,SMc00291,1.11e-55,187,54.037,3.56e-56,188,54.037
BAB_RS22140,SMc00297,1.57e-103,297,63.636,7.9e-104,297,63.636
BAB_RS22145,SMc00298,3.53e-175,482,83.764,1.8e-175,482,83.764
BAB_RS22150,SMc00299,9.55e-109,311,69.683,5.05e-109,311,69.683
BAB_RS22160,SMc03188,2.4e-134,389,52.261,1.24e-134,389,52.261
BAB_RS22165,SMc03193,2.97e-22,95.9,28.404,4.41e-25,103,28.638
BAB_RS22170,SMc03192,2.05e-90,261,67.327,1.04e-90,261,67.327
BAB_RS22175,SMc03191,2.19e-79,236,50.633,1.13e-79,236,50.633
BAB_RS22180,SMc03190,1.16e-71,228,52,1.26e-70,223,52
BAB_RS22195,SMc01019,1.1e-74,228,42.759,5.47e-75,228,42.759
BAB_RS22205,SMc00514,1.12e-27,98.2,51.648,7.75e-28,98.2,51.648
BAB_RS22210,SMc00513,3.53e-50,169,35.817,1.92e-60,195,35.817
BAB_RS22215,SMc04279,1.59e-100,296,51.839,1.67e-94,280,51.466
BAB_RS22220,SMc04281,8.01e-89,267,50.606,1.46e-92,276,50.606
BAB_RS22225,SMc04282,3.24e-170,482,61.574,5.2e-173,488,61.574
BAB_RS22230,SMc04284,1.59e-149,417,74.436,7.61e-150,417,74.436
BAB_RS22240,SMc03189,7.13e-52,167,42.339,3.84e-52,167,42.339
BAB_RS22245,SMc03187,1.35e-93,273,54.582,4.99e-96,278,54.582
BAB_RS22250,SMc04285,2.1e-19,75.9,45.082,7.47e-23,84.3,45.082
BAB_RS22260,SMc04286,4.85e-112,323,67.227,5.14e-117,335,67.2
BAB_RS22270,SMc04302,6.26e-96,276,68.657,3.18e-96,276,68.657
BAB_RS22275,SMc04303,0,1797,71.44,0,1810,71.44
BAB_RS22280,SMc04304,0,523,76.385,0,526,76.385
BAB_RS22285,SMc04305,7.96e-73,214,69.277,7.85e-77,224,69.277
BAB_RS22300,SMc04309,0,674,70.105,0,674,70.105
BAB_RS22305,SM_b20753,0,528,67.905,0,528,67.905
BAB_RS22310,SM_b20751,1.51e-122,350,66.552,1.61e-129,367,65.646
BAB_RS22320,SMc04163,1.43e-120,345,55.593,1.79e-114,329,55.593
BAB_RS22325,SMc04169,0,539,77.57,0,539,77.57
BAB_RS22335,SMc01987,0,1231,82.684,0,1231,82.684
BAB_RS22340,SMc04174,1.78e-18,70.9,45.783,8.23e-19,70.9,45.783
BAB_RS22345,SMc04176,0,696,43.392,0,694,43.948
BAB_RS22355,SMc02265,0,1006,62.024,0,1009,61.905
BAB_RS22360,SMa1600,0,577,54.545,0,566,54.545
BAB_RS22365,SMc02853,1.15e-119,345,58.013,3.61e-126,360,58.013
BAB_RS22410,SMc04364,1.09e-08,41.2,88,5.47e-09,41.2,88
BAB_RS22420,SM_b21302,4.06e-38,124,46.259,2.2e-38,124,46.259
BAB_RS22425,SMc00165,7.25e-142,397,72.285,9.83e-148,411,72.285
BAB_RS22430,SMa0072,1.25e-68,209,43.902,5.91e-69,209,43.902
BAB_RS22445,SMa0218,1.66e-20,87.4,30.515,1.18e-19,84.3,29.851
BAB_RS22450,SMc01163,2.01e-166,468,60.109,1.02e-166,468,60.109
BAB_RS22470,SMc02726,1.59e-11,64.7,24.727,9.74e-12,64.7,24.727
BAB_RS22480,SM_b21206,5.43e-104,332,37.895,5.26e-110,347,37.895
BAB_RS22485,SM_b21207,4.73e-22,92.8,29.586,2.57e-24,98.2,30
BAB_RS22555,SMc00962,1.59e-37,129,38.725,2.6e-33,117,38.725
BAB_RS22575,SMa1151,8.33e-32,108,36.735,4.39e-32,108,36.735
BAB_RS22580,SMc04271,6.67e-100,293,53.135,1.24e-103,302,53.135
BAB_RS22585,SMc04272,7.1e-37,127,32.889,3.65e-37,127,32.889
BAB_RS22590,SMc04274,6.32e-173,483,63.836,3.17e-173,483,63.836
BAB_RS22600,SMc04323,0,629,75.061,0,642,75.061
BAB_RS22610,SMc04346,0,617,86.136,0,596,86.136
BAB_RS22615,SMc04348,2.04e-64,196,50.704,1.03e-64,196,50.704
BAB_RS22620,SMc00873,0,649,53.537,0,649,53.537
BAB_RS22625,SMc01407,1e-125,354,73.554,5.11e-116,329,72.47
BAB_RS22635,SMc01414,0,641,81.333,0,654,81.333
BAB_RS22640,SMc01430,3.33e-110,310,78.947,1.68e-110,310,78.947
BAB_RS22645,SMc01431,0,1035,82.064,0,1035,82.064
BAB_RS22650,SMc01435,9.74e-116,333,55.789,2.08e-108,314,55.789
BAB_RS22655,SMc01494,3.81e-144,405,69.048,1.19e-144,405,69.048
BAB_RS22660,SMc00763,0,531,67.519,0,531,67.519
BAB_RS22665,SMc01438,0,536,58.235,0,555,57.803
BAB_RS22675,SMc01440,2.33e-138,391,69.128,5.72e-147,412,69.128
BAB_RS22680,SMc01441,7.71e-150,425,64.89,1.86e-154,436,63.529
BAB_RS22685,SMc01442,5.8e-70,207,56.805,3.05e-70,207,56.805
BAB_RS22690,SMc01444,3.27e-173,476,84.091,1.64e-173,476,84.091
BAB_RS22695,SMc01449,5.8e-38,120,64.078,3.51e-43,133,64.078
BAB_RS22700,SMc03825,1.73e-37,138,31.89,5.62e-33,124,31.89
BAB_RS22710,SMc01450,7.25e-72,213,59.686,3.3e-72,213,59.686
BAB_RS22720,SMc01451,5.97e-15,60.1,53.704,3.22e-15,60.1,53.704
BAB_RS22725,SMc01452,3.7e-19,72.8,47.222,1.38e-19,72.8,47.222
BAB_RS22730,SMc01454,0,566,33.002,7.26e-175,547,32.663
BAB_RS22740,SMc01455,0,624,64.24,0,619,64.24
BAB_RS22745,SMc03110,1.82e-40,132,47.436,6.63e-35,117,47.436
BAB_RS22755,SMc01461,0,1329,76.246,0,1328,76.037
BAB_RS22760,SMc01465,5.12e-73,214,60.976,2.57e-73,214,60.976
BAB_RS22765,SM_b20765,2.95e-61,188,50.259,6.26e-58,179,49.239
BAB_RS22770,SMc01471,1.17e-73,218,54.787,6.03e-72,213,59.172
BAB_RS22775,SMc01472,4.88e-107,310,54.138,2.5e-107,310,54.138
BAB_RS22780,SMc01885,0,707,59.174,0,709,59.174
BAB_RS22790,SMc01878,0,1020,71.488,0,1038,71.488
BAB_RS22795,SMc01877,0,729,70.664,0,712,70.916
BAB_RS22800,SMc01876,4.8e-126,358,66.409,2.9e-127,360,65.185
BAB_RS22805,SMc01875,4.44e-128,365,59.386,2.51e-128,365,59.386
BAB_RS22810,SMc01874,0,629,66.227,0,607,67.11
BAB_RS22815,SMc01873,0,593,66.901,0,566,66.901
BAB_RS22820,SMc01872,1.48e-97,288,48.845,7.38e-98,288,48.845
BAB_RS22825,SMc01871,4.04e-179,494,75.974,3.15e-164,456,75.974
BAB_RS22830,SMc01868,2.62e-146,412,64.353,5.47e-149,418,64.353
BAB_RS22835,SMc01867,0,728,79.915,0,729,79.915
BAB_RS22840,SMc01866,6.38e-167,469,65.946,2.46e-167,469,65.946
BAB_RS22845,SMc01865,0,514,68.478,0,529,68.478
BAB_RS22850,SMc01864,0,579,70,0,634,70
BAB_RS22855,SMc01863,0,569,77.596,0,574,77.596
BAB_RS22860,SMc01862,6.2e-180,510,57.265,0,521,57.265
BAB_RS22865,SMc01861,0,676,71.694,0,669,71.698
BAB_RS22870,SMc01860,0,679,60.734,0,679,60.734
BAB_RS22875,SMc01859,1.02e-26,94.7,43.284,2.7e-28,97.8,43.284
BAB_RS22880,SMc01858,3.91e-152,429,66.967,1.94e-152,429,66.967
BAB_RS22885,SMa1115,2.05e-08,53.5,23.284,2.05e-09,55.8,24.818
BAB_RS22890,SMc01855,2.6e-54,169,55.844,1.09e-54,169,55.844
BAB_RS22895,SMc01854,1.92e-102,296,59.839,9.45e-103,296,59.839
BAB_RS22900,SMc01853,5.75e-95,275,56.78,2.88e-95,275,56.78
BAB_RS22910,SMc01846,5.76e-94,275,49.455,2.73e-94,275,49.455
BAB_RS22915,SMc01845,2.55e-137,396,52.139,7.25e-138,397,52.139
BAB_RS22920,SMc00317,1.06e-34,126,31.699,1.45e-30,114,31.699
BAB_RS22925,SMc01843,7.25e-118,339,59.155,3.76e-118,339,59.155
BAB_RS22930,SMc01842,8.42e-112,326,59.748,1.11e-130,373,59.748
BAB_RS22950,SMc04454,0,1002,88.16,0,1003,88.16
BAB_RS22960,SMc02818,6.21e-94,279,47.423,1.82e-92,274,47.423
BAB_RS22975,SMc00982,0,609,66.506,0,609,66.506
BAB_RS22980,SMc00981,7.01e-155,438,59.569,1.01e-165,464,59.892
BAB_RS22985,SMc00099,9.9e-33,105,77.941,4.78e-33,105,77.941
BAB_RS22990,SMc02275,2.47e-102,292,70.352,1.25e-102,292,70.352
BAB_RS22995,SM_b21468,8.52e-147,416,67.164,6.31e-159,446,66.864
BAB_RS23010,SM_b20336,8.59e-32,115,32.364,4.25e-32,115,32.364
BAB_RS23045,SMc01556,1.68e-71,217,57.009,1.44e-77,232,51.765
BAB_RS23055,SMc00064,1.34e-68,202,63.399,1.86e-65,193,68.217
BAB_RS23060,SMc00935,1.32e-20,76.6,44.792,7.33e-21,76.6,44.792
BAB_RS23065,SMc01563,0,1098,83.212,0,1082,82.482
BAB_RS23070,SMc01567,0,717,56.587,0,741,56.696
BAB_RS23075,SM_b21536,1.14e-136,405,41.712,6.74e-141,416,41.712
BAB_RS23080,SMc01568,7.57e-70,205,63.758,1.18e-59,178,63.758
BAB_RS23085,SMc01569,0,632,77.694,0,632,77.694
BAB_RS23090,SMc01213,9.46e-133,377,62.42,1.63e-137,388,64.013
BAB_RS23105,SMc01215,0,2001,84.179,0,2003,84.179
BAB_RS23110,SM_b20937,0,629,52.613,0,629,52.613
BAB_RS23120,SMc01428,3.17e-37,116,77.941,1.6e-37,116,77.941
BAB_RS23125,SM_b20005,9.77e-23,88.6,31.401,4.91e-23,88.6,31.401
BAB_RS23130,SMc01578,0,709,83.75,0,709,83.75
BAB_RS23145,SMc01225,8.36e-164,455,69.36,4.22e-164,455,69.36
BAB_RS23150,SMc01224,0,509,73.457,0,509,73.457
BAB_RS23155,SMa1691,6.24e-135,395,43.562,3.79e-135,395,43.202
BAB_RS23160,SMc01223,3.6e-82,236,75.333,1.81e-82,236,75.333
BAB_RS23165,SMc01219,2.4e-135,387,55.301,1.2e-135,387,55.301
BAB_RS23170,SMc01218,1.69e-89,255,79.487,8.55e-90,255,79.487
BAB_RS23180,SMc01584,9.14e-96,282,54.795,2.79e-102,298,54.795
BAB_RS23185,SMc04230,4.26e-53,160,69.231,6.03e-51,154,75.758
BAB_RS23190,SMc04225,1.09e-85,260,56.828,1.05e-85,259,56.828
BAB_RS23195,SMc04228,2.3e-65,192,70.543,1.15e-65,192,70.543
BAB_RS23200,SMc01590,5.27e-11,57,39.706,1.24e-11,58.2,37.647
BAB_RS23205,SMc04231,0,1463,75.773,0,1463,75.773
BAB_RS23210,SMc01230,2.37e-30,113,46.061,2.56e-29,110,41.667
BAB_RS23215,SMc01585,5.13e-40,123,81.69,2.58e-40,123,81.69
BAB_RS23220,SMc01586,3.08e-19,77,49.573,7.43e-24,87.8,49.533
BAB_RS23225,SMc01587,8.38e-100,286,64.115,4.11e-100,286,64.115
BAB_RS23240,SMc01592,6.05e-61,184,63.971,2.69e-61,184,63.971
BAB_RS23245,SMc01593,5.03e-124,349,70.87,2.52e-124,349,70.87
BAB_RS23250,SMc01595,0,578,66.357,0,564,65.688
BAB_RS23260,SMc04456,2.46e-57,171,77.064,1.21e-57,171,77.064
BAB_RS23265,SMc02678,1.72e-87,251,70.482,8.63e-88,251,70.482
BAB_RS23270,SMc03744,3.66e-38,121,73.171,6.41e-38,119,73.171
BAB_RS23275,SMc02681,4.15e-113,325,62.791,8.19e-111,318,62.692
BAB_RS23280,SMc02682,3.76e-121,352,50.829,1.93e-121,352,50.829
BAB_RS23285,SMc02683,1.27e-105,305,57.915,1.33e-102,296,57.769
BAB_RS23290,SMc02684,0,545,69.816,0,568,69.816
BAB_RS23295,SMc02685,8.17e-38,129,48.246,8.39e-41,137,43.421
BAB_RS23305,SMc02686,0,540,84.194,0,540,84.194
BAB_RS23310,SMc00484,0,691,69.38,0,684,69.38
BAB_RS23315,SMc02692,1.66e-97,279,72.581,9.68e-98,279,72.581
BAB_RS23320,SMc02693,1.14e-100,290,61.753,4.42e-97,280,61.728
BAB_RS23325,SMc02695,0,610,80.109,0,597,80.109
BAB_RS23330,SMc02696,8.58e-47,147,45.775,3.92e-47,147,45.775
BAB_RS23335,SMc02697,2.24e-51,159,51.049,1.1e-51,159,51.049
BAB_RS23340,SMc02698,3.39e-105,297,80.337,1.35e-97,277,80.337
BAB_RS23345,SMc00189,6.93e-134,379,70.849,9.4e-134,377,67.687
BAB_RS23350,SMc00188,0,748,83.059,0,729,83.059
BAB_RS23355,SMc00187,1.93e-105,298,77.083,3.93e-107,301,77.083
BAB_RS23360,SMc00186,0,743,58.158,0,743,58.158
BAB_RS23365,SMc00185,0,818,66.337,0,797,66.227
BAB_RS23370,SMc00184,6.04e-71,208,67.347,7.65e-75,217,67.347
BAB_RS23380,SMc00181,2.17e-30,100,63.218,1.09e-30,100,63.218
BAB_RS23385,SMc00180,4.4e-164,456,71.053,2.47e-168,466,71.053
BAB_RS23390,SMc00230,1.96e-55,169,54.268,9.89e-56,169,54.268
BAB_RS23405,SMc02700,4.01e-163,463,56.049,2e-163,463,56.049
BAB_RS23410,SMc02701,9.69e-75,222,55.814,4.94e-75,222,55.814
BAB_RS23415,SMc02702,1.28e-96,278,66.99,6.61e-97,278,66.99
BAB_RS23420,SMc02703,2.35e-178,494,75.841,0,506,75.841
BAB_RS23425,SMc02704,4.32e-132,375,62.671,6.84e-129,366,62.671
