O_anthropi,S_meliloti,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
OANT_RS05195,SMc00731,2.06e-100,286,72.449,4.57e-93,267,72.449
OANT_RS05200,SM_b20938,4.52e-127,357,69.456,3.58e-127,357,69.456
OANT_RS05205,SM_b20939,5.54e-73,210,82.203,4.44e-73,210,82.203
OANT_RS05210,SM_b20940,1.21e-132,370,79.646,1.31e-132,370,79.646
OANT_RS05215,SMc00729,5.51e-137,383,79.116,3.45e-145,403,79.116
OANT_RS05220,SMc00728,5.45e-170,471,79.612,3.25e-169,469,79.612
OANT_RS05225,SMc00727,8.05e-177,487,79.585,6.33e-177,487,79.585
OANT_RS05230,SMc00421,1.12e-171,477,77.188,9.16e-160,446,77.188
OANT_RS05240,SMc01666,0,712,80.66,0,729,80.66
OANT_RS05250,SM_b21211,0,541,51.206,0,572,51.206
OANT_RS05255,SMc00742,2.44e-159,454,53.318,1.91e-159,454,53.318
OANT_RS05260,SMc00743,1.14e-140,408,51.294,1.71e-144,418,51.294
OANT_RS05265,SMc04458,0,1442,75.744,0,1384,75.413
OANT_RS05270,SMc02451,1.82e-94,280,52.273,2.53e-94,279,52.107
OANT_RS05275,SMc02450,0,594,75.545,0,589,75.545
OANT_RS05280,SMc02449,2.14e-77,234,47.154,2.04e-77,234,47.154
OANT_RS05285,SMc02448,4.45e-82,235,82.222,3.46e-82,235,82.222
OANT_RS05290,SMc02447,1.1e-17,70.1,42.697,8.02e-18,70.1,42.697
OANT_RS05295,SMc02445,7.11e-111,320,61.702,9.3e-120,343,61.702
OANT_RS05300,SMc02444,7.51e-74,223,48.76,1.41e-82,245,48.76
OANT_RS05305,SMc02443,4.13e-27,92.4,59.036,3.28e-27,92.4,59.036
OANT_RS05310,SMc02442,6.34e-120,342,62.313,5.06e-120,342,62.313
OANT_RS05315,SMc02441,9.24e-51,156,48.592,7.39e-51,156,48.592
OANT_RS05325,SMc02440,6.25e-126,355,68.016,2.66e-123,348,68.016
OANT_RS05330,SMc02438,0,747,86.761,0,766,86.761
OANT_RS05335,SMc02437,0,1107,71.561,0,1107,71.561
OANT_RS05340,SMc02436,0,553,75.921,0,553,75.921
OANT_RS05345,SMc02435,5.38e-78,236,46.909,9.32e-80,240,46.909
OANT_RS05350,SMc02434,4.19e-41,138,57.037,7.64e-43,142,55.769
OANT_RS05355,SMc02433,0,1407,80.07,0,1427,80.07
OANT_RS05360,SMc01575,2.86e-135,396,51.23,2.11e-135,396,51.23
OANT_RS05365,SMc02432,0,662,53.712,0,644,53.555
OANT_RS05435,SMc03779,5.06e-11,47.8,73.333,4.02e-11,47.8,73.333
OANT_RS05440,SMc03770,1.13e-47,147,72.277,1.55e-47,146,70.476
OANT_RS05445,SMc03772,2.32e-52,156,87.64,1.84e-52,156,87.64
OANT_RS05450,SMc03773,1.06e-79,235,56.906,7.62e-80,235,56.906
OANT_RS05455,SM_b21153,1.41e-18,76.3,33.735,1.01e-18,76.3,33.735
OANT_RS05460,SMc03775,7.4e-165,462,79.448,1.55e-173,484,78.485
OANT_RS05465,SMc03776,0,518,70.133,2.89e-179,501,70.133
OANT_RS05470,SMc03777,0,628,73.239,0,610,73.239
OANT_RS05475,SMc03778,1.76e-97,279,70.103,1.25e-97,279,70.103
OANT_RS05480,SMc03780,9.22e-44,138,65.957,9.46e-44,138,65.957
OANT_RS05485,SMc03781,3.13e-73,214,65.625,2.49e-73,214,65.625
OANT_RS05495,SMc03782,2.32e-123,364,48.276,1.09e-129,380,49.144
OANT_RS05500,SMc03783,0,618,69.841,0,618,69.841
OANT_RS05505,SMc03784,3.55e-106,317,46.283,8.71e-102,305,46.283
OANT_RS05510,SMc03785,1.24e-91,261,75.46,9.46e-92,261,75.46
OANT_RS05515,SMc02320,1.93e-27,92.8,55.952,1.53e-27,92.8,55.952
OANT_RS05520,SMa1162,1.55e-13,64.7,33.503,2.45e-09,52.8,34.272
OANT_RS05525,SMc00780,1.67e-142,400,65.068,1.33e-142,400,65.068
OANT_RS05530,SMc00781,0,737,71.084,0,741,71.084
OANT_RS05550,SMc04084,1.83e-120,345,62.976,1.74e-127,362,62.329
OANT_RS05560,SMc04083,1.96e-119,336,73.077,1.65e-119,336,73.077
OANT_RS05565,SMc04411,1.76e-133,376,67.778,1.39e-133,376,67.778
OANT_RS05575,SMc03857,0,704,82.68,0,711,84.836
OANT_RS05580,SMc03858,2.81e-45,139,77.528,2.4e-45,139,77.528
OANT_RS05585,SMc03859,1.77e-60,179,80.583,1.15e-60,180,80.583
OANT_RS05595,SMc00853,1.66e-30,108,39.752,1.78e-30,107,39.752
OANT_RS05610,SMc04085,0,1592,52.919,0,1573,53.397
OANT_RS05615,SMc04087,0,572,62.749,0,566,62.749
OANT_RS05620,SM_b21009,1.07e-159,460,47.495,5.56e-151,437,47.495
OANT_RS05625,SMc04088,0,766,72.862,0,801,72.862
OANT_RS05630,SMc04089,1.75e-167,485,47.594,1.64e-168,488,47.594
OANT_RS05635,SMc04090,1.54e-169,483,55.202,1.22e-169,483,55.202
OANT_RS05640,SMc04091,1.44e-149,421,68.923,5.39e-148,416,68.923
OANT_RS05645,SMc04092,1.83e-16,64.3,74.51,7e-15,60.5,74.51
OANT_RS05650,SMc04093,0,1150,84.462,0,1170,84.462
OANT_RS05655,SMc00137,4.2e-36,115,54.762,3.09e-36,115,54.762
OANT_RS05660,SMc02812,1.64e-109,311,72.3,7.08e-107,304,72.3
OANT_RS05665,SMc02804,0,1350,73.696,0,1367,73.696
OANT_RS05670,SMc02803,1.54e-26,97.8,37.879,2.57e-27,99.4,37.879
OANT_RS05680,SMc02491,7.02e-141,402,57.808,1.68e-145,414,57.808
OANT_RS05685,SMc02495,6.59e-142,392,86.636,5.24e-142,392,86.636
OANT_RS05690,SMc02496,0,1059,71.93,0,1081,71.93
OANT_RS05700,SMc02498,7.92e-96,273,74.731,6.36e-96,273,74.731
OANT_RS05705,SMc02499,0,944,91.356,0,944,91.356
OANT_RS05710,SMc02500,1.99e-168,466,82.653,1.13e-172,476,83.673
OANT_RS05715,SMc02501,0,862,85.573,0,860,88.889
OANT_RS05720,SMc02502,7.11e-54,163,57.778,5.69e-54,163,57.778
OANT_RS05725,SMc00562,1.05e-47,149,53.191,8.6e-48,149,53.191
OANT_RS05740,SM_b20267,6.12e-149,426,51.589,1.18e-149,428,52.645
OANT_RS05745,SM_b20268,0,546,77.083,0,546,77.083
OANT_RS05750,SMc01951,3.98e-177,489,78.146,3.14e-177,489,78.146
OANT_RS05755,SMc01950,0,704,77.391,0,712,77.391
OANT_RS05760,SMc01949,1.35e-156,442,80,2.91e-159,449,79.924
OANT_RS05765,SMc01948,3.07e-141,393,81.092,2.37e-141,393,81.092
OANT_RS05770,SMc01947,2.65e-48,147,58.772,2.1e-48,147,58.772
OANT_RS05775,SMc01946,0,572,72.703,0,572,72.703
OANT_RS05790,SMc03890,1.16e-80,241,58.607,3.53e-87,257,58.607
OANT_RS05795,SMc03889,1.17e-149,426,60,1.22e-154,438,60
OANT_RS05800,SM_b21010,8.62e-108,310,57.977,3.89e-101,293,57.977
OANT_RS05805,SMc03888,0,691,86.064,0,700,86.064
OANT_RS05810,SMa1959,1.69e-132,384,63.452,3.85e-144,414,63.452
OANT_RS05815,SMa1960,2.07e-67,199,64,1.63e-67,199,64
OANT_RS05820,SMc03884,8.86e-119,341,67.105,3.36e-129,367,67.105
OANT_RS05825,SMc03883,4.74e-94,274,59.906,5.25e-95,276,56.71
OANT_RS05830,SMc03881,3.95e-37,115,93.22,3.25e-37,115,93.22
OANT_RS05840,SMc03879,0,634,78.608,0,634,78.608
OANT_RS05845,SMc03877,0,1251,73.113,0,1263,69.421
OANT_RS05850,SMc03876,2.81e-41,131,57.851,2.47e-41,131,57.851
OANT_RS05855,SMc03875,1.06e-67,196,83.036,8.39e-68,196,83.036
OANT_RS05860,SMc03874,3.88e-116,325,85.638,1.33e-114,321,88.202
OANT_RS05870,SM_b20871,2.45e-70,214,45.749,1.95e-70,214,45.749
OANT_RS05875,SMc03873,6.26e-125,356,63.177,1.29e-124,355,63.177
OANT_RS05885,SMc03872,0,590,61.311,0,593,60.833
OANT_RS05890,SMc03871,1.39e-66,204,46.522,1.07e-66,204,46.522
OANT_RS05895,SMc03870,7.26e-147,430,53.433,2.78e-146,429,53.433
OANT_RS05900,SMc03869,1.01e-162,455,68.506,1.39e-167,467,65.868
OANT_RS05905,SMc03867,2.04e-70,211,50,1.6e-70,211,50
OANT_RS05915,SMc03866,0,831,70.289,0,839,71.235
OANT_RS05920,SMc00374,4.25e-134,381,59.683,3.38e-134,381,59.683
OANT_RS06000,SMc04009,1.11e-19,73.6,56.962,3.73e-28,94.7,56.962
OANT_RS06005,SMc04007,2.7e-97,284,58.431,2.04e-107,309,58.431
OANT_RS06010,SMc04006,3.66e-67,197,68.613,2.91e-67,197,68.613
OANT_RS06015,SMc04005,0,776,80.167,0,776,80.167
OANT_RS06020,SMc04004,8.5e-57,177,48.603,6.83e-56,174,45.283
OANT_RS06025,SMc04003,1.57e-18,67.4,80.488,1.25e-18,67.4,80.488
OANT_RS06030,SMc04002,1.11e-162,457,66.077,2.16e-157,443,66.077
OANT_RS06035,SMc04001,7.8e-82,236,84.81,2.58e-81,235,84.81
OANT_RS06040,SMc04000,5.29e-25,85.5,74.627,4.29e-25,85.5,74.627
OANT_RS06045,SMc03999,3.77e-19,70.1,58.929,2.9e-19,70.1,58.929
OANT_RS06050,SMc03987,1.4e-133,388,54.211,6.8e-152,434,54.455
OANT_RS06060,SMc00034,1.04e-115,335,55.521,8.07e-116,335,55.521
OANT_RS06065,SMc04094,1.95e-129,362,75.325,1.57e-129,362,75.325
OANT_RS06090,SMc00107,2.64e-43,144,40.094,2.22e-44,146,40.094
OANT_RS06105,SMc04095,0,892,68.189,0,919,68.189
OANT_RS06110,SMc03983,0,537,75.66,0,537,75.66
OANT_RS06115,SM_b20301,1e-81,252,43.413,4.1e-82,253,43.413
OANT_RS06120,SMc03981,0,541,71.144,0,565,71.144
OANT_RS06125,SMc03980,1.61e-92,266,68.586,1.33e-92,266,68.586
OANT_RS06130,SMc03979,0,564,81.845,0,564,81.845
OANT_RS06135,SMc03978,0,969,73.676,0,1001,73.676
OANT_RS06140,SMc03977,3.34e-32,105,64.773,2.63e-32,105,64.773
OANT_RS06145,SMc03976,1.97e-47,146,57.025,1.61e-47,146,57.025
OANT_RS06155,SMc03974,7.54e-70,208,55.208,5.81e-70,208,55.208
OANT_RS06160,SMc03973,1.03e-164,454,81.818,7.92e-165,454,81.818
OANT_RS06165,SMc03171,2.25e-111,318,71.193,4.36e-108,309,71.193
OANT_RS06175,SMc00964,9.36e-14,63.9,35.57,4.09e-14,64.7,34.375
OANT_RS06180,SMc03258,4.63e-23,90.9,35.714,3.74e-23,90.9,35.714
OANT_RS06185,SMc03969,4.84e-157,433,83.468,3.85e-157,433,83.468
OANT_RS06190,SMc03990,4.09e-41,126,79.452,3.25e-41,126,79.452
OANT_RS06195,SMc03991,0,736,67.637,0,739,67.882
OANT_RS06200,SMc03992,0,507,72.012,0,507,72.012
OANT_RS06205,SMc03993,3.01e-142,405,65.352,1.16e-122,355,65.352
OANT_RS06210,SMc03994,1.32e-137,385,70.722,1.06e-137,385,70.722
OANT_RS06215,SMc00357,1.12e-60,184,46.774,9.01e-61,184,46.774
OANT_RS06220,SMc03995,3.61e-88,268,51.838,1.4e-88,268,51.838
OANT_RS06225,SMc03996,4.02e-82,241,58.962,4.39e-78,231,58.962
OANT_RS06230,SMc04381,1.01e-136,394,54.52,2.01e-126,367,54.52
OANT_RS06235,SMc03989,1.31e-57,176,57.317,1.21e-57,176,57.317
OANT_RS06240,SMc03967,2.62e-91,261,80.368,1.97e-91,261,80.368
OANT_RS06245,SMc03966,3.5e-102,291,79.512,1.61e-101,289,79.512
OANT_RS06250,SMc03965,0,553,82.133,0,553,82.133
OANT_RS06255,SMc03960,2.12e-42,135,48.921,1.63e-42,135,48.921
OANT_RS06260,SMc03958,9.74e-135,376,79.487,7.84e-135,376,79.487
OANT_RS06265,SMc03957,6.85e-76,220,79.195,2.32e-77,224,79.195
OANT_RS06270,SMc03956,8.41e-108,317,53.022,6.84e-95,284,52.078
OANT_RS06275,SMc04461,0,686,76.212,0,686,76.212
OANT_RS06280,SMc02942,1.47e-84,244,80.723,8.06e-100,282,80.723
OANT_RS06285,SMc02941,1.68e-50,173,34.641,1.67e-54,183,34.967
OANT_RS06290,SMc02940,1.79e-49,172,31.991,2.38e-48,169,33.034
OANT_RS06295,SMc04459,0,1050,81.298,0,1049,81.298
OANT_RS06300,SMc00637,0,689,74.222,0,689,74.222
OANT_RS06305,SMc00638,1.71e-71,219,47.312,6.76e-64,199,47.5
OANT_RS06320,SMc00640,0,659,82.353,0,651,82.768
OANT_RS06325,SMc00641,0,865,78.868,0,848,78.868
OANT_RS06335,SMc00643,0,676,75.231,0,676,75.231
OANT_RS06340,SMc00644,3.24e-64,219,39.773,3.54e-66,224,41.436
OANT_RS06350,SM_b20215,8.72e-44,150,32.188,6.85e-44,150,32.188
OANT_RS06360,SMc00646,0,509,80.399,2.31e-178,491,80.399
OANT_RS06365,SMc00647,6.55e-153,430,66.261,5.35e-153,430,66.261
OANT_RS06370,SMc00648,8.2e-21,80.1,39.231,5.21e-21,80.1,39.231
OANT_RS06395,SMc02510,1.92e-56,170,58.993,1.53e-56,170,58.993
OANT_RS06410,SMc01504,5.5e-147,409,75.758,4.37e-147,409,75.758
OANT_RS06415,SMc01505,1.77e-14,58.9,64.103,1.04e-14,58.9,64.103
OANT_RS06420,SMc01506,2.05e-105,298,77.528,1.58e-105,298,77.528
OANT_RS06435,SMc01509,5.79e-13,58.5,38.462,4.72e-13,58.5,38.462
OANT_RS06445,SMc02085,1.68e-93,280,58.519,8.62e-93,277,64.502
OANT_RS06450,SMc02084,1.11e-56,172,64.234,7.39e-57,172,64.234
OANT_RS06460,SMc04328,1.79e-48,158,39.912,1.35e-48,158,39.738
OANT_RS06465,SMc04351,0,926,70.388,0,916,70.388
OANT_RS06470,SMc04350,1.92e-147,423,58.915,1.99e-147,422,57.855
OANT_RS06480,SMc00159,9.27e-29,101,48.485,1.17e-42,136,48.485
OANT_RS06485,SMc00158,1.16e-80,261,33.731,1.75e-69,232,33.39
OANT_RS06490,SMc00461,1.7e-72,212,69.536,1.37e-72,212,69.536
OANT_RS06505,SMc01162,2.39e-110,317,61.446,1.91e-110,317,61.446
OANT_RS06510,SMc00359,9.37e-167,464,75.535,1.72e-179,496,75.535
OANT_RS06520,SMc01229,1.57e-72,213,64.596,1.29e-72,213,64.596
OANT_RS06525,SMc02581,0,1105,73.538,0,1105,73.538
OANT_RS06530,SMc00735,3.25e-131,372,63.636,1.5e-133,377,63.636
OANT_RS06535,SMc00736,2.94e-71,213,54.46,3.33e-73,218,54.46
OANT_RS06540,SMc00737,7.35e-116,324,80.526,5.69e-116,324,80.526
OANT_RS06545,SMc00738,4.37e-46,146,46.541,3.37e-46,146,46.541
OANT_RS06555,SMc02780,0,629,62.213,0,603,62.213
OANT_RS06600,SMc04252,7.44e-152,428,63.081,5.89e-152,428,63.081
OANT_RS06605,SMc00001,5.61e-90,271,43.314,4.51e-90,271,43.314
OANT_RS06615,SMc02892,7.84e-39,144,33.247,1.79e-46,165,32.864
OANT_RS06630,SMc01158,4.36e-88,256,68.041,2.38e-85,249,70.391
OANT_RS06635,SMa1979,9.97e-63,197,43.548,8.12e-63,197,43.548
OANT_RS06685,SMa0255,1.22e-128,368,63.636,3.25e-131,374,60.856
OANT_RS06690,SM_b20101,0,577,70.153,0,577,70.153
OANT_RS06705,SMc00036,2.88e-25,95.1,35.437,1.41e-27,100,35.437
OANT_RS06760,SMc02915,1.05e-15,59.3,90,8.38e-16,59.3,90
OANT_RS06770,SMc02885,4.9e-108,307,67.907,3.87e-108,307,67.907
OANT_RS06775,SMc01545,7.24e-12,56.6,32.222,4.29e-12,56.6,32.222
OANT_RS06780,SMc02883,3.52e-19,70.9,55.385,2.88e-19,70.9,55.385
OANT_RS06790,SMc04121,1.41e-128,358,84.541,1.12e-128,358,84.541
OANT_RS06795,SMc01155,1.41e-136,383,72.549,1.15e-136,383,72.549
OANT_RS06800,SMc01156,0,733,69.407,0,733,69.407
OANT_RS06805,SMc01161,0,550,72.818,0,572,72.818
OANT_RS06810,SMc03094,1.72e-95,279,55.039,8.88e-88,259,55.039
OANT_RS06815,SMc00427,0,833,76.108,0,833,76.108
OANT_RS06820,SMc00032,2.85e-67,201,62.069,2.77e-71,211,62.069
OANT_RS06825,SMc02076,0,629,62.012,0,629,62.012
OANT_RS06830,SMc01813,7.19e-117,335,65.019,5.71e-117,335,65.019
OANT_RS06845,SMc04173,6.48e-84,246,52.838,4.94e-84,246,52.838
OANT_RS06850,SMc00166,1.93e-30,109,36.041,1.68e-30,109,36.041
OANT_RS06855,SMc00434,3.8e-15,57.8,96.552,3.02e-15,57.8,96.552
OANT_RS06860,SMc02838,4.04e-119,334,79.412,3.29e-119,334,79.412
OANT_RS06865,SMc02837,1.48e-132,374,71.587,1.81e-135,381,72.763
OANT_RS06870,SMc02836,0,730,58.923,0,730,58.923
OANT_RS06875,SMc02835,7.38e-148,418,61.862,1.31e-152,430,61.862
OANT_RS06880,SMc02834,8.89e-61,180,71.074,7.12e-61,180,71.074
OANT_RS06885,SMc02833,1.63e-126,363,64.286,7.96e-127,363,65
OANT_RS06890,SMc00744,1.22e-158,450,61.34,1.32e-156,444,61.34
OANT_RS06895,SMc00405,6.84e-113,325,54.167,5.47e-113,325,54.167
OANT_RS06900,SMc00406,0,519,70.468,0,519,70.468
OANT_RS06905,SMc00407,7.7e-110,312,62.174,6.11e-110,312,62.174
OANT_RS06910,SMc00408,2.66e-111,319,67.323,6.24e-122,346,66.288
OANT_RS06915,SMc00410,9.79e-134,381,60.372,9.86e-140,396,60.372
OANT_RS06920,SMc00349,0,1067,85.524,0,1067,85.524
OANT_RS06930,SMc00345,2.16e-44,136,70.103,1.58e-44,136,70.103
OANT_RS06935,SMc01102,0,515,62.287,0,515,62.287
OANT_RS06940,SMc01101,8.84e-88,252,69.412,7.15e-88,252,69.412
OANT_RS06945,SMc01100,2.32e-143,404,65.347,1.87e-143,404,65.347
OANT_RS06950,SMc01099,8.12e-118,334,63.968,6.35e-118,334,63.968
OANT_RS06965,SMc01097,2.95e-18,76.6,30.457,3.72e-23,89.4,30.457
OANT_RS06970,SMc01096,0,584,74.359,0,601,74.359
OANT_RS06995,SMc01732,1.26e-173,479,81.754,1.04e-173,479,81.754
OANT_RS07000,SMc01731,8.96e-139,390,72.963,3.29e-152,424,72.963
OANT_RS07010,SMc01730,1.01e-104,301,64.035,5.91e-98,283,64.035
OANT_RS07015,SMc01726,0,507,85.813,1.65e-177,489,85.813
OANT_RS07025,SMc01722,3.86e-123,347,81.373,7.37e-123,346,81.373
OANT_RS07030,SMc01721,0,795,64.086,0,801,62.866
OANT_RS07035,SMc01720,1.7e-35,117,58.559,2.33e-29,101,58.559
OANT_RS07040,SMc04434,6.94e-23,78.6,90.909,5.52e-23,78.6,90.909
OANT_RS07045,SMa1589,1.02e-54,165,63.415,8.14e-55,165,63.415
OANT_RS07050,SMc00791,4.04e-55,165,69.298,3.21e-55,165,69.298
OANT_RS07060,SMc01282,2.8e-81,239,66.851,2.18e-81,239,66.851
OANT_RS07065,SMc01281,3.61e-155,434,66.559,7.13e-155,433,66.559
OANT_RS07085,SMc02979,6.3e-161,450,65.854,5.08e-161,450,65.854
OANT_RS07090,SMc02978,0,535,76.517,0,531,76.517
OANT_RS07095,SMc02977,4.74e-113,323,69.583,3.6e-108,310,68.163
OANT_RS07105,SMc02975,0,538,78.078,0,538,78.078
OANT_RS07110,SMc04462,3.11e-126,361,60.518,1.25e-131,375,60.518
OANT_RS07115,SMc03943,1.81e-97,283,56.967,1.43e-97,283,56.967
OANT_RS07125,SMc03942,0,585,41.809,0,585,41.809
OANT_RS07130,SM_b20965,4.01e-21,90.9,30.476,2.62e-21,90.9,30.476
OANT_RS07140,SMc03941,3.34e-24,84,62.162,4.16e-18,68.2,60.811
OANT_RS07145,SMc03950,0,588,75.862,0,577,76.011
OANT_RS07150,SMc03939,1.98e-73,213,79.137,9.42e-64,188,79.137
OANT_RS07155,SMc03938,0,708,80.901,0,680,80.901
OANT_RS07170,SMc03927,1.7e-65,194,58.599,8.48e-60,180,58.599
OANT_RS07180,SMc03934,3.58e-39,122,89.855,2.47e-31,102,89.855
OANT_RS07185,SMc03935,2.54e-129,367,67.969,7.92e-127,360,67.857
OANT_RS07210,SMc03116,0,826,72.075,0,826,72.075
OANT_RS07215,SMc03117,3.31e-178,494,74.312,3.86e-168,468,74.312
OANT_RS07220,SMc03118,8.27e-157,437,83.39,5.14e-159,442,83.39
OANT_RS07225,SMc03119,1.58e-131,368,76.596,1.22e-131,368,76.596
OANT_RS07230,SMc03120,1.41e-138,388,76.172,1.11e-138,388,76.172
OANT_RS07235,SMc03121,0,665,79.188,0,659,81.266
OANT_RS07245,SMc03122,2.07e-132,376,60.943,1.71e-132,376,60.943
OANT_RS07250,SMc00678,8.33e-64,190,69.718,7.29e-64,190,69.718
OANT_RS07255,SMc00677,0,1384,66.897,0,1406,66.897
OANT_RS07265,SMc04363,1.3e-146,410,67.5,1.03e-146,410,67.5
OANT_RS07270,SMc04362,0,792,80.753,0,792,80.753
OANT_RS07275,SMc04361,5.92e-91,264,63.285,4.52e-91,264,63.285
OANT_RS07280,SMc04455,0,642,56.752,0,627,56.752
OANT_RS07285,SMc01236,1.35e-96,282,52.273,2.39e-92,271,52.273
OANT_RS07295,SM_b21303,7.75e-50,154,55.319,6.24e-50,154,55.319
OANT_RS07300,SMc00241,4.03e-86,253,56.485,4.74e-87,256,56.485
OANT_RS07305,SM_b21590,1.11e-146,414,69.937,2.03e-146,413,69.937
OANT_RS07310,SM_b21589,6.71e-129,370,63.265,6.51e-131,375,63.265
OANT_RS07315,SM_b21588,0,611,62.551,0,591,62.551
OANT_RS07320,SM_b21587,0,511,80.128,0,500,82.253
OANT_RS07330,SM_b20892,9.44e-141,399,61.702,3.53e-139,395,61.702
OANT_RS07335,SMc00588,1.75e-127,363,57.98,1.38e-127,363,57.98
OANT_RS07340,SMa0235,0,776,63.79,0,776,63.79
OANT_RS07345,SMc00881,1.67e-83,251,46.844,7.28e-82,247,46.844
OANT_RS07350,SMc00882,6.34e-90,261,67.308,9.87e-96,275,67.308
OANT_RS07355,SM_b20895,0,533,72.881,0,533,72.881
OANT_RS07360,SM_b20894,0,650,67.23,0,650,67.23
OANT_RS07365,SM_b20893,2.63e-160,454,59.85,8.18e-171,481,59.85
OANT_RS07375,SMc02346,2.57e-80,241,45.926,7.84e-80,239,46.743
OANT_RS07390,SMc00667,9.59e-60,182,48.691,7.82e-60,182,48.691
OANT_RS07395,SMc00668,0,658,76.566,0,640,76.566
OANT_RS07400,SM_b21163,0,994,86.511,0,994,86.511
OANT_RS07405,SM_b21164,1.31e-147,411,76.604,4.65e-154,427,76.604
OANT_RS07410,SM_b21165,0,825,80,0,807,80
OANT_RS07415,SM_b21166,1.15e-167,476,64.356,0,519,64.356
OANT_RS07420,SMc00673,1.09e-138,404,50.763,1.24e-149,431,50.763
OANT_RS07425,SM_b20048,1.12e-99,288,59.052,8.41e-100,288,59.052
OANT_RS07430,SM_b20594,3.43e-29,99,43.434,1.12e-29,99.8,43.434
OANT_RS07435,SM_b20593,8.87e-75,219,65.143,5.63e-78,227,65.143
OANT_RS07440,SM_b20592,6.68e-82,241,56.019,5.26e-82,241,56.019
OANT_RS07445,SMc04388,0,691,74.715,0,691,74.715
OANT_RS07450,SMc04387,3.17e-108,305,78.571,2.52e-108,305,78.571
OANT_RS07460,SMc00557,3.7e-83,256,40.849,2.33e-89,271,40.849
OANT_RS07475,SM_b20850,0,648,81.915,0,648,81.915
OANT_RS07495,SM_b20346,1.18e-47,163,33.623,9.03e-45,155,33.623
OANT_RS07500,SM_b20345,0,845,42.954,0,833,42.954
OANT_RS07510,SMc02877,7.25e-79,242,42.56,5.71e-79,242,42.56
OANT_RS07515,SMc02878,5.24e-114,335,50.13,2.57e-119,348,50.13
OANT_RS07525,SMc04154,0,526,82.993,0,526,82.993
OANT_RS07530,SMc04385,0,882,83.333,0,882,83.333
OANT_RS07535,SMc04383,0,691,72.747,0,691,72.747
OANT_RS07540,SMc04882,5.66e-167,463,73.064,4.31e-167,463,73.064
OANT_RS07545,SMc01576,1.25e-147,424,54.893,2.41e-163,464,54.893
OANT_RS07550,SMc04317,3.15e-100,296,49.671,1.35e-105,309,49.057
OANT_RS07555,SMc04316,3.93e-144,429,47.002,5.44e-150,444,47.002
OANT_RS07560,SMc04300,4.47e-90,272,48.589,3.31e-90,272,48.589
OANT_RS07565,SMc02644,0,1158,79.097,0,1177,79.097
OANT_RS07570,SMc01226,5.65e-49,148,68.817,4.22e-49,148,68.817
OANT_RS07575,SMc01227,0,567,76.486,0,582,76.486
OANT_RS07580,SMc03092,3.68e-38,124,46.809,2.9e-38,124,46.809
OANT_RS07585,SMc03091,9.79e-107,311,53,7.8e-107,311,53
OANT_RS07590,SM_b21494,0,543,74.777,0,543,74.777
OANT_RS07600,SMc04255,2.91e-48,181,25,2.36e-48,181,25
OANT_RS07625,SMc02351,1.88e-18,74.3,37.288,1.66e-18,74.3,37.288
OANT_RS07655,SM_b20518,1.25e-87,260,55.909,1.26e-87,259,55.909
OANT_RS07700,SMc04186,1.45e-13,63.2,39.024,8.56e-14,63.2,39.024
OANT_RS07805,SMc03763,7.22e-19,85.5,31.797,6.1e-19,85.5,31.797
OANT_RS07925,SM_b21469,2.21e-10,51.2,40.26,3.63e-10,51.2,40.26
OANT_RS07960,SMc04431,1.44e-18,70.5,50,1.15e-18,70.5,50
OANT_RS08020,SMa0903,9.35e-136,392,51.662,7.32e-136,392,51.662
OANT_RS08150,SMc00758,8.78e-11,46.6,100,6.98e-11,46.6,100
OANT_RS08160,SM_b21248,3.19e-37,136,30.278,3.49e-38,138,30.833
OANT_RS08170,SMc01415,2.8e-97,291,46.995,1.76e-89,271,46.995
OANT_RS08175,SMc00655,4.27e-45,140,64.865,6.66e-41,129,64.865
OANT_RS08180,SMc00654,8.84e-157,431,92.92,7.05e-157,431,92.92
OANT_RS08185,SMc00653,1.4e-22,83.6,38.938,1.07e-22,83.6,38.938
OANT_RS08190,SMc00652,7.47e-88,256,60.976,6.27e-88,256,60.976
OANT_RS08195,SMc00651,8.93e-84,244,58.5,3.39e-83,242,67.066
OANT_RS08200,SMc00650,4.39e-21,89.7,26.685,1.31e-16,76.6,26.685
OANT_RS08205,SMc00656,7.21e-38,120,57.143,5.44e-38,120,57.143
OANT_RS08215,SMc00659,0,596,75.393,0,604,74.49
OANT_RS08220,SMc01844,1.32e-72,224,49.104,1.13e-86,260,48.333
OANT_RS08225,SMc00649,3.25e-89,264,50.376,2.74e-85,253,50.376
OANT_RS08230,SMc05009,2.61e-29,100,64.706,2.95e-29,99.8,64.706
OANT_RS08235,SMc04457,4.58e-51,164,46.222,4.2e-59,184,45.815
OANT_RS08240,SMc00786,0,760,68.173,0,729,68.544
OANT_RS08245,SMc00787,0,530,76.347,0,530,76.347
OANT_RS08250,SMc00788,2.6e-144,405,70.861,1.84e-151,424,70.861
OANT_RS08255,SMc00789,3.14e-157,437,75.812,2.51e-157,437,75.812
OANT_RS08260,SMc00790,1.68e-159,442,77.941,7.07e-157,435,79.087
OANT_RS08265,SMc02739,2.93e-145,412,60,2.32e-145,412,60
OANT_RS08270,SMc02738,5.77e-125,355,62.816,1.59e-110,318,62.816
OANT_RS08275,SMc02737,9.3e-150,421,66.771,7.73e-155,434,66.771
